,sentence,label,data,regex
0,Research,0.0,,False
1,"External quality assessment of SARS-CoV-2 serology in European expert laboratories, April 2021",1.0,SARS-CoV-2,True
2,"Ramona Mögling1,*, Francesca Colavita2,* , Johan Reimerink1 , Angeliki Melidou3 , Katrin Leitmeyer3 , Maria Keramarou3 , Daniele Lapa2 , Massimo Francalancia2 , Jean-Luc Murk4 , Ann Vossen5 , Fabrizio Carletti2 , Boris Hogema6 , Adam Meijer1 , Liesbet Deprez7 , Antonino di Caro8,9 , Concetta Castille tti2,9,* , Chantal BEM Reusken1,* 1. Centre for Infectious Disease Control, National Institute for Public Health and the Environment (RIVM), Bilthoven, the",1.0,Infectious,True
3,"Netherlands 2. National Institute for Infectious Diseases `Lazzaro Spallanzani' IRCCS (INMI), Rome, Italy 3. European Centre for Disease Prevention and Control (ECDC), Stockholm, Sweden 4. Microvida, location St Elisabeth-Tweesteden Hospital, Tilburg, The Netherlands 5. Leiden University Medical Center, Leiden, The Netherlands 6. Sanquin Research, Amsterdam, The Netherlands 7. European Commission, Joint Research Centre (JRC), Geel, Belgium 8. Unicamillus, International Medical University, Rome, Italy 9. IRCCS Sacro Cuore Don Calabria Hospital, Negrar di Valpolicella, Italy",1.0,Infectious,True
4,* These authors contributed equally to this article. Correspondence: Concetta Castilletti (concetta.castilletti@sacrocuore.it),0.0,,False
5,"Citation style for this article: Mögling Ramona, Colavita Francesca, Reimerink Johan, Melidou Angeliki, Leitmeyer Katrin, Keramarou Maria, Lapa Daniele, Francalancia Massimo, Murk JeanLuc, Vossen Ann, Carletti Fabrizio, Hogema Boris, Meijer Adam, Deprez Liesbet, di Caro Antonino, Castilletti Concetta, Reusken Chantal BEM. External quality assessment of SARS-CoV-2 serology in European expert laboratories, April 2021. Euro Surveill. 2022;27(42):pii,2101057. https://doi.org/10.2807/1560-7917. ES.2022.27.42.2101057",1.0,SARS-CoV-2,True
6,Article submitted on 11 Nov 2021 / accepted on 09 Aug 2022 / published on 20 Oct 2022,0.0,,False
7,"Background: Countries worldwide are focusing to mitigate the ongoing SARS-CoV-2 pandemic by employing public health measures. Laboratories have a key role in the control of SARS-CoV-2 transmission. Serology for SARS-CoV-2 is of critical importance to support diagnosis, define the epidemiological framework and evaluate immune responses to natural infection and vaccine administration. Aim: The aim of this study was the assessment of the actual capability among laboratories involved in sero-epidemiological studies on COVID-19 in EU/EEA and EU enlargement countries to detect SARS-CoV-2 antibodies through an external quality assessment (EQA) based on proficiency testing. Methods: The EQA panels were composed of eight different, pooled human serum samples (all collected in 2020 before the vaccine roll-out), addressing sensitivity and specificity of detection. The panels and two EU human SARS-CoV-2 serological standards were sent to 56 laboratories in 30 countries. Results: The overall performance of laboratories within this EQA indicated a robust ability to establish past SARS-CoV-2 infections via detection of anti-SARS-CoV-2 antibodies, with 53 of 55 laboratories using at least one test that characterised all EQA samples correctly. IgM-specific test methods provided most incorrect sample characterisations (24/208), while test methods detecting total immunoglobulin (0/119) and neutralising antibodies (2/230) performed the best. The semiquantitative assays used by the EQA participants also showed a robust performance in relation to the standards. Conclusion: Our EQA showed a high capability across",1.0,SARS-CoV-2,True
8,www.eurosurveillance.org,0.0,,False
9,Key public health message,0.0,,False
