,sentence,label,data,regex
0,HYPOTHESIS AND THEORY published: 07 October 2021,0.0,,False
1,doi: 10.3389/fbuil.2021.725624,0.0,,False
2,Quantifying the Impact of Ultraviolet Subtype C in Reducing Airborne Pathogen Transmission and Improving Energy Efficiency in Healthy Buildings: A Kahn-Mariita Equivalent Ventilation Model,1.0,Transmission,True
3,Kevin Kahn * and Richard M. Mariita *,0.0,,False
4,"Crystal IS Inc, an Asahi Kasei Company, Green Island, NY, United States",0.0,,False
5,"Edited by: Young Ki Kim, United Arab Emirates University, United Arab Emirates",0.0,,False
6,"Reviewed by: Francesco Leccese, University of Pisa, Italy",0.0,,False
7,"Giuseppe Riccio, University of Naples Federico II, Italy",0.0,,False
8,*Correspondence: Kevin Kahn,0.0,,False
9,kevinh.kahn@gmail.com Richard M. Mariita,0.0,,False
10,richard.mariita@cisuvc.com,0.0,,False
11,Specialty section: This article was submitted to,0.0,,False
12,"Indoor Environment, a section of the journal Frontiers in Built Environment",0.0,,False
13,Received: 15 June 2021 Accepted: 19 August 2021 Published: 07 October 2021,0.0,,False
14,Citation: Kahn K and Mariita RM (2021) Quantifying the Impact of Ultraviolet Subtype C in Reducing Airborne Pathogen Transmission and Improving Energy Efficiency in Healthy Buildings:,1.0,Transmission,True
15,A Kahn-Mariita Equivalent Ventilation Model.,0.0,,False
16,Front. Built Environ. 7:725624. doi: 10.3389/fbuil.2021.725624,0.0,,False
17,"There is growing evidence that viruses responsible for pandemics, such as Middle East respiratory syndrome and severe acute respiratory syndrome, are mainly spread through aerosols. Recommendations have been introduced to reduce the transmission risks of virulent airborne viral particles by increasing ventilation rates, expressed in air changes per hour (ACHs), effectively improving the dilution of pathogens via mechanical ventilation. However, infrastructural and operational costs associated with upgrades of building heating, ventilation, and air conditioning systems make these solutions expensive. It is well documented that Ultraviolet Subtype C (UVC) disinfection can help lower exposure risks by inactivating viruses and the performance of such solutions can translate into equivalent ventilation. Here, we present the first framework to extract the optimal UVC requirements to improve facility management yet ensuring compliance with ventilation guidelines at lower energy costs. The Kahn-Mariita (KM) model considers the air quality of shared enclosed spaces over time by supplementing the existing mechanical ventilation with localized UVC air treatment and includes variables such as room size, occupancy, existing ventilation, and target equivalent ACH. For example, the model applied to a conference room shows that a UVC chamber with recirculation rates of 160 m3/h increases ventilation from an ACH 3 to 7.9 and reduces the room's reset time from 46 to <10 min with as little as 1 W. Recirculation rates of 30 m3/h however offer no benefits beyond 200 mW, with an eACH of 3.9 and reset time of 31 min. The first finding is that single-pass disinfection is not an appropriate metric of performance, i.e., low recirculation rates increase single-pass disinfection, and, however, only treats a portion of the space volume within a given time, limiting the overall performance. Conversely, higher recirculation rates decrease single-pass disinfection but treat larger portions of air, potentially multiple times, and are therefore expected to lower the transmission risk faster. The second result is that for fixed amounts of recirculating air flow, increasing UVC power helps with diminishing return, while for a fixed UVC power, increasing the recirculating air flow will always help. This dynamic is particularly important toward optimizing solutions, given the constraints system engineers must work with, and",1.0,pandemic,True
18,Frontiers in Built Environment | www.frontiersin.org,0.0,,False
19,1,0.0,,False
20,October 2021 | Volume 7 | Article 725624,0.0,,False
21,Kahn and Mariita,0.0,,False
22,Kahn-Mariita Air Disinfection Model,0.0,,False
23,"particularly to design for end-user benefits such as increased occupancy, in-dwelling time, or reduction of shared-space reset time.",0.0,,False
24,"Keywords: ACH and eACH, airborne transmission, healthy buildings, air quality, UVC disinfection, ventilation, HVAC, COVID-19",1.0,transmission,True
25,INTRODUCTION,0.0,,False
26,"The current COVID-19 crisis has highlighted the lack of readiness to manage pandemics globally and the need for solutions to disinfect the air, which is dominantly responsible for the transmission of pathogens (Zhang et al., 2020a) such as SARS-CoV-2 (Nardell, 2021). As temporary confinements implemented all over the world are slowly being lifted, there is an urgent need to implement safety measures to enable physical proximity between individuals, particularly in shared enclosed spaces such as offices, hospitals, schools, restaurants, and transportation systems (Zhang et al., 2020a). Ultraviolet Subtype C (UVC) radiation, emitted at 200-280 nm with germicidal effect and being able to disrupt nucleic acids (RNA or DNA) (Yin et al., 2013), can be used to disinfect the air, thus managing disease outbreak (Reed, 2010). UVC has exhibited effectiveness against hospital-acquired bacterial infections (Mariita and Randive, 2020), including the promise of lessening contact infections in long-term acute care hospitals (Ethington et al., 2018). In addition, studies carried out during the COVID-19 pandemic have demonstrated that UVC can rapidly inactivate SARS-CoV-2 (Storm et al., 2020) even at high viral titers (Heilingloh et al., 2020). Also, the use of UVC to ensure clean air will save energy by warranting reduced building heating, ventilation, and air conditioning (HVAC) energy demand (Aviv et al., 2021).",1.0,COVID-19,True
27,"With the worldwide accepted findings that the airborne transmission route is the most dominant and highly virulent form of COVID-19 transmission (Zhang et al., 2020a) and with people gathering in closed spaces essentially sharing the same air (Nardell, 2021), we have seen a global trend toward ""healthy buildings,"" driven by the urgency for automated, documented, and reliable disinfection of air, surfaces, and water in shared enclosed/inside spaces. Typically, air quality is ensured by ventilation and increasing air changes per hour (ACHs), effectively diluting the virus by adding air and accelerating the reduction of airborne pathogen concentration (Memarzadeh and Xu, 2012). Unfortunately, in most cases, it is impractical to increase ACHs because required improvements in the existing HVAC systems are costly if at all possible with principal restrictions around ceiling heights, inability to upgrade the ducts or fan, and noise air flow pressure drop imbalance due to nonoptimal dimensioning that results from retrofit solutions. In addition, with centralized air systems, the risks of crosscontamination, with air being recirculated from one room to another, remain (Horve et al., 2020). In fact, except in hospitals, HVAC systems in closed public spaces are designed for the comfort of occupants, with odor control, removal of carbon dioxide, and humidity and temperature control, and may not have enough capacity for the right ACHs for airborne transmitted",1.0,transmission,True
28,"disease prevention (Nardell, 2021). It has been demonstrated that improperly applied HVAC systems may contribute to the transmission/spread of airborne diseases (Correia et al., 2020) as also suggested by descriptions from the Diamond Princess Cruise Ship (Zhang et al., 2020b). This has also been indirectly proven using airflow-dynamics models (Chen et al., 2011) and experimental modeling (Li et al., 2005). Additional recent findings suggest that HVAC systems can facilitate SARS-CoV2 transmission via shared air volumes with locations remote from areas where infected people reside (Horve et al., 2020). Moreover, HVAC contamination has been demonstrated in the Middle East respiratory syndrome (MERS) outbreak, caused by another betacoronavirus (Kim et al., 2016).",1.0,disease,True
29,"Another complication for facility management around increasing ventilation lies with the associated energy consumption in such solutions, as revealed in studies by Aviv et al. (2021), Orme (2001), Awbi (2017), and Chenari et al. (2016). New carbon-zero regulations, energy efficiency scoring, and credits create a strong incentive for managers of these assets to reduce ventilation, the primary source of energy consumption. Indeed, the higher the fresh-air injection rate, the more the heating or cooling required and the more expensive it is if systems are optimized with control to adjust to unpredictable changes in external temperature and humidity. For instance, rotary heat exchangers widely used in new constructions to save energy by capturing heat have raised concerns due to potential transfer of viral loads between the return and supply air flows. Conflicting reports on this account have pushed building managers to bypass them, highlighting the friction between energy efficiency and air quality.",0.0,,False
30,"In this study, we present an alternative way of approaching the problem of air quality by using localized UVC for air treatment which is converted into an equivalent ventilation, which we will refer as eACH (sometimes found in the literature as eqACH), (Figure 1). In other words, we look at quantifying the equivalent increase of mechanical ventilation to reach similar air quality within a defined amount of time. This allows reaching ventilation targets without upgrading the existing HVAC system and reversely provides an opportunity to optimize (reduce) the existing ventilation already meeting the recommended ACH by substituting with local UVC solutions. The Kahn-Mariita (KM) model presented here has the potential to rapidly allow buildings to comply with ventilation guidelines such as from the ASHRAE (Schoen, 2020) and WHO (Atkinson et al., 2009), to improve their energy efficiency rating, and provide a simple framework to reopen shared enclosed spaces, increase the time spent in these shared enclosed spaces, and manage occupancy limits, thus accelerating a return to ""normal life."" The KM model is not limited specifically to SARS-CoV-2 and thus also offers a solution effective for any type of airborne microbial",1.0,SARS-CoV-2,True
31,Frontiers in Built Environment | www.frontiersin.org,0.0,,False
32,2,0.0,,False
33,October 2021 | Volume 7 | Article 725624,0.0,,False
34,Kahn and Mariita,0.0,,False
35,Kahn-Mariita Air Disinfection Model,0.0,,False
36,FIGURE 1 | Equivalent ACH (eACH) as it relates to fresh-air injection rate.,0.0,,False
37,"contaminants, such as the flu, tuberculosis, and SARS-Cov-2 or MERS.",1.0,flu,True
