,sentence,label,data,regex
0,Case Report | Thoracic Imaging,1.0,Case,True
1,eISSN 2005-8330 https://doi.org/10.3348/kjr.2020.0112 Korean J Radiol 2020;21(4):501-504,0.0,,False
2,2019 Novel Coronavirus (COVID-19) Pneumonia: Serial Computed Tomography Findings,1.0,Coronavirus,True
3,"Jiangping Wei, MD1*, Huaxiang Xu, MD2*, Jingliang Xiong, MD3, Qinglin Shen, MD4, Bing Fan, MD1, Chenglong Ye, MD1, Wentao Dong, MD1, Fangfang Hu, MD1",0.0,,False
4,"Departments of 1Radiology and 2Medical Cosmetology, Jiangxi Provincial People's Hospital, Nanchang, China; 3Department of Radiology, Jiangxi Chest Hospital, Nanchang, China; 4Institute of Clinical Medicine, Jiangxi Provincial People's Hospital, Nanchang, China",1.0,Clinical,True
5,"From December 2019, Coronavirus disease 2019 (COVID-19) pneumonia (formerly known as the 2019 novel Coronavirus [2019nCoV]) broke out in Wuhan, China. In this study, we present serial CT findings in a 40-year-old female patient with COVID-19 pneumonia who presented with the symptoms of fever, chest tightness, and fatigue. She was diagnosed with COVID-19 infection confirmed by real-time reverse-transcriptase-polymerase chain reaction. CT showed rapidly progressing peripheral consolidations and ground-glass opacities in both lungs. After treatment, the lesions were shown to be almost absorbed leaving the fibrous lesions. Keywords: COVID-19; 2019-nCoV; Coronavirus; Pneumonia; Tomography, X-ray computed",1.0,Coronavirus,True
6,INTRODUCTION,0.0,,False
7,CASE REPORT,0.0,,False
8,"Since December 2019, cases of pneumonia with unknown causes have emerged in succession in Wuhan, China (1, 2). On January 7, 2020, it was identified as a type of novel coronavirus (Coronavirus disease 2019, COVID-19) by virus typing. By January 30, 2020, a total of 7700 cases were confirmed and 170 cases died (3). To date, there have been few reports of chest computed tomography (CT) findings of COVID-19 pneumonia patients (4). We report a confirmed case of COVID-19 pneumonia in a 40-year-old female. Written informed consent was waived by the Jiangxi Provincial People's Hospital Institutional Review Board.",1.0,case,True
9,"Received February 11, 2020; accepted after revision February 17, 2020. *These authors contributed equally to this work. Corresponding author: Bing Fan, MD, Department of Radiology, Jiangxi Provincial People's Hospital, Aiguo Road No. 92, Donghu District, Nanchang 330006, China. · Tel: (86) 19917922166 · Fax: (86) 0791-86892076 · E-mail: 26171381@qq.com This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (https://creativecommons.org/licenses/by-nc/4.0) which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited.",1.0,,True
10,"A 40-year-old female presented with a fever for 3-days, as well as chest tightness, and fatigue for 2-days was admitted to our emergency department. The patient was physically healthy before and had no underlying diseases. She did not travel to Wuhan city and denied any contact with patients with COVID-19 infection.",1.0,disease,True
11,"At admission, her body temperature was elevated to 38.9°C. Laboratory examinations showed normal leukocyte (4170/L), neutrophils (59.6%), and lymphocytes (30.9%). There was an increase in hematocrit (0.456) and glucose (7.3 mmol/L) levels. The initial chest radiograph, taken 3-days after fever onset, was normal in both lungs (Fig. 1A). On the same day, unenhanced chest CT showed ground-glass opacities (GGOs) in the subpleural area of the right lower lobe (Fig. 1B), and the left lung was normal. She was given antibiotics for symptomatic treatment.",1.0,area,True
12,"At first, the patient did not show any respiratory symptoms, however, on day 6 after fever onset, she began coughing. A follow-up chest CT revealed an increased density of GGOs in the right lower lobe, which then progressed into consolidations with perilobular thickening. Moreover, multifocal peripheral patchy areas of nodular consolidations and GGO lesions were newly developed in the subpleural areas of the both lower lobes (Fig. 1C-E). Laboratory",1.0,respiratory,True
13,Copyright © 2020 The Korean Society of Radiology,0.0,,False
14,501,0.0,,False
15,Wei et al.,0.0,,False
16,A,0.0,,False
17,B,0.0,,False
18,C,0.0,,False
19,D,0.0,,False
20,E,0.0,,False
21,F,0.0,,False
22,"Fig. 1. 40-year-old female patient with Coronavirus disease 2019 pneumonia. A, B. Initial posteroanterior chest radiograph and chest CT scan were performed on day of admission (3 days after onset of fever). Chest radiograph (A) shows no thoracic abnormalities. Axial CT scan (B) shows GGOs in subpleural area of right lower lobe. Left lung is normal. C-E. Follow-up chest CT scans taken 6 days after onset of fever show increased density of GGOs in right lower lobe, which then progressed into consolidations with perilobular thickening. Multifocal peripheral patchy areas of nodular consolidations and nodular GGO lesions are newly developed in subpleural areas of both lower lobes. F. Progressive resolution of parenchymal lesions is seen in follow-up high-resolution CT scan obtained on day 12. Patchy consolidations and GGOs in both lungs were almost absorbed leaving a few fibrous lesions that may represent residual organizing pneumonia. Repeat real-time reverse-transcriptase-polymerase chain reaction was negative and patient was discharged. CT ,"" computer tomography, GGO "", ground-glass opacity",1.0,Coronavirus,True
23,502,0.0,,False
24,https://doi.org/10.3348/kjr.2020.0112 kjronline.org,0.0,,False
25,COVID-19 Pneumonia: Serial CT Findings,1.0,COVID-19,True
26,"examination showed decreased leukocyte (3390/L) and eosinophils (0.0%); normal neutrophils (67.4%) and lymphocytes (23.7%); and increased C-reactive protein (8.00 mg/L). The influenza A antigen screening was negative. Finally, she was diagnosed with COVID-19 infection by realtime reverse-transcriptase-polymerase chain reaction (rRTPCR) amplification of the viral DNA from a sputum sample.",1.0,flu,True
27,"The patient was isolated and treated with antiviral drug (lopinavir: 200 mg/capsule, 2 capsules each time, twice a day) and antibiotics (tabaxin [piperacillin + tazobactam]). After 6 days of treatment, the temperature of the patient dropped to normal and the symptoms disappeared. On day 12, a repeat rRT-PCR was negative and the patient was discharged. At the time of discharge, a repeat CT showed that the previous consolidations and GGOs in both lungs were almost absorbed leaving a few fibrous lesions that may represent residual organizing pneumonia (Fig. 1F).",1.0,negative,True
28,DISCUSSION,0.0,,False
29,"Since December 2019, some hospitals in Wuhan have been suffering from pneumonia of unknown causes, later identified as a COVID-19 by the whole genome sequence analysis of the viruses in the respiratory samples from the patients (5). This coronavirus belongs to the  genus, which was named COVID-19 by World Health Organization (6, 7). Most of the initial cases had a history of exposure to the South China Seafood Market in Wuhan city, and some cases rendered a family clustering feature. The source of infection is still unknown, however it is speculated that the infection may have been caused by bats or vipers (8). The infection is mainly transmitted through respiratory droplets. The median time from onset to admission to the hospital was 9 days, and most patients were between 40 and 60 years-old. The clinical manifestations are mainly fever, fatigue, and dry cough, with gradual dyspnea in some cases and acute respiratory distress syndrome in severe cases (2, 3, 9). In this case, the patient had no clear history of contact with the epidemic area, and both the leukocytes and lymphocytes were normal, thus it was misdiagnosed as common pneumonia at first.",1.0,COVID-19,True
30,"In this case, the initial CT showed GGOs in the right lower lobe, the pathology of which may represent pulmonary edema or hyaline membrane formation (4). The density of the lesions is so subtle that it can hardly be depicted by conventional radiographs. Therefore, routine CT examination is recommended for the patients suspected of COVID-19",1.0,case,True
31,"to reduce missed diagnosis (1). CT findings of this patient include the short-term progression of lesions, multiple patchy consolidations and GGOs in both lungs, especially in the peripheral lung zones of the lower lobes, which may represent alveolar injury, cellular and fibrous exudation. After treatment, the consolidations and GGOs were almost absorbed, leaving fibrous cord-like shadows that represent fibrosis.",0.0,,False
32,"In conclusion, we report the serial CT findings in a female patient with COVID-19. Chest CT showed rapidly developing multiple patchy consolidations and GGOs in both lungs, which were mainly distributed in the peripheral areas. In the later stage, there may be a possibility of development of fibrosis. And with high-resolution CT, it will be easier to find GGOs in the early stage. The imaging findings of COVID-19 overlap with other viral pneumonia, therefore, nucleic acid tests are recommended for prompt diagnosis and treatment.",1.0,COVID-19,True
33,Conflicts of Interest The authors have no potential conflicts of interest to disclose.,0.0,,False
34,ORCID iDs Bing Fan,0.0,,False
35,https://orcid.org/0000-0003-4439-6150 Jiangping Wei,0.0,,False
36,https://orcid.org/0000-0002-6707-1642 Huaxiang Xu,0.0,,False
37,https://orcid.org/0000-0003-4391-098X,0.0,,False
38,REFERENCES,0.0,,False
39,"1. Rubin EJ, Baden LR, Morrissey S, Campion EW. Medical journals and the 2019-nCoV outbreak. N Engl J Med 2020 Jan 27 [Epub]. https://doi.org/10.1056/NEJMe2001329",1.0,outbreak,True
40,2. The Lancet. Emerging understandings of 2019-nCoV. Lancet 2020;395:311,0.0,,False
41,"3. Carlos WG, Dela Cruz CS, Cao B, Pasnick S, Jamil S. Novel Wuhan (2019-nCoV) Coronavirus. Am J Respir Crit Care Med 2020;201:P7-P8",1.0,Coronavirus,True
42,"4. Lei J, Li J, Li X, Qi X. CT imaging of the 2019 Novel Coronavirus (2019-nCoV) pneumonia. Radiology 2020 Jan 31 [Epub]. https://doi.org/10.1148/radiol.2020200236",1.0,Coronavirus,True
43,"5. Zhu N, Zhang D, Wang W, Li X, Yang B, Song J, et al.; China Novel Coronavirus Investigating and Research Team. A novel coronavirus from patients with pneumonia in China, 2019. N Engl J Med 2020 Jan 24 [Epub]. https://doi.org/10.1056/ NEJMoa2001017",1.0,Coronavirus,True
44,kjronline.org,0.0,,False
45,https://doi.org/10.3348/kjr.2020.0112,0.0,,False
46,503,0.0,,False
47,Wei et al.,0.0,,False
48,6. Lu H. Drug treatment options for the 2019-new Coronavirus (2019-nCoV). Biosci Trends 2020 Jan 28 [Epub]. https://doi. org/10.5582/bst.2020.01020,1.0,Coronavirus,True
