,sentence,label,data,regex
0,Berkhahn and Ehrhardt Advances in Continuous and Discrete Models https://doi.org/10.1186/s13662-022-03733-5,0.0,,False
1,(2022) 2022:61,0.0,,False
2,Advances in Continuous and Discrete Models,0.0,,False
3,RESEARCH,0.0,,False
4,Open Access,0.0,,False
5,A physics-informed neural network to model COVID-19 infection and hospitalization scenarios,1.0,COVID-19,True
6,Sarah Berkhahn1 and Matthias Ehrhardt1*,0.0,,False
7,"*Correspondence: ehrhardt@uni-wuppertal.de 1Applied and Computational Mathematics, Bergische Universität Wuppertal, Wuppertal, Germany",0.0,,False
8,Abstract,0.0,,False
9,"In this paper, we replace the standard numerical approach of estimating parameters in a mathematical model using numerical solvers for differential equations with a physics-informed neural network (PINN). This neural network requires a sequence of time instances as direct input of the network and the numbers of susceptibles, vaccinated, infected, hospitalized, and recovered individuals per time instance to learn certain parameters of the underlying model, which are used for the loss calculations.",0.0,,False
10,"The established model is an extended susceptible-infected-recovered (SIR) model in which the transitions between disease-related population groups, called compartments, and the physical laws of epidemic transmission dynamics are expressed by a system of ordinary differential equations (ODEs). The system of ODEs and its time derivative are included in the residual loss function of the PINN in addition to the data error between the current network output and the time series data of the compartment sizes. Further, we illustrate how this PINN approach can also be used for differential equation-based models such as the proposed extended SIR model, called SVIHR model.",1.0,disease,True
11,"In a validation process, we compare the performance of the PINN with results obtained with the numerical technique of non-standard finite differences (NSFD) in generating future COVID-19 scenarios based on the parameters identified by the PINN. The used training data set covers the time between the outbreak of the pandemic in Germany and the last week of the year 2021.",1.0,COVID-19,True
12,"We obtain a two-step or hybrid approach, as the PINN is then used to generate a future COVID-19 outbreak scenario describing a possibly next pandemic wave. The week at which the prediction starts is chosen in mid-April 2022.",1.0,COVID-19,True
13,Keywords: Physics-informed neural networks; SIR; Compartment models; COVID-19; SARS-CoV-2; Epidemiology,1.0,COVID-19,True
14,1 Introduction,0.0,,False
15,"To pursue the goal of developing a method for predicting future epidemiological trends,",0.0,,False
16,not only a numerical and a data-driven but also a mathematical approach are established,0.0,,False
17,to generate COVID-19 scenarios in this paper. All methods applied in this work to data on,1.0,COVID-19,True
18,"© The Author(s) 2022. Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/.",0.0,,False
19,Berkhahn and Ehrhardt Advances in Continuous and Discrete Models,0.0,,False
20,(2022) 2022:61,0.0,,False
21,Page 2 of 27,0.0,,False
22,COVID-19-related population group sizes in Germany are also applicable to other countries for which data that can be transformed into sizes of model compartments is available.,1.0,COVID-19,True
23,"The COVID-19 pandemic is currently one of the most discussed topics worldwide. The first cases of severe acute respiratory syndrome coronavirus type 2 (SARS-CoV-2) occurred in Asia in December 2019, but they were not reliably identified then. The People's Republic of China experienced a peak of about 4600 cases per day in mid-February 2020, but by March 2020, the epidemic was largely contained in China and other Asian parts of the world. Europe experienced the first wave of the pandemic in March and April 2020, with, for example, about 5840 new daily infections in Germany in late March and 13,260 new daily infections in France in mid-April 2020.",1.0,COVID-19,True
