,sentence,label,data,regex
0,www.nature.com/scientificdata,0.0,,False
1,OPEN,0.0,,False
2,Data Descriptor,0.0,,False
3,Database of SARS-CoV-2 and coronaviruses kinetics relevant for assessing persistence in food processing plants,1.0,SARS-CoV-2,True
4,"Ngoc-Du Martin Luong 1, Laurent Guillier 1, Sandra Martin-Latil2, Christophe Batejat3, India Leclercq3, Christine Druesne 4, Moez Sanaa1 & Estelle Chaix1",0.0,,False
5,"SARS-CoV-2 (Severe acute respiratory syndrome coronavirus 2), a virus causing severe acute respiratory disease in humans, emerged in late 2019. This respiratory virus can spread via aerosols, fomites, contaminated hands or surfaces as for other coronaviruses. Studying their persistence under different environmental conditions represents a key step for better understanding the virus transmission. This work aimed to present a reproducible procedure for collecting data of stability and inactivation kinetics from the scientific literature. The aim was to identify data useful for characterizing the persistence of viruses in the food production plants. As a result, a large dataset related to persistence on matrices or in liquid media under different environmental conditions is presented. This procedure, combining bibliographic survey, data digitalization techniques and predictive microbiological modelling, identified 65 research articles providing 455 coronaviruses kinetics. A ranking step as well as a technical validation with a Gage Repeatability & Reproducibility process were performed to check the quality of the kinetics. All data were deposited in public repositories for future uses by other researchers.",1.0,SARS-CoV-2,True
6,Background & Summary,0.0,,False
7,"The first cases of coronaviruses disease 2019 (COVID-19) due to SARS-CoV-2 were detected in China in December 2019 and spread afterwards quickly around different countries from around January-February 20201. From the first months of viral dissemination, SARS-CoV-2 clusters were observed, in particular in occupational environments for several essential sectors such as health care centres2,3 or food processing plants4-7. The transmission of coronaviruses among humans was reported as possibly through aerosol (inhalation of aerosolized or falling contaminated droplets) or through contact (hand, objects or surfaces)8,9. Infected persons (symptomatic or asymptomatic) can send out several contaminated droplets that could stay in aerosol, be directly inhaled or fall on surfaces and potentially infect afterwards other persons. However, the changes of the infectious viral load in the contaminated droplets susceptible to be inhaled and to induce disease are not well known in either aerosol or surfaces. Furthermore, the persistence of SARS-CoV-2 depends on environmental conditions that are very different from one occupational location to another10,11. Some factors such as airflow, ventilation, temperature and relative humidity modify the probability of SARS-CoV-2 transmission through respiratory pathways since it can affect droplet movements and virus survival, notably through droplet desiccation12. Some studies reported the influence of few temperature and/or relative humidity conditions. For example, the virus remains infectious for longer periods at lower temperatures and very high relative humidity10, metal surfaces such as stainless steel could allow the virus to remain infectious longer than on others under some specific temperature-humidity conditions13,14. Studies on coronaviruses persistence were generally conducted by experiments in laboratory consisting in monitoring the virus kinetics under controlled conditions. The reduction of virus infectivity over time could be evaluated by fitting inactivation mathematical models on experimental data. Studying the effects of environmental conditions encountered in food premises requires collecting kinetics data as exhaustively as",1.0,case,True
8,"1Risk Assessment Department, ANSES, Maisons-Alfort, France. 2Laboratory for Food Safety, ANSES, University of Paris-EST, Maisons-Alfort, France. 3Institut Pasteur, Université Paris Cité, Environment and Infectious Risks Unit, Laboratory for Urgent Response to Biological Threats (CIBU), Paris, France. 4Research fundings & scientific watch department, ANSES, Maisons-Alfort, France. e-mail: laurent.guillier@anses.fr",1.0,Infectious,True
9,Scientific Data | (2022) 9:654 | https://doi.org/10.1038/s41597-022-01763-y,0.0,,False
10,1,0.0,,False
11,www.nature.com/scientificdata/,0.0,,False
12,www.nature.com/scientificdata,0.0,,False
13,Fig. 1 Schematic overview of the data collection workflow.,0.0,,False
14,"Query theme (1) ""SARS-CoV-2 and coronavirus""",1.0,SARS-CoV-2,True
15,"(2a) ""Human and food""",0.0,,False
16,"(2b) ""Water"" (2c) ""Environmental persistence""",0.0,,False
17,Keywords,0.0,,False
18,"sars-cov-2 OR ""covid-19"" OR ""coronavirus"" OR ""corona virus"" OR ""2019-ncov"" OR ""novel coronavirus""",1.0,covid-19,True
19,"food OR ""bread"" OR ""dairy products"" OR ""eggs"" OR ""fast foods"" OR ""flour"" OR ""fruit"" OR ""meal"" OR ""meat"" OR ""raw foods"" OR ""salads"" OR ""vegetables"" OR ""foodborne"" OR ""gastrointestinal"" OR ""intestine"" OR ""digestive"" OR ""feces"" OR ""stool"" OR ""fecal"" OR ""clams"" OR ""oysters"" OR ""cockles"" OR ""mussels"" OR ""scallops"" OR ""molluscs"" OR ""bivalvia"" OR ""shellfish fish"" OR ""shellfish farming""",0.0,,False
20,"seawater OR ""sea water"" OR ""marine"" OR ""wastewater"" OR ""water treatment plant"" OR ""water""",0.0,,False
21,"environment* AND (""survival"" OR ""persistence"")",0.0,,False
22,Table 1. Keywords used in the four themes for weekly bibliographic database queries.,0.0,,False
23,"possible to cover large ranges of values for each condition: inert or food surfaces, temperature, relative humidity, experimental quantification method, virus strain etc. To our knowledge, such exhaustive kinetics dataset are not available yet in the literature. It should also be noted that the gathering of data between different studies is not easy. For example, kinetics are frequently plotted in research articles but raw data are not often provided in all of them as quantitative (numerical) values that can be used for further studies of theirs.",0.0,,False
24,"Thus, the main goal of this paper was to collect and make available the compilation of a large dataset of quantitative kinetics related to SARS-CoV-2 and other coronaviruses under different conditions useful for assessing and modelling their persistence in food processing environments.",1.0,SARS-CoV-2,True
25,Methods,0.0,,False
26,"The overall procedure for collecting and pre-treating literature data is briefly illustrated in Fig. 1. Firstly, a literature review to identify relevant publications presenting kinetics data was carried out. This research was based on a query of scientific bibliographical databases in accordance with the PRISMA guidelines15 (Step 1). The second step consisted in converting raw data from scientific publications (texts, tables or figures) into a ready-to-use numerical dataset with a manual collection for tables or a semi-automated collection after digitalization of figures (Step 2). Afterwards, an inactivation primary model was fitted on each kinetics to estimate the viral infectivity reduction parameter and its uncertainty (Step 3). Finally, a quality-ranking step (Step 4) was performed to evaluate the quality of the data collected from kinetics. The quantitative dataset and the different tools used in this procedure are freely available and detailed in the following sub-sections.",0.0,,False
27,"Scoping review. The scoping review is part of a scientific project to describe the persistence of coronaviruses in food production environments. Firstly, a query process was carried out to identify relevant records, using weekly advanced searches on several topics associated with SARS-CoV-2. This weekly literature search was conducted between March 2020 and 25th August 2021 using a combination of keywords related to the main thematic (1) ""SARS-CoV-2 and coronavirus"" joined by the logical connector AND with one of the following (2a) ""Human and food"", (2b) ""Water"" or (2c) ""Environmental persistence"". The keywords used for each theme are specified in Table 1. Studies were collected weekly from two bibliographic search engines PubMed and Scopus (from March 2020 to August 2021) and by query on Frontiers (from November 2020 to August 2021). A date restriction was defined: only publications from the 1st of January 2020 were collected. The search was limited to publications with abstracts written in English. The last query process using those above-mentioned criteria performed on the 25th of August 2021 identified overall 14,267 references exported to EndNote software, after duplicate removal. From this corpus, a thematic filter about ""Persistence"" was built with a ""from group"" tools in EndNote software. This filter consisted in selecting articles with ""persisten*"" ""survival"" or ""stability"" in the field ""Title-Abstract-Keywords"", joined by the logical connector AND with ""environment*"". This search resulted in 418 references. These records were afterwards filtered in accordance with the PRISMA Statement guidelines15 (Fig. 2), using different inclusion/ exclusion criteria based on title, abstract and sometimes full-text when needed. The inclusion criteria were (1)",1.0,coronavirus,True
28,Scientific Data | (2022) 9:654 | https://doi.org/10.1038/s41597-022-01763-y,0.0,,False
29,2,0.0,,False
30,www.nature.com/scientificdata/,0.0,,False
31,www.nature.com/scientificdata,0.0,,False
32,Fig. 2 Flow chart outlining the procedure for quantitative data collection from the literature based on the PRISMA guidelines statement and preliminary studies.,0.0,,False
33,"studies on persistence on materials, surfaces or aerosols or (2) studies on working environment. The exclusion criteria were (1) studies on therapeutic or vaccine development, (2) studies on untreated wastewater, (3) studies on diet or nutrition (4) language other than English and French, and (5) full text not available. A first screening step identified 82 references for which full papers were read to determine if they were included as fully documented kinetics of persistence data (either in tables or in figures) or used to complete the identification of relevant publications (e.g. in the case of reviews). All the above screening and completion stages identified a final total number of 65 studies in which available raw kinetics data could be extracted from tables and/or figures.",1.0,vaccine,True
34,"Information associated with kinetics data. The second step consisted in converting raw data from scientific publications into ready-to-use numerical dataset by extracting data from texts, tables and/or using figure digitalization techniques. This step provided several ""kinetics"", meaning the tracking of viral titer at different time points under different conditions. Kinetics corresponding to viral genome quantification (e.g. by RT-qPCR techniques) were excluded since such quantification did not represent the viral infectivity. In total, 464 kinetics were available from the 65 identified studies11,13,14,16-77 (Tables 2 and 3). It is worth noting that kinetics for coronaviruses other than SARS-CoV-2 collected in these studies were also retained for analyses.",1.0,coronavirus,True
35,"Several information associated with the above kinetics were gathered in an Excel spreadsheet (more details in the Data records section). For each identified kinetics, we assigned a unique kinetics key. The virus Strains, Species, Subgenus and Genus were indicated for each kinetics, as well as other conditions such as the nature of the materials (stainless steel, plastic, paper,...), the medium (liquid media, aerosol, porous and non-porous surfaces), temperature and relative humidity (expressed in range and or median value), pH (if available) etc. Other information was also indicated for each kinetics such as the initial virus load, the type of cell used for infectious viral titration (Vero, etc.) or the number of experimental replicates. Table 2 provides an overview of the extracted kinetics from SARS-CoV-2 studies, the Table 3 from studies for other coronaviruses.",1.0,spread,True
36,"Data extraction. The persistence kinetics data were taken from texts, tables or figures in the research papers identified above. Data from tables or texts were manually filled into the database. Raw data from figures were extracted using the R package metadigitize78. This tool provided the possibility to process simultaneously many figures, as well as reproducibility (e.g., correcting the digitalized data, sharing digitalization). For reproducibility purposes, all files associated with raw digitalizations of our study are provided and detailed in the Data records section. The monitored time points extracted from all studies (extractions from tables or figures digitalization) were converted and expressed in hours in order to homogenize for comparative purposes between studies.",0.0,,False
37,"Viral infectivity reduction parameter. The third step aimed to estimate a parameter to characterize the viral infectivity reduction for each kinetics (condition). This parameter, denoted D and expressed in hour, characterized the decimal log reduction time and was estimated by fitting a primary inactivation model on the extracted data79. The value of D corresponding to the inverse of the slope from a linear model10,71 was written as follows:",0.0,,False
38,Scientific Data | (2022) 9:654 | https://doi.org/10.1038/s41597-022-01763-y,0.0,,False
39,3,0.0,,False
40,www.nature.com/scientificdata/,0.0,,False
41,www.nature.com/scientificdata,0.0,,False
42,"Standardised/Classified matrix Dechlorinated tap water, autoclaved wastewater Biological specimen, Liquid culture medium Biological specimen Coated glass, Stainless, Glass Stainless steel Glass, Liquid culture medium Liquid culture medium Cotton, Glass, Mask, Paper, Plastic, Stainless steel, Wood Food (salmon) Liquid culture medium Biological specimen, Food (Dairy drinks; Juice/Coffee/Tea; Alcohol/ Carbonated/Health beverage), Liquid culture medium, Water Glass, Plastic, Stainless steel Skin Liquid culture medium Cotton, Latex, Mask, Plastic, Rubber, Stainless steel, Tyvek Metal Cardboard, Cloth, Concrete, Foam, Glass, Mask, Polyproylene, Rubber, Stainless steel, Tyvek Water Ceramic, Glass, Mask, Latex, Cotton, Paper, Plastic, Stainless steel, Wood Plastic",1.0,Mask,True
43,Biological specimen,0.0,,False
44,"Food (Dairy drinks) Paper, Plastic Plastic Paper, Plastic, Foam Leather Brass, Glass, Marble, Plastic, Stainless steel",0.0,,False
45,"Foam, Paper, Plastic",0.0,,False
46,"Aluminum, Glass, Plastic Cotton, Mask, Plastic, Polymer note, Polyester, Stainless steel, Tyvek Stainless steel Cotton, Glass, Paper, Polymer note, Stainless steel, Vinyl Acrylic, Laminate, Plastic, Polyurethane, Quartz, Rubber, Vinyl, Stainless steel Water Water Aerosol in liquid culture medium Aerosol, Cardboard, Copper, Plastic, Stainless steel Stainless steel Plastic",1.0,Mask,True
47,"Temperature (°C) * 4, 15, 25, 37 56 65 22 24, 35 4, 22.5, 30, 37 4, 22, 37, 56 22",0.0,,False
48,"4, 25",0.0,,False
49,4,0.0,,False
50,"22 4 4 20 4, 22, 30",0.0,,False
51,21,0.0,,False
52,23,0.0,,False
53,20,0.0,,False
54,"22.5, 28 4, 21 27 5 21.8 21.9 21.8 22 21,7 2.4 28.6 20 21.5 19 20, 30, 40",0.0,,False
55,25,0.0,,False
56,"20 4, 20 20.5 22 7, 25 20, 22, 27",0.0,,False
57,Relative humidity (%) *,0.0,,False
58,100,0.0,,False
59,Number of kinetics,0.0,,False
60,9,0.0,,False
61,100,0.0,,False
62,3,0.0,,False
63,65,0.0,,False
64,16,0.0,,False
65,"20, 40, 60",0.0,,False
66,6,0.0,,False
67,"63, 100",0.0,,False
68,8,0.0,,False
69,100 14,0.0,,False
70,65,0.0,,False
71,N/A 4,0.0,,False
72,100,0.0,,False
73,100,0.0,,False
74,26,0.0,,False
75,40,0.0,,False
76,2,0.0,,False
77,45,0.0,,False
78,12,0.0,,False
79,100,0.0,,False
80,6,0.0,,False
81,37.5,0.0,,False
82,8,0.0,,False
83,35,0.0,,False
84,3,0.0,,False
85,"60, 66, 70, 75 48",0.0,,False
86,100,0.0,,False
87,4,0.0,,False
88,,0.0,,False
89,9,0.0,,False
90,40,0.0,,False
91,2,0.0,,False
92,40 6,0.0,,False
93,85,0.0,,False
94,100,0.0,,False
95,1,0.0,,False
96,42.8,0.0,,False
97,5,0.0,,False
98,37.4,0.0,,False
99,5,0.0,,False
100,38.6,0.0,,False
101,5,0.0,,False
102,38.6,0.0,,False
103,2,0.0,,False
104,36.6,0.0,,False
105,5,0.0,,False
106,34.5 8,0.0,,False
107,32.6,0.0,,False
108,50,0.0,,False
109,6,0.0,,False
110,45,0.0,,False
111,7,0.0,,False
112,57,0.0,,False
113,3,0.0,,False
114,50,0.0,,False
115,18,0.0,,False
116,47.5,0.0,,False
117,14,0.0,,False
118,100,0.0,,False
119,1,0.0,,False
120,100,0.0,,False
121,4,0.0,,False
122,78,0.0,,False
123,4,0.0,,False
124,40,0.0,,False
125,5,0.0,,False
126,65,0.0,,False
127,4,0.0,,False
128,"40, 65, 85",0.0,,False
129,9,0.0,,False
130,References,0.0,,False
131,38,0.0,,False
132,27,0.0,,False
133,39 40 45,0.0,,False
134,14,0.0,,False
135,46,0.0,,False
136,48 90 50 51 52 53 54 55 56 58,0.0,,False
137,59,0.0,,False
138,91 61 62 63 64 65,0.0,,False
139,66,0.0,,False
140,68 69 70 71 72 41 77 75 13 76 11,0.0,,False
141,Table 2. Overview of the persistence kinetics of SARS-CoV-2 on different matrices and the associated,1.0,SARS-CoV-2,True
142,environmental conditions. *median values were considered if temperatures and relative humidity were given by ranges.,0.0,,False
143,"log N ,"" - t ,""",0.0,,False
144,10 N0,0.0,,False
145,D,0.0,,False
146,"with N0 and N corresponding to the number of infectious viruses at the initial time point and the time point t (expressed in hour), respectively. The model was fitted independently on each kinetics using the function nls() from the R package nlstools80 running with the `nl2sol' algorithm from the Port library81. The starting parameter",1.0,infectious,True
147,"values necessary for the fitting algorithm was set depending on the kinetics curves or optimized using the R package nls282 in some rare cases of non-convergence. For each kinetics, a value of D was estimated as well as",1.0,curve,True
148,Scientific Data | (2022) 9:654 | https://doi.org/10.1038/s41597-022-01763-y,0.0,,False
149,4,0.0,,False
150,www.nature.com/scientificdata/,0.0,,False
151,www.nature.com/scientificdata,0.0,,False
152,Genus,0.0,,False
153,Sub-genus,0.0,,False
154,Duvinacovirus,0.0,,False
155,Alphacoronavirus Pedacovirus,1.0,coronavirus,True
156,Tegacovirus,0.0,,False
157,Embecovirus,0.0,,False
158,Betacoronavirus Sarbecovirus,1.0,coronavirus,True
159,Virus HCoV 229E HCoV 229E HCoV 229E HCoV 229E HCoV 229E HCoV 229E HCoV 229E,0.0,,False
160,HCoV 229E,0.0,,False
161,HCoV 229E HCoV 229E PEDV PEDV PEDV Alphacoronavirus 1 FCoV FIPV FIPV ATCC-990 PRCV TGEV TGEV TGEV,1.0,coronavirus,True
162,TGEV,0.0,,False
163,BCoV,0.0,,False
164,CCV HCoV OC43 HCoV OC43 HCoV OC43 MHV MHV MHV MHV MERS MERS,0.0,,False
165,SARS-CoV-1,0.0,,False
166,SARS-CoV-1 SARS-CoV-1 SARS-CoV-1,0.0,,False
167,SARS-CoV-1,0.0,,False
168,SARS-CoV-1,0.0,,False
169,SARS-CoV-1,0.0,,False
170,SARS-CoV-1,0.0,,False
171,"Standardized/Classified matrix Cotton, Polycotton, Polyester, Liquid culture medium, Plastic Stainless steel Food (vegetables) Glass, Plastic, Stainless steel Liquid culture medium Liquid culture medium Ceramic, Glass, PVC, Rubber, Stainless, Teflon Liquid culture medium Water Liquid culture medium Liquid culture medium Liquid culture medium Plastic Stainless steel Liquid culture medium Water Liquid culture medium, Seawater, Water Lake water, Reagent-grade water Stainless steel Cotton, Latex, Mask, Nitrile glove",1.0,Mask,True
172,Liquid culture medium,0.0,,False
173,"Food (vegetables), Liquid culture medium Liquid culture medium Cotton, Polycotton, Polyester Liquid culture medium Liquid culture medium Liquid culture medium Pasteurized wastewater Lake water, Reagent-grade water Stainless steel Liquid culture medium Plastic, Stainless steel Plastic Dryed Plastic Liquid culture medium Glass, Liquid culture medium Liquid culture medium Liquid culture medium Biological specimen Biological specimen, Liquid culture medium",0.0,,False
174,"Glass, Liquid culture medium",0.0,,False
175,"Aerosol, Cardboard, Copper, Plastic, Stainless steel Liquid culture medium, Plastic",0.0,,False
176,"Temperature (°C) * 19 23, 56, 23 7, 25 22 24 33, 37 4, 22, 33, 37",0.0,,False
177,21,0.0,,False
178,"37 23 50 48 40, 44, 48 4 7, 25 54 23 20 25 4, 20, 40 20 31, 35, 39, 43, 47, 51, 55",0.0,,False
179,4,0.0,,False
180,"60 19 33, 37 37 40 25 25 4, 20, 40 56, 65 20, 30 28, 33, 38 23.5 23.5 4, 22.5, 30, 37 56, 65 56 4",0.0,,False
181,20,0.0,,False
182,"22 58, 68",0.0,,False
183,22,0.0,,False
184,"23, 56",0.0,,False
185,Relative humidity (%) * 34 100 65 35 50 100 100,0.0,,False
186,35,0.0,,False
