,sentence,label,data,regex
0,"Infection Control & Hospital Epidemiology (2022), 1-4 doi:10.1017/ice.2022.258",1.0,Epidemiology,True
1,Original Article,0.0,,False
2,Air dispersal of severe acute respiratory coronavirus virus 2 (SARSCoV-2): Implications for hospital infection control during the fifth wave of coronavirus disease 2019 (COVID-19) due to the SARS-CoV-2 omicron variant in Hong Kong,1.0,respiratory,True
3,"Shuk-Ching Wong MNurs1 , Veronica Wing-Man Chan MPH1, Lithia Lai-Ha Yuen MNurs1, Christine Ho-Yan AuYeung MNurs1, Jessica Oi-Yan Leung MNurs1, Chi-Kuen Li MNurs1, Monica Oi-Tung Kwok BNurs1, Simon Yung-Chun So MSc2, Jonathan Hon-Kwan Chen PhD2 , Anthony Raymond Tam MBBS3 , Ivan Fan-Ngai Hung MD3 , Kelvin Kai-Wang To MD4, Janice Yee-Chi Lo FRCPA5, Kwok-Yung Yuen MD4 and Vincent Chi-Chung Cheng MD1,2",0.0,,False
4,"1Infection Control Team, Queen Mary Hospital, Hong Kong West Cluster, Hong Kong Special Administrative Region, China, 2Department of Microbiology, Queen Mary Hospital, Hong Kong Special Administrative Region, China, 3Department of Medicine, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong Special Administrative Region, China, 4Department of Microbiology, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong Special Administrative Region, China and 5Centre for Health Protection, Department of Health, Hong Kong Special Administrative Region, China",1.0,Cluster,True
5,Abstract We obtained 24 air samples in 8 general wards temporarily converted into negative-pressure wards admitting coronavirus disease 2019 (COVID-19) patients infected with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) omicron variant BA.2.2 in Hong Kong. SARS-CoV-2 RNA was detected in 19 (79.2%) of 24 samples despite enhanced indoor air dilution. It is difficult to prevent airborne transmission of SARS-CoV-2 in hospitals. (Received 1 August 2022; accepted 24 September 2022),1.0,negative,True
6,"Since the emergence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) omicron variant in November 2021, it became the dominant variant circulating globally. The evolving SARS-CoV-2 omicron sublineages from (BA.1 to BA.2 to BA.4 to BA.5) have demonstrated progressively increased transmissibility,1 leading to explosive outbreaks in the community.2 Whether the SARS-CoV-2 omicron variant increased the risk of coronavirus disease 2019 (COVID-19) transmission in the healthcare setting remains uncertain. Recent studies have shown that the universal use of surgical respirators as a component in infection prevention contributed to the rapid control of SARS-CoV-2 omicron transmission in the hospital.3 Universal use of surgical respirators in the healthcare setting was also advocated when the infection rate of COVID-19 in community was high.4 The preliminary findings of surgical respirator use in the SARS-CoV-2 omicron era may provide an indirect implication of airborne transmission of SARS-CoV-2 omicron variant in the clinical areas.",1.0,respiratory,True
7,"Author for correspondence: Vincent Chi-Chung Cheng, E-mail: vcccheng@hku.hk Cite this article: Wong S-C, et al. (2022). Air dispersal of severe acute respiratory coronavirus virus 2 (SARS-CoV-2): Implications for hospital infection control during the fifth wave of coronavirus disease 2019 (COVID-19) due to the SARS-CoV-2 omicron variant in Hong Kong. Infection Control & Hospital Epidemiology, https:// doi.org/10.1017/ice.2022.258",1.0,respiratory,True
8,"Demonstration of air dispersal of the SARS-CoV-2 omicron variant may further support the use of surgical respirators by healthcare workers (HCWs) in general wards. Based on our previous experience in performing air sampling to detect SARSCoV-2 RNA in the airborne infection isolation room (AIIR) of hospitals and community treatment facilities during the COVID-19 pandemic,5-7 we performed air sampling to assess the air dispersal of SARS-CoV-2 in general wards that were temporarily converted into negative-pressure wards (NPWs) for COVID-19 patients during the surge of SARS-CoV-2 omicron cases in the fifth wave of COVID-19 in Hong Kong. These findings may have implications for infection control.",1.0,SARS-CoV-2,True
9,Methods,0.0,,False
10,Collection of air samples for SARS-CoV-2 RNA in wards,1.0,SARS-CoV-2,True
11,"To assess the air dispersal of SARS-CoV-2, air samples were collected in Queen Mary Hospital using an AerosolSense Sampler (Thermo Fisher Scientific, MA) as previously described.6,8 The air sample was collected through an omnidirectional inlet and directed toward the collection substrate through an accelerating slit impactor at a flow rate of 200 L per minute for a total of 1-6 hours, resulting in 12,000 L to 72,000 L of air per sample. The air sampler was placed outside the nursing station, which was located at the center of the ward (Fig. 1).",1.0,SARS-CoV-2,True
