Label,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Subsample,Precision,Recall,AUC,Accuracy
Immune,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,1,5%,0.843406593,0.402359109,0.663826999,0.663826999
Immune,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,1,5%,0.625141563,0.906403941,0.680998023,0.681183237
Immune,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,1,5%,0.640122511,0.920704846,0.70154185,0.70154185
Immune,Imbalanced,Imbalanced,XGBoost,0.17,0.83,1,5%,0.643867925,0.91,0.703333333,0.703333333
Immune,Imbalanced,Imbalanced,Random Forest,0.17,0.83,1,5%,0.638888889,0.890322581,0.691914537,0.692556634
Immune,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,1,5%,0.746323529,0.266055046,0.587811271,0.587811271
Immune,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,1,5%,0.577087794,0.885057471,0.617693209,0.617912901
Immune,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,1,5%,0.800970874,0.363436123,0.636563877,0.636563877
Immune,Imbalanced,Imbalanced,XGBoost,0.33,0.67,1,5%,0.880733945,0.32,0.638333333,0.638333333
Immune,Imbalanced,Imbalanced,Random Forest,0.33,0.67,1,5%,0.569037657,0.877419355,0.604294093,0.605177994
Immune,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,1,5%,0.843243243,0.408912189,0.666448231,0.666448231
Immune,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,1,5%,0.771812081,0.566502463,0.699369653,0.699260477
Immune,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,1,5%,0.802588997,0.546255507,0.705947137,0.705947137
Immune,Imbalanced,Imbalanced,XGBoost,0.5,0.5,1,5%,0.780487805,0.533333333,0.691666667,0.691666667
Immune,Imbalanced,Imbalanced,Random Forest,0.5,0.5,1,5%,0.859813084,0.593548387,0.748072895,0.747572816
Immune,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,1,5%,0.246395806,0.698884758,0.620723207,0.570117955
Immune,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,1,5%,0.904761905,0.558257345,0.653041716,0.594083813
Immune,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,1,5%,0.938325991,0.582763338,0.712285624,0.633259912
Immune,Imbalanced,Imbalanced,XGBoost,0.67,0.33,1,5%,0.9,0.576923077,0.674825175,0.62
Immune,Imbalanced,Imbalanced,Random Forest,0.67,0.33,1,5%,0.909677419,0.570850202,0.672521875,0.611650485
Immune,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,1,5%,0.360419397,0.828313253,0.642857143,0.642857143
Immune,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,1,5%,0.929392447,0.607948443,0.66453175,0.664749384
Immune,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,1,5%,0.444933921,0.848739496,0.682819383,0.682819383
Immune,Imbalanced,Imbalanced,XGBoost,0.83,0.17,1,5%,0.413333333,0.885714286,0.68,0.68
Immune,Imbalanced,Imbalanced,Random Forest,0.83,0.17,1,5%,0.877419355,0.618181818,0.665982405,0.666666667
Immune,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,2,10%,0.83218707,0.396461337,0.658230668,0.658144871
Immune,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,2,10%,0.88245614,0.413311422,0.679129006,0.679129006
Immune,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,2,10%,0.860927152,0.429515419,0.680066079,0.680066079
Immune,Imbalanced,Imbalanced,XGBoost,0.17,0.83,2,10%,0.905956113,0.482470785,0.716235392,0.716430359
Immune,Imbalanced,Imbalanced,Random Forest,0.17,0.83,2,10%,0.889534884,0.495145631,0.716828479,0.716828479
Immune,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,2,10%,0.552600238,0.912188729,0.586586168,0.586692888
Immune,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,2,10%,0.831622177,0.332785538,0.632703369,0.632703369
Immune,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,2,10%,0.824324324,0.335903084,0.63215859,0.63215859
Immune,Imbalanced,Imbalanced,XGBoost,0.33,0.67,2,10%,0.581976113,0.894824708,0.626579021,0.626355296
Immune,Imbalanced,Imbalanced,Random Forest,0.33,0.67,2,10%,0.568085106,0.86407767,0.603559871,0.603559871
Immune,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,2,10%,0.809815951,0.432503277,0.665431966,0.665355621
Immune,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,2,10%,0.879173291,0.454396056,0.695973706,0.695973706
Immune,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,2,10%,0.846153846,0.460352423,0.688325991,0.688325991
Immune,Imbalanced,Imbalanced,XGBoost,0.5,0.5,2,10%,0.658024691,0.889816361,0.714074847,0.713928274
Immune,Imbalanced,Imbalanced,Random Forest,0.5,0.5,2,10%,0.878947368,0.540453074,0.733009709,0.733009709
Immune,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,2,10%,0.279816514,0.7625,0.660655861,0.596197968
Immune,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,2,10%,0.294165982,0.802690583,0.685299014,0.610928513
Immune,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,2,10%,0.317180617,0.827586207,0.702621441,0.625550661
Immune,Imbalanced,Imbalanced,XGBoost,0.67,0.33,2,10%,0.360601002,0.911392405,0.756631753,0.663052544
Immune,Imbalanced,Imbalanced,Random Forest,0.67,0.33,2,10%,0.404530744,0.925925926,0.772486772,0.686084142
Immune,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,2,10%,0.895806029,0.580220713,0.623640719,0.623729925
Immune,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,2,10%,0.387838948,0.882242991,0.668036154,0.668036154
Immune,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,2,10%,0.401982379,0.866983373,0.670154185,0.670154185
Immune,Imbalanced,Imbalanced,XGBoost,0.83,0.17,2,10%,0.898163606,0.616972477,0.67074847,0.670558799
Immune,Imbalanced,Imbalanced,Random Forest,0.83,0.17,2,10%,0.883495146,0.613483146,0.663430421,0.663430421
Immune,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,3,15%,0.763371151,0.411713287,0.642073332,0.642123662
Immune,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,3,15%,0.81352459,0.43483023,0.667552101,0.667488359
Immune,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,3,15%,0.832630098,0.434654919,0.673641703,0.673641703
Immune,Imbalanced,Imbalanced,XGBoost,0.17,0.83,3,15%,0.835416667,0.446051168,0.679087875,0.679087875
Immune,Imbalanced,Imbalanced,Random Forest,0.17,0.83,3,15%,0.864754098,0.455723542,0.692301426,0.692556634
