Subset,Other Set,Sampling,Technique,Classifier,Iteration,Precision,Recall,AUC,Accuracy
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,1,0.775075988,0.739130435,0.835557864,0.88555478
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,1,0.784735812,0.690189329,0.821014104,0.89877836
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,1,0.777380952,0.726362625,0.835673222,0.899255468
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,1,0.809815951,0.750609261,0.851193519,0.90856744
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,1,0.843283582,0.786708861,0.872670333,0.920714685
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,2,0.863340564,0.773942635,0.867702316,0.916589111
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,2,0.898727984,0.756589786,0.864678264,0.920430751
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,2,0.901910828,0.766787004,0.870105421,0.923486303
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,2,0.906853465,0.773578811,0.874235823,0.926554987
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,2,0.908792651,0.787155442,0.880716877,0.928317163
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,3,0.908730159,0.663768116,0.821314205,0.903000698
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,3,0.932631579,0.762478485,0.874233989,0.940663176
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,3,0.901960784,0.81868743,0.897575548,0.943462075
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,3,0.906028369,0.830219334,0.903331889,0.94503577
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,3,0.940056417,0.843670886,0.914224412,0.953657175
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,4,0.937697994,0.863393291,0.922673859,0.953583062
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,4,0.943476213,0.824958814,0.904585709,0.945657593
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,4,0.918241419,0.859566787,0.917588272,0.94756587
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,4,0.934069727,0.874031008,0.927268617,0.954940282
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,4,0.937065053,0.880079568,0.930417282,0.956027082
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,5,0.697727273,0.889855072,0.883806213,0.880669923
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,5,0.751987281,0.814113597,0.872906186,0.907853403
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,5,0.735059761,0.820912125,0.871326907,0.900651466
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,5,0.761867089,0.78229082,0.857700966,0.900715407
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,5,0.801158301,0.787974684,0.866319004,0.910106086
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,6,0.803061224,0.765192027,0.853080797,0.898906468
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,6,0.805471125,0.764003295,0.852531841,0.898195234
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,6,0.783823529,0.76967509,0.851013339,0.893037864
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,6,0.798710115,0.76001292,0.849745182,0.896385916
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,6,0.794496991,0.787723785,0.860692018,0.897815314
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,7,0.739130435,0.897887324,0.909779171,0.916957432
