,sentence
0,Demonstration Papers 3: Applications
1,
2,"SIGIR '19, July 21­25, 2019, Paris, France"
3,
4,Event Tracker: A Text Analytics Platform for Use During Disasters
5,
6,Charles Thomas
7,"2198970t@student.gla.ac.uk University of Glasgow, UK"
8,
9,Richard McCreadie
10,"richard.mccreadie@glasgow.ac.uk University of Glasgow, UK"
11,
12,Iadh Ounis
13,"iadh.ounis@glasgow.ac.uk University of Glasgow, UK"
14,
15,ABSTRACT
16,"Emergency management organisations currently rely on a wide range of disparate tools and technologies to support the monitoring and management of events during crisis situations. This has a number of disadvantages, in terms of training time for new staff members, reliance on external services, and a lack of integration"
17,CCS CONCEPTS
18,· Information systems  Decision support systems.
19,KEYWORDS
20,"Crisis Management, Social Media, Real-time Analytics"
21,"ACM Reference Format: Charles Thomas, Richard McCreadie, and Iadh Ounis. 2019. Event Tracker: A Text Analytics Platform for Use During Disasters. In Proceedings of the 42nd International ACM SIGIR Conference onResearch and Development in Information Retrieval"
22,1 INTRODUCTION
23,"A 68% rise in the use of social networking sites since 2005 [15] has introduced an abundance of real-time information online. This has enabled new ways for the public to contact response agencies [4], and grants those in the Emergency Management sector a new means of accessing potentially life-saving information. With a threefold increase in natural disasters over the past 35 years [11], it is extremely important that emergency response agencies have the tools available to ensure that they can monitor social media streams"
24,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than the author(s) must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. SIGIR '19, July 21­25,2019, Paris, France © 2019 Copyright held by the owner/author(s). Publication rights licensed to ACM. ACM ISBN 978-1-4503-6172-9/19/07. . . $15.00 https://doi.org/10.1145/3331184.3331406"
25,
26,in real-time and provide assistance to the public in a quick and effective manner.
27,"Data posted on social media platforms regarding a disaster or world events could potentially provide a wide range of valuable information to emergency response services. For example, responding to cries for help, accessing first-hand observations or simply gaining an insight into public opinions could provide an addedvalue to these agencies. However, with the wealth of information now available, it is critical that the data can be easily visualised and navigated, ensuring that emergency services can quickly find and act upon key information."
