Year,Sampling,Technique,Classifier,Test Size,Train Size,Iteration,Precision,Recall
2010,Imbalanced,N/A,Naïve Bayes,5,3.7,1,64,4.69
2010,Imbalanced,N/A,Naïve Bayes,15,10,1,48.51,1.44
2010,Imbalanced,N/A,Naïve Bayes,25,10,1,76.93,6.14
2010,Imbalanced,N/A,Naïve Bayes,35,10,1,69.04,11.54
2010,Imbalanced,N/A,Naïve Bayes,45,10,1,73.71,8.16
2010,Imbalanced,N/A,Naïve Bayes,55,10,1,71.5,7.95
2010,Imbalanced,N/A,Naïve Bayes,65,10,1,70.03,6.9
2010,Imbalanced,N/A,Naïve Bayes,75,10,1,70.14,5.91
2010,Imbalanced,N/A,Naïve Bayes,85,10,1,71.82,7.7
2010,Imbalanced,N/A,Naïve Bayes,95,10,1,67.31,4.67
2010,Imbalanced,N/A,XGBoost,5,3.7,1,56.06,9.52
2010,Imbalanced,N/A,XGBoost,15,10,1,7.21,44.47
2010,Imbalanced,N/A,XGBoost,25,10,1,10.44,60.02
2010,Imbalanced,N/A,XGBoost,35,10,1,10.97,59.32
2010,Imbalanced,N/A,XGBoost,45,10,1,11.43,58.98
2010,Imbalanced,N/A,XGBoost,55,10,1,11.61,58.81
2010,Imbalanced,N/A,XGBoost,65,10,1,12.35,59.07
2010,Imbalanced,N/A,XGBoost,75,10,1,11.12,61.33
2010,Imbalanced,N/A,XGBoost,85,10,1,12.62,58.72
2010,Imbalanced,N/A,XGBoost,95,10,1,11.2,54.21
2010,Imbalanced,N/A,Random Forest,5,3.7,1,10.87,61.01
2010,Imbalanced,N/A,Random Forest,15,10,1,4.38,52.24
2010,Imbalanced,N/A,Random Forest ,25,10,1,14.92,63.7
2010,Imbalanced,N/A,Random Forest ,35,10,1,14.31,61.36
2010,Imbalanced,N/A,Random Forest ,45,10,1,16.27,61.36
2010,Imbalanced,N/A,Random Forest ,55,10,1,15.29,61.2
2010,Imbalanced,N/A,Random Forest ,65,10,1,14.77,60.92
2010,Imbalanced,N/A,Random Forest ,75,10,1,14.29,59.87
2010,Imbalanced,N/A,Random Forest ,85,10,1,16.98,61.14
2010,Imbalanced,N/A,Random Forest ,95,10,1,11.84,54.35
2010,Imbalanced,N/A,Logistic Reg,5,3.7,1,66.85,7.91
2010,Imbalanced,N/A,Logistic Reg,15,10,1,52.89,1.41
2010,Imbalanced,N/A,Logistic Reg,25,10,1,69.44,12.01
2010,Imbalanced,N/A,Logistic Reg,35,10,1,69.04,11.54
2010,Imbalanced,N/A,Logistic Reg,45,10,1,66.3,14.08
2010,Imbalanced,N/A,Logistic Reg,55,10,1,67.21,13.35
2010,Imbalanced,N/A,Logistic Reg,65,10,1,67.01,13.29
2010,Imbalanced,N/A,Logistic Reg,75,10,1,67.79,11.38
2010,Imbalanced,N/A,Logistic Reg,85,10,1,66,13.91
2010,Imbalanced,N/A,Logistic Reg,95,10,1,65.44,8.65
2010,Imbalanced,N/A,DecisionTree,5,3.7,1,53.8,13.18
2010,Imbalanced,N/A,DecisionTree,15,10,1,44.41,8.34
2010,Imbalanced,N/A,DecisionTree,25,10,1,54.44,16.66
2010,Imbalanced,N/A,DecisionTree,35,10,1,54.38,16.61
2010,Imbalanced,N/A,DecisionTree,45,10,1,51.91,18.44
2010,Imbalanced,N/A,DecisionTree,55,10,1,52.72,17.24
2010,Imbalanced,N/A,DecisionTree,65,10,1,51.15,17.1
2010,Imbalanced,N/A,DecisionTree,75,10,1,52.37,16.31
2010,Imbalanced,N/A,DecisionTree,85,10,1,53.36,18.24
2010,Imbalanced,N/A,DecisionTree,95,10,1,51.35,15.24
