Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
2016,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,1,5%,0.5376737381126554,0.8157602663706992,0.5536200434992509,0.554935861684328
2016,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,1,5%,0.5239697224558453,0.8887303851640513,0.5561621747493782,0.5496503496503496
2016,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,1,5%,0.5389294403892944,0.8188539741219963,0.5491608273651807,0.5529522024367385
2016,Imbalanced,Imbalanced,XGBoost,0.17,0.83,1,5%,0.5264150943396226,0.7707182320441989,0.5194699031941111,0.526241134751773
2016,Imbalanced,Imbalanced,Random Forest,0.17,0.83,1,5%,0.5018450184501845,0.7513812154696132,0.5048114868556857,0.5041322314049587
2016,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,1,5%,0.5176715176715176,0.8290788013318535,0.5244048715179447,0.5259341885108756
2016,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,1,5%,0.5087719298245614,0.8273894436519258,0.529606930330764,0.5237762237762238
2016,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,1,5%,0.5238095238095238,0.7929759704251387,0.5257655517524933,0.5295220243673852
2016,Imbalanced,Imbalanced,XGBoost,0.33,0.67,1,5%,0.5095057034220533,0.7403314917127072,0.4940724513957122,0.500709219858156
2016,Imbalanced,Imbalanced,Random Forest,0.33,0.67,1,5%,0.5,0.7292817679558011,0.5020035213405379,0.5013774104683195
2016,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,1,5%,0.558252427184466,0.12763596004439512,0.512809011412332,0.5108756274400447
2016,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,1,5%,0.5272879932829555,0.8958630527817404,0.5617861217269471,0.5552447552447553
2016,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,1,5%,0.503731343283582,0.24953789279112754,0.4983430908822558,0.4948453608247423
2016,Imbalanced,Imbalanced,XGBoost,0.5,0.5,1,5%,0.4240506329113924,0.1850828729281768,0.4598883752395986,0.4524822695035461
2016,Imbalanced,Imbalanced,Random Forest,0.5,0.5,1,5%,0.5,0.7679558011049724,0.5021097686843543,0.5013774104683195
2016,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,1,5%,0.8634850166481687,0.5108338804990151,0.5276391624717298,0.5158951477969883
2016,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,1,5%,0.8673323823109843,0.4963265306122449,0.5213339970134395,0.5034965034965035
2016,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,1,5%,0.8613678373382625,0.512087912087912,0.5171904528592427,0.5135895032802249
2016,Imbalanced,Imbalanced,XGBoost,0.67,0.33,1,5%,0.7983425414364641,0.5142348754448398,0.5018726824776646,0.5092198581560283
2016,Imbalanced,Imbalanced,Random Forest,0.67,0.33,1,5%,0.8121546961325967,0.5,0.5036231884057971,0.5013774104683195
2016,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,1,5%,0.8468368479467259,0.5294934073560028,0.5433735809240356,0.5448968209704406
2016,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,1,5%,0.8673323823109843,0.5187713310580204,0.5468349154353276,0.5405594405594406
2016,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,1,5%,0.8280961182994455,0.5333333333333333,0.5414244850052361,0.5454545454545454
2016,Imbalanced,Imbalanced,XGBoost,0.83,0.17,1,5%,0.7651933701657458,0.5167910447761194,0.5050456646747097,0.5120567375886524
2016,Imbalanced,Imbalanced,Random Forest,0.83,0.17,1,5%,0.7513812154696132,0.5,0.5020642341084329,0.5013774104683195
2016,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,2,10%,0.7341772151898734,0.12824765063571034,0.5404884848564033,0.5368098159509203
2016,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,2,10%,0.6892778993435449,0.2175414364640884,0.5584874321130641,0.5541958041958042
2016,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,2,10%,0.5693659761456371,0.8452935694315005,0.5993668601163158,0.6007497656982193
2016,Imbalanced,Imbalanced,XGBoost,0.17,0.83,2,10%,0.5785512699905927,0.8553546592489569,0.6030396484650582,0.6082327892122072
2016,Imbalanced,Imbalanced,Random Forest,0.17,0.83,2,10%,0.5748613678373382,0.8315508021390374,0.5890708556149733,0.5964187327823691
2016,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,2,10%,0.5749440715883669,0.14206744057490325,0.5175728311484533,0.5142219743446738
2016,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,2,10%,0.5424778761061947,0.8466850828729282,0.5571952326545944,0.5608391608391609
2016,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,2,10%,0.5309155766944114,0.8322460391425909,0.5443039809285056,0.5459231490159325
2016,Imbalanced,Imbalanced,XGBoost,0.33,0.67,2,10%,0.5493601462522852,0.8358831710709318,0.5606952087238717,0.5663591199432222
2016,Imbalanced,Imbalanced,Random Forest,0.33,0.67,2,10%,0.5620437956204379,0.8235294117647058,0.570855614973262,0.5785123966942148
2016,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,2,10%,0.7477203647416414,0.13598673300165837,0.544639399140109,0.5409927495817066
2016,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,2,10%,0.6993736951983298,0.231353591160221,0.5646852941636799,0.5604895104895105
2016,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,2,10%,0.6638513513513513,0.3662628145386766,0.5893519539234382,0.5880974695407685
2016,Imbalanced,Imbalanced,XGBoost,0.5,0.5,2,10%,0.6658163265306123,0.36300417246175243,0.5865745499989923,0.5819730305180979
2016,Imbalanced,Imbalanced,Random Forest,0.5,0.5,2,10%,0.6441441441441441,0.38235294117647056,0.5789605614973262,0.5730027548209367
2016,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,2,10%,0.8723051409618574,0.5216528925619834,0.5549440933398153,0.532069157836029
2016,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,2,10%,0.8687845303867403,0.5337293169282987,0.5779978592593781,0.5493006993006992
2016,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,2,10%,0.8844361602982292,0.5367647058823529,0.5989834458373514,0.5581068416119962
2016,Imbalanced,Imbalanced,XGBoost,0.67,0.33,2,10%,0.8845618915159944,0.554006968641115,0.617999652902933,0.5777146912704045
2016,Imbalanced,Imbalanced,Random Forest,0.67,0.33,2,10%,0.8796791443850267,0.5585738539898133,0.6150533503525709,0.5798898071625345
2016,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,2,10%,0.15809839690436706,0.6574712643678161,0.5371246064431796,0.5337423312883436
2016,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,2,10%,0.8370165745856354,0.5611111111111111,0.5828142363013162,0.586013986013986
2016,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,2,10%,0.848089468779124,0.5617283950617284,0.5894547249644913,0.5909090909090909
2016,Imbalanced,Imbalanced,XGBoost,0.83,0.17,2,10%,0.8456189151599444,0.5730442978322338,0.5945485880147547,0.5997161107168204
2016,Imbalanced,Imbalanced,Random Forest,0.83,0.17,2,10%,0.8368983957219251,0.577490774907749,0.5931651069518717,0.6005509641873278
2016,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,3,15%,0.684863523573201,0.2043687523139578,0.5547786277433918,0.5533457249070632
2016,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,3,15%,0.536599591717702,0.8683341198678622,0.5683751630646862,0.5646702400372874
2016,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,3,15%,0.679890560875513,0.3098503740648379,0.5817086663816055,0.5811992504684572
2016,Imbalanced,Imbalanced,XGBoost,0.17,0.83,3,15%,0.6741344195519349,0.3073351903435469,0.5765219828284754,0.5714285714285714
2016,Imbalanced,Imbalanced,Random Forest,0.17,0.83,3,15%,0.6346863468634686,0.30935251798561153,0.5618057149027496,0.5564738292011019
2016,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,3,15%,0.5591397849462365,0.17326915957052944,0.5177655988222187,0.5163568773234201
2016,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,3,15%,0.5641025641025641,0.20764511562057575,0.5255536811988698,0.5294803076206013
2016,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,3,15%,0.59391771019678,0.20698254364089774,0.5324649889668819,0.5318550905683948
2016,Imbalanced,Imbalanced,XGBoost,0.33,0.67,3,15%,0.5895316804407713,0.19870009285051068,0.5275081949305591,0.521286660359508
2016,Imbalanced,Imbalanced,Random Forest,0.33,0.67,3,15%,0.5592417061611374,0.21223021582733814,0.5188730816472525,0.512396694214876
2016,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,3,15%,0.6909090909090909,0.21103295075897816,0.557924090161124,0.5565055762081784
2016,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,3,15%,0.5392242636337125,0.8725814063237376,0.5725706294970437,0.5688650664180843
2016,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,3,15%,0.6934812760055479,0.3117206982543641,0.5867114129569693,0.5861961274203623
2016,Imbalanced,Imbalanced,XGBoost,0.5,0.5,3,15%,0.6808943089430894,0.3110492107706592,0.5798254732734686,0.5747398297067171
2016,Imbalanced,Imbalanced,Random Forest,0.5,0.5,3,15%,0.6334519572953736,0.32014388489208634,0.563449053140227,0.5583103764921947
2016,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,3,15%,0.15920029618659756,0.5725699067909454,0.5409835924103787,0.5182156133828997
2016,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,3,15%,0.8791882963662104,0.5118131868131868,0.5592860096892355,0.5262176648799813
2016,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,3,15%,0.19451371571072318,0.6753246753246753,0.6018959143046734,0.5496564647095565
