Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
2016,Undersampling,TomekLinks,Logistic Regression,0.17,0.83,1,5%,0.6842649390033773,0.3688329700812364,0.599496134558025,0.5997315502662848
2016,Undersampling,TomekLinks,Decision Tree,0.17,0.83,1,5%,0.699185481945292,0.4098381051616616,0.617230147880062,0.6177898410236525
2016,Undersampling,TomekLinks,Naive Bayes,0.17,0.83,1,5%,0.7177970603860457,0.4193027826626668,0.6264711675130604,0.625526077875113
2016,Undersampling,TomekLinks,XGBoost,0.17,0.83,1,5%,0.7195869804497091,0.4297295605358708,0.6301190175560709,0.6289106167241352
2016,Undersampling,TomekLinks,Random Forest,0.17,0.83,1,5%,0.7212770216172938,0.4425816752640629,0.6365631223901697,0.6374583575292644
2016,Undersampling,TomekLinks,Logistic Regression,0.33,0.67,1,5%,0.5362525793822036,0.8463815137705568,0.5579646610092572,0.5576703016657492
2016,Undersampling,TomekLinks,Decision Tree,0.33,0.67,1,5%,0.5483015999844094,0.8751030310570598,0.5790308887593609,0.5782318728189221
2016,Undersampling,TomekLinks,Naive Bayes,0.33,0.67,1,5%,0.7019647959363646,0.411709941036516,0.6176534505583449,0.616713948727541
2016,Undersampling,TomekLinks,XGBoost,0.33,0.67,1,5%,0.5696604067334825,0.9162388881933141,0.6078422383307771,0.6097019507817297
2016,Undersampling,TomekLinks,Random Forest,0.33,0.67,1,5%,0.5720771424283356,0.9363178580201424,0.6211860053714949,0.6197316543904153
2016,Undersampling,TomekLinks,Logistic Regression,0.5,0.5,1,5%,0.5606565585441801,0.8874331285912423,0.5967190236057784,0.5964223196778603
2016,Undersampling,TomekLinks,Decision Tree,0.5,0.5,1,5%,0.5683377052365686,0.9097681218021493,0.6112515221147052,0.6104459092671578
2016,Undersampling,TomekLinks,Naive Bayes,0.5,0.5,1,5%,0.6891196802411297,0.4351712009930692,0.6185272240141562,0.61769076493022
2016,Undersampling,TomekLinks,XGBoost,0.5,0.5,1,5%,0.6941565708169124,0.44656942531613875,0.6237124015539984,0.6226441830806292
2016,Undersampling,TomekLinks,Random Forest,0.5,0.5,1,5%,0.5790422837848208,0.926737902235323,0.6295995565329338,0.6282282465845533
2016,Undersampling,TomekLinks,Logistic Regression,0.67,0.33,1,5%,0.21858282147810582,0.6848108632395732,0.6102355050593793,0.5594393482980659
2016,Undersampling,TomekLinks,Decision Tree,0.67,0.33,1,5%,0.9491143217057277,0.5347135822804774,0.6569356248335432,0.5627995347033734
2016,Undersampling,TomekLinks,Naive Bayes,0.67,0.33,1,5%,0.23690907210096204,0.7152404747033104,0.6277303082807137,0.569338362897611
2016,Undersampling,TomekLinks,XGBoost,0.67,0.33,1,5%,0.23168899461625142,0.7236288982305211,0.6314826421938582,0.569017366523389
2016,Undersampling,TomekLinks,Random Forest,0.67,0.33,1,5%,0.9656104151314173,0.5386591757733548,0.6899645085215981,0.5712888535713194
2016,Undersampling,TomekLinks,Logistic Regression,0.83,0.17,1,5%,0.8670125817317218,0.5555396859403143,0.5873861924934546,0.5871008047306534
2016,Undersampling,TomekLinks,Decision Tree,0.83,0.17,1,5%,0.9008724592152533,0.5699176513414862,0.61234902021537,0.6115703761147732
2016,Undersampling,TomekLinks,Naive Bayes,0.83,0.17,1,5%,0.4404055032585083,0.7368548582505452,0.6408433061640796,0.6399289210337625
2016,Undersampling,TomekLinks,XGBoost,0.83,0.17,1,5%,0.9360210341805434,0.5911517020519511,0.6404008228086306,0.6421834899941744
2016,Undersampling,TomekLinks,Random Forest,0.83,0.17,1,5%,0.9508106116433309,0.5910218727335191,0.6494545908840323,0.6480638161312998
2016,Undersampling,TomekLinks,Logistic Regression,0.17,0.83,2,10%,0.558759913482336,0.8639910813823858,0.5904776835483357,0.5906302286670385
2016,Undersampling,TomekLinks,Decision Tree,0.17,0.83,2,10%,0.5687818434460399,0.8545581071677105,0.6001532630005806,0.6013986013986014
2016,Undersampling,TomekLinks,Naive Bayes,0.17,0.83,2,10%,0.5691651432053626,0.8696461824953445,0.6013325252099364,0.6030927835051546
2016,Undersampling,TomekLinks,XGBoost,0.17,0.83,2,10%,0.5424657534246575,0.8709677419354839,0.590917158450548,0.5819730305180979
2016,Undersampling,TomekLinks,Random Forest,0.17,0.83,2,10%,0.5524861878453039,0.847457627118644,0.5971159103335155,0.5909090909090909
2016,Undersampling,TomekLinks,Logistic Regression,0.33,0.67,2,10%,0.5258107213765718,0.8857302118171684,0.5430325166228699,0.543223647518126
2016,Undersampling,TomekLinks,Decision Tree,0.33,0.67,2,10%,0.5374507227332457,0.8538622129436325,0.5558840228456743,0.5573426573426573
2016,Undersampling,TomekLinks,Naive Bayes,0.33,0.67,2,10%,0.5412039742840444,0.8621973929236499,0.5608156775939004,0.5627928772258669
2016,Undersampling,TomekLinks,XGBoost,0.33,0.67,2,10%,0.5295723384895359,0.8533724340175953,0.5711153779441485,0.5621007806955287
2016,Undersampling,TomekLinks,Random Forest,0.33,0.67,2,10%,0.5364120781527532,0.8531073446327684,0.5757472207034809,0.568870523415978
2016,Undersampling,TomekLinks,Logistic Regression,0.5,0.5,2,10%,0.6300738007380073,0.38071348940914157,0.5784705839902851,0.5783602900167317
2016,Undersampling,TomekLinks,Decision Tree,0.5,0.5,2,10%,0.6718480138169257,0.2707028531663187,0.5685910611580012,0.5671328671328671
2016,Undersampling,TomekLinks,Naive Bayes,0.5,0.5,2,10%,0.6542056074766355,0.39106145251396646,0.5908137451249077,0.5895032802249297
2016,Undersampling,TomekLinks,XGBoost,0.5,0.5,2,10%,0.5484460694698354,0.8797653958944281,0.6001302907945318,0.5911994322214337
2016,Undersampling,TomekLinks,Random Forest,0.5,0.5,2,10%,0.5559633027522936,0.8559322033898306,0.6026972844906142,0.5964187327823691
2016,Undersampling,TomekLinks,Logistic Regression,0.67,0.33,2,10%,0.9158305462653289,0.5153701380175659,0.5679865765464714,0.5270496374790853
2016,Undersampling,TomekLinks,Decision Tree,0.67,0.33,2,10%,0.8990953375086986,0.5345469590401324,0.6036165946442197,0.5559440559440559
2016,Undersampling,TomekLinks,Naive Bayes,0.67,0.33,2,10%,0.904096834264432,0.5427613191727222,0.6221052972675204,0.5684161199625117
2016,Undersampling,TomekLinks,XGBoost,0.67,0.33,2,10%,0.8988269794721407,0.5325803649000869,0.6325692522174853,0.5691980127750177
2016,Undersampling,TomekLinks,Random Forest,0.67,0.33,2,10%,0.903954802259887,0.5414551607445008,0.6448016544463245,0.5798898071625345
2016,Undersampling,TomekLinks,Logistic Regression,0.83,0.17,2,10%,0.8723522853957637,0.5491228070175439,0.5776381962693105,0.5778025655326269
2016,Undersampling,TomekLinks,Decision Tree,0.83,0.17,2,10%,0.8552540013917884,0.5609310816978549,0.5896087294379884,0.5909090909090909
2016,Undersampling,TomekLinks,Naive Bayes,0.83,0.17,2,10%,0.8770949720670391,0.5678119349005425,0.6003399388637083,0.6021555763823805
2016,Undersampling,TomekLinks,XGBoost,0.83,0.17,2,10%,0.8665689149560117,0.5467160037002775,0.5962830819621874,0.5876508161816891
2016,Undersampling,TomekLinks,Random Forest,0.83,0.17,2,10%,0.8502824858757062,0.5522935779816514,0.5971842536905414,0.5909090909090909
2016,Undersampling,TomekLinks,Logistic Regression,0.17,0.83,3,15%,0.5258113700718797,0.9044585987261147,0.5507169422992433,0.5479553903345725
2016,Undersampling,TomekLinks,Decision Tree,0.17,0.83,3,15%,0.6979051819184123,0.29428172942817293,0.5831221731253015,0.5823817292006526
2016,Undersampling,TomekLinks,Naive Bayes,0.17,0.83,3,15%,0.6906584992343032,0.2746650426309379,0.5725889315718792,0.5649594003747658
2016,Undersampling,TomekLinks,XGBoost,0.17,0.83,3,15%,0.6329365079365079,0.29896907216494845,0.5611368761015765,0.5586565752128666
2016,Undersampling,TomekLinks,Random Forest,0.17,0.83,3,15%,0.6428571428571429,0.32727272727272727,0.5708719851576994,0.5684113865932048
2016,Undersampling,TomekLinks,Logistic Regression,0.33,0.67,3,15%,0.60984393757503,0.19033345822405395,0.5352257479242734,0.5379182156133829
2016,Undersampling,TomekLinks,Decision Tree,0.33,0.67,3,15%,0.6248108925869894,0.19200371920037193,0.538057934366541,0.5371708226520625
2016,Undersampling,TomekLinks,Naive Bayes,0.33,0.67,3,15%,0.6184971098265896,0.19549330085261876,0.5342851119647709,0.5256089943785134
2016,Undersampling,TomekLinks,XGBoost,0.33,0.67,3,15%,0.5699208443271768,0.20243673851921273,0.5233769174926531,0.5203405865657521
2016,Undersampling,TomekLinks,Random Forest,0.33,0.67,3,15%,0.5509259259259259,0.21636363636363637,0.5182003710575138,0.5151515151515151
2016,Undersampling,TomekLinks,Logistic Regression,0.5,0.5,3,15%,0.5332449745968633,0.9044585987261147,0.5625207047485239,0.5598513011152416
2016,Undersampling,TomekLinks,Decision Tree,0.5,0.5,3,15%,0.697452229299363,0.3054393305439331,0.5861308802252376,0.5854113260312281
2016,Undersampling,TomekLinks,Naive Bayes,0.5,0.5,3,15%,0.6982507288629738,0.2917174177831912,0.5795125550454417,0.5721424109931293
2016,Undersampling,TomekLinks,XGBoost,0.5,0.5,3,15%,0.64453125,0.30927835051546393,0.5677241800332812,0.565279091769158
2016,Undersampling,TomekLinks,Random Forest,0.5,0.5,3,15%,0.6433566433566433,0.33454545454545453,0.5726530612244898,0.5702479338842975
2016,Undersampling,TomekLinks,Logistic Regression,0.67,0.33,3,15%,0.9145747470962907,0.5081182348043297,0.5561424507354983,0.5184014869888476
2016,Undersampling,TomekLinks,Decision Tree,0.67,0.33,3,15%,0.18131101813110181,0.6543624161073825,0.5888862148195911,0.5415986949429038
2016,Undersampling,TomekLinks,Naive Bayes,0.67,0.33,3,15%,0.19792935444579782,0.6784968684759917,0.5974195690158144,0.5405996252342286
2016,Undersampling,TomekLinks,XGBoost,0.67,0.33,3,15%,0.1893158388003749,0.643312101910828,0.5813782731776362,0.5378429517502366
2016,Undersampling,TomekLinks,Random Forest,0.67,0.33,3,15%,0.22363636363636363,0.6473684210526316,0.5861981148644693,0.5463728191000918
2016,Undersampling,TomekLinks,Logistic Regression,0.83,0.17,3,15%,0.2716373173473211,0.6277056277056277,0.5565121297175557,0.5587360594795538
2016,Undersampling,TomekLinks,Decision Tree,0.83,0.17,3,15%,0.27289632728963276,0.6632768361581921,0.5668219954205173,0.566068515497553
2016,Undersampling,TomekLinks,Naive Bayes,0.83,0.17,3,15%,0.2697929354445798,0.6691842900302115,0.5647041600299822,0.5571517801374141
2016,Undersampling,TomekLinks,XGBoost,0.83,0.17,3,15%,0.2727272727272727,0.6191489361702127,0.5508813058956326,0.5482497634815515
2016,Undersampling,TomekLinks,Random Forest,0.83,0.17,3,15%,0.2963636363636364,0.6197718631178707,0.555417439703154,0.5528007346189164
2016,Undersampling,TomekLinks,Logistic Regression,0.17,0.83,4,20%,0.6976549413735343,0.23030135471385127,0.5643771189884306,0.5614891243725599
2016,Undersampling,TomekLinks,Decision Tree,0.17,0.83,4,20%,0.6560693641618497,0.3178158907945397,0.5758073867380519,0.5761230554098934
2016,Undersampling,TomekLinks,Naive Bayes,0.17,0.83,4,20%,0.6367753623188406,0.3339667458432304,0.5743308775426873,0.5776528460997892
2016,Undersampling,TomekLinks,XGBoost,0.17,0.83,4,20%,0.6180758017492711,0.301994301994302,0.5583521722135584,0.5592618878637331
2016,Undersampling,TomekLinks,Random Forest,0.17,0.83,4,20%,0.6366197183098592,0.2927461139896373,0.551520115818348,0.5351239669421488
2016,Undersampling,TomekLinks,Logistic Regression,0.33,0.67,4,20%,0.635004397537379,0.19961293889964057,0.5414379743724644,0.5384829894032348
2016,Undersampling,TomekLinks,Decision Tree,0.33,0.67,4,20%,0.6019945602901179,0.23241162058102904,0.5395647488380007,0.5399405698304492
2016,Undersampling,TomekLinks,Naive Bayes,0.33,0.67,4,20%,0.5986238532110092,0.24798099762470308,0.5431217372596714,0.5472007495900679
2016,Undersampling,TomekLinks,XGBoost,0.33,0.67,4,20%,0.5636672325976231,0.23646723646723647,0.5273566733962773,0.528388928317956
2016,Undersampling,TomekLinks,Random Forest,0.33,0.67,4,20%,0.5986622073578596,0.23186528497409326,0.5276973483693995,0.5089531680440771
