Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
2017,Oversampling,SMOTE,Logistic Regression,0.17,0.83,1,5%,0.5625005279831046,0.8902109682077061,0.5989130725420466,0.5989130725420466
2017,Oversampling,SMOTE,Decision Tree,0.17,0.83,1,5%,0.5744582905104488,0.8993982668745076,0.6165697335043003,0.616572103820786
2017,Oversampling,SMOTE,Naive Bayes,0.17,0.83,1,5%,0.578955712165103,0.9022752285335669,0.6230413921743347,0.6230445280476163
2017,Oversampling,SMOTE,XGBoost,0.17,0.83,1,5%,0.5867271645998987,0.90651693040667,0.6339969372128638,0.6339969372128637
2017,Oversampling,SMOTE,Random Forest,0.17,0.83,1,5%,0.5886798862044075,0.9158409301096578,0.637964063945039,0.637964063945039
2017,Oversampling,SMOTE,Logistic Regression,0.33,0.67,1,5%,0.7118317030684711,0.35511644696382255,0.6056779593037247,0.6056779593037247
2017,Oversampling,SMOTE,Decision Tree,0.33,0.67,1,5%,0.7470650670612075,0.38931630378304083,0.6287513466618858,0.6287493400155882
2017,Oversampling,SMOTE,Naive Bayes,0.33,0.67,1,5%,0.76997536839376,0.40019765065247176,0.6403193904401122,0.6403166938065024
2017,Oversampling,SMOTE,XGBoost,0.33,0.67,1,5%,0.7877994251038007,0.4197039305768249,0.6533265271396971,0.6533265271396971
2017,Oversampling,SMOTE,Random Forest,0.33,0.67,1,5%,0.7943801254220936,0.4351301360813846,0.6612498348526886,0.6612498348526886
2017,Oversampling,SMOTE,Logistic Regression,0.5,0.5,1,5%,0.7059025316166213,0.41267146180379155,0.620370865531164,0.6203708655311639
2017,Oversampling,SMOTE,Decision Tree,0.5,0.5,1,5%,0.734822369733056,0.43232597509260656,0.6381542714886431,0.6381525464922352
2017,Oversampling,SMOTE,Naive Bayes,0.5,0.5,1,5%,0.7447505297630514,0.4341576263953462,0.6426773936747406,0.6426750519400303
2017,Oversampling,SMOTE,XGBoost,0.5,0.5,1,5%,0.7581756091914106,0.4457716522035052,0.6517951335715501,0.6517951335715501
2017,Oversampling,SMOTE,Random Forest,0.5,0.5,1,5%,0.7596657381615599,0.4503897476549082,0.6539503236887303,0.6539503236887303
2017,Oversampling,SMOTE,Logistic Regression,0.67,0.33,1,5%,0.22531351105644537,0.7978506840884344,0.6734110316443666,0.5841132115831974
2017,Oversampling,SMOTE,Decision Tree,0.67,0.33,1,5%,0.23043529273729907,0.8236280853103283,0.6881297039204985,0.5905414805440786
2017,Oversampling,SMOTE,Naive Bayes,0.67,0.33,1,5%,0.23017316892392695,0.8385565829310204,0.6962034710968754,0.592924925599416
2017,Oversampling,SMOTE,XGBoost,0.67,0.33,1,5%,0.2320231410583631,0.84906600249066,0.7021542073943249,0.5953888038114684
2017,Oversampling,SMOTE,Random Forest,0.67,0.33,1,5%,0.238340599815035,0.8525519848771267,0.7049198259510806,0.5985599154445765
2017,Oversampling,SMOTE,Logistic Regression,0.83,0.17,1,5%,0.4078050215246397,0.7307508025489914,0.6287734966175565,0.6287734966175567
2017,Oversampling,SMOTE,Decision Tree,0.83,0.17,1,5%,0.4334992708804747,0.7675391737891738,0.6511026357754705,0.6511008120951048
2017,Oversampling,SMOTE,Naive Bayes,0.83,0.17,1,5%,0.44300698515374076,0.7835379176101378,0.6603090269194426,0.6603065865573586
2017,Oversampling,SMOTE,XGBoost,0.83,0.17,1,5%,0.4564573762123532,0.8066029226050875,0.6735068912710566,0.6735068912710567
2017,Oversampling,SMOTE,Random Forest,0.83,0.17,1,5%,0.4663760073985995,0.8101904980491164,0.6785572730875941,0.6785572730875942
2017,Oversampling,SMOTE,Logistic Regression,0.17,0.83,2,10%,0.7797863599013969,0.35226429101707496,0.6263735120142931,0.6263226285502135
2017,Oversampling,SMOTE,Decision Tree,0.17,0.83,2,10%,0.7804642166344294,0.3755234993020009,0.6349218986267919,0.6348615313009076
2017,Oversampling,SMOTE,Naive Bayes,0.17,0.83,2,10%,0.8120978120978121,0.3936369307548347,0.6512788521522146,0.6512788521522146
2017,Oversampling,SMOTE,XGBoost,0.17,0.83,2,10%,0.813953488372093,0.39697542533081287,0.6531190926275993,0.6531190926275993
2017,Oversampling,SMOTE,Random Forest,0.17,0.83,2,10%,0.8235294117647058,0.41100917431192663,0.6615485431999193,0.6617781851512374
2017,Oversampling,SMOTE,Logistic Regression,0.33,0.67,2,10%,0.7451690821256038,0.22902746844840385,0.5753380936746291,0.5752738073139039
2017,Oversampling,SMOTE,Decision Tree,0.33,0.67,2,10%,0.7359413202933985,0.28013029315960913,0.5897858169708661,0.5897137537817082
2017,Oversampling,SMOTE,Naive Bayes,0.33,0.67,2,10%,0.8082437275985663,0.28134747348721145,0.6072988147223954,0.6072988147223956
2017,Oversampling,SMOTE,XGBoost,0.33,0.67,2,10%,0.7807228915662651,0.30623818525519847,0.6101134215500944,0.6101134215500945
2017,Oversampling,SMOTE,Random Forest,0.33,0.67,2,10%,0.7905982905982906,0.3394495412844037,0.6248529757704069,0.6251145737855178
2017,Oversampling,SMOTE,Logistic Regression,0.5,0.5,2,10%,0.7740652346857597,0.36117297698589457,0.6278571903124794,0.627807685167997
2017,Oversampling,SMOTE,Decision Tree,0.5,0.5,2,10%,0.7790055248618785,0.39367147510469985,0.6409698157646405,0.6409122643704911
2017,Oversampling,SMOTE,Naive Bayes,0.5,0.5,2,10%,0.8079800498753117,0.40424204616344356,0.6540860885839052,0.6540860885839052
2017,Oversampling,SMOTE,XGBoost,0.5,0.5,2,10%,0.8152985074626866,0.41304347826086957,0.6597353497164461,0.6597353497164461
2017,Oversampling,SMOTE,Random Forest,0.5,0.5,2,10%,0.6029776674937966,0.8917431192660551,0.6528312665927345,0.6526122823098075
2017,Oversampling,SMOTE,Logistic Regression,0.67,0.33,2,10%,0.20861172976985895,0.7270375161707633,0.6324827806254769,0.5650640430666419
2017,Oversampling,SMOTE,Decision Tree,0.67,0.33,2,10%,0.25825965565379244,0.7302631578947368,0.6397993765159293,0.5813358156853619
2017,Oversampling,SMOTE,Naive Bayes,0.67,0.33,2,10%,0.25701809107922646,0.8174603174603174,0.6883378567316392,0.5998128509045539
2017,Oversampling,SMOTE,XGBoost,0.67,0.33,2,10%,0.27599243856332706,0.8179271708683473,0.6912262346666921,0.6072778827977315
2017,Oversampling,SMOTE,Random Forest,0.67,0.33,2,10%,0.29541284403669726,0.8090452261306532,0.6892759762940261,0.613198900091659
2017,Oversampling,SMOTE,Logistic Regression,0.83,0.17,2,10%,0.31440237564959167,0.7842592592592592,0.6139408833316655,0.6138852793762762
2017,Oversampling,SMOTE,Decision Tree,0.83,0.17,2,10%,0.3406235458352722,0.773784355179704,0.6204979926569285,0.6204328601349779
2017,Oversampling,SMOTE,Naive Bayes,0.83,0.17,2,10%,0.3618215845290081,0.797799174690509,0.6350592638802245,0.6350592638802246
2017,Oversampling,SMOTE,XGBoost,0.83,0.17,2,10%,0.3742911153119093,0.8065173116089613,0.6422495274102079,0.6422495274102079
2017,Oversampling,SMOTE,Random Forest,0.83,0.17,2,10%,0.3724770642201835,0.812,0.6431982390697987,0.6434463794683777
2017,Oversampling,SMOTE,Logistic Regression,0.17,0.83,3,15%,0.7490535424553812,0.34282178217821785,0.6139851485148515,0.6139851485148515
2017,Oversampling,SMOTE,Decision Tree,0.17,0.83,3,15%,0.7903645833333334,0.37678460583488516,0.6384388434076691,0.6384794414274632
