Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
2018,Oversampling,SMOTE,Logistic Regression,0.17,0.83,1,5%,0.5830189287672116,0.8970923886077206,0.6278090271390518,0.6277806373993017
2018,Oversampling,SMOTE,Decision Tree,0.17,0.83,1,5%,0.5951077412557073,0.8949126213592233,0.6423815908788645,0.6426466586323524
2018,Oversampling,SMOTE,Naive Bayes,0.17,0.83,1,5%,0.5997937010039884,0.908165177734741,0.6507151993761278,0.6508788197664122
2018,Oversampling,SMOTE,XGBoost,0.17,0.83,1,5%,0.60342194984208,0.910925165772024,0.656201265883676,0.6561690976826419
2018,Oversampling,SMOTE,Random Forest,0.17,0.83,1,5%,0.6035362815958185,0.9094265321191238,0.658381926784748,0.657381871667586
2018,Oversampling,SMOTE,Logistic Regression,0.33,0.67,1,5%,0.5688541929780248,0.8939540537858489,0.6082757507404807,0.6082456325310545
2018,Oversampling,SMOTE,Decision Tree,0.33,0.67,1,5%,0.5822385181780944,0.9052893203883495,0.6271854447520826,0.6274773548963962
2018,Oversampling,SMOTE,Naive Bayes,0.33,0.67,1,5%,0.5924735502879336,0.9212636138356136,0.6433882706375733,0.6435648722142924
2018,Oversampling,SMOTE,XGBoost,0.33,0.67,1,5%,0.5980410124829454,0.92731291443006,0.6520995407430306,0.6520647849971586
2018,Oversampling,SMOTE,Random Forest,0.33,0.67,1,5%,0.6020704758112682,0.9304085650996801,0.6601743716720474,0.6590978733835877
2018,Oversampling,SMOTE,Logistic Regression,0.5,0.5,1,5%,0.5802664578108466,0.863885581026099,0.6195644838644069,0.6195387258215554
2018,Oversampling,SMOTE,Decision Tree,0.5,0.5,1,5%,0.7357436967680072,0.4052504854368932,0.6296956038641502,0.6294600163278
2018,Oversampling,SMOTE,Naive Bayes,0.5,0.5,1,5%,0.7459661336524167,0.42841673434539057,0.641168333811561,0.6410331211385587
2018,Oversampling,SMOTE,XGBoost,0.5,0.5,1,5%,0.5953590889609992,0.9211240922008209,0.6476161530516069,0.647581612679169
2018,Oversampling,SMOTE,Random Forest,0.5,0.5,1,5%,0.5946552267002518,0.9296701944376077,0.6504961886606302,0.6493840779555066
2018,Oversampling,SMOTE,Logistic Regression,0.67,0.33,1,5%,0.9397142006549568,0.5505963412772823,0.6725931833182692,0.5863974350228529
2018,Oversampling,SMOTE,Decision Tree,0.67,0.33,1,5%,0.9455844660194175,0.554238368387508,0.6838798975288617,0.592108229988726
2018,Oversampling,SMOTE,Naive Bayes,0.67,0.33,1,5%,0.9406509652027238,0.5563136569085064,0.6817688414412663,0.5949615027974287
2018,Oversampling,SMOTE,XGBoost,0.67,0.33,1,5%,0.9548152826018313,0.5559150657229525,0.6980401867205179,0.5960882742943739
2018,Oversampling,SMOTE,Random Forest,0.67,0.33,1,5%,0.9563746000492247,0.5534468024497935,0.6988113133128088,0.5939817368388797
2018,Oversampling,SMOTE,Logistic Regression,0.83,0.17,1,5%,0.9171008236578346,0.5869095816464237,0.6358723519774917,0.6358427029004831
2018,Oversampling,SMOTE,Decision Tree,0.83,0.17,1,5%,0.9275495145631067,0.6015312547222083,0.6559136115779419,0.6561987326517125
2018,Oversampling,SMOTE,Naive Bayes,0.83,0.17,1,5%,0.9420878365715,0.6083752454210484,0.6674367456418802,0.6676112980694096
2018,Oversampling,SMOTE,XGBoost,0.83,0.17,1,5%,0.9475213135459425,0.6152584421708732,0.6775771855942352,0.6775430952831976
2018,Oversampling,SMOTE,Random Forest,0.83,0.17,1,5%,0.9499753876445975,0.6162535424899214,0.6815558784151445,0.6804866090580376
2018,Oversampling,SMOTE,Logistic Regression,0.17,0.83,2,10%,0.5772511848341232,0.9510671525247267,0.6285418750175501,0.6279553130683294
2018,Oversampling,SMOTE,Decision Tree,0.17,0.83,2,10%,0.5946510656080234,0.9252275682704811,0.6460341496704887,0.6465798045602605
2018,Oversampling,SMOTE,Naive Bayes,0.17,0.83,2,10%,0.6031567080045096,0.9353146853146853,0.6607698099633583,0.6604103011785246
2018,Oversampling,SMOTE,XGBoost,0.17,0.83,2,10%,0.608433734939759,0.9158031088082902,0.650884010544496,0.6563119629874422
2018,Oversampling,SMOTE,Random Forest,0.17,0.83,2,10%,0.6171617161716172,0.9420654911838791,0.667367824125971,0.6726572528883183
2018,Oversampling,SMOTE,Logistic Regression,0.33,0.67,2,10%,0.5505447941888619,0.9469026548672567,0.5883372195498109,0.5876851130163678
2018,Oversampling,SMOTE,Decision Tree,0.33,0.67,2,10%,0.5691573926868044,0.9310793237971391,0.6117537611152797,0.6123778501628665
2018,Oversampling,SMOTE,Naive Bayes,0.33,0.67,2,10%,0.5809782608695652,0.9344405594405595,0.6311261210454759,0.6307289393278045
2018,Oversampling,SMOTE,XGBoost,0.33,0.67,2,10%,0.5955518945634267,0.9365284974093264,0.6369552068693056,0.643093192333113
2018,Oversampling,SMOTE,Random Forest,0.33,0.67,2,10%,0.5945072697899838,0.9269521410579346,0.6349420391153546,0.6405648267008985
2018,Oversampling,SMOTE,Logistic Regression,0.5,0.5,2,10%,0.580089342693044,0.9463820926600729,0.6319047392760946,0.6313328137178488
2018,Oversampling,SMOTE,Decision Tree,0.5,0.5,2,10%,0.8083209509658247,0.35370611183355005,0.6347512282405348,0.6342019543973941
2018,Oversampling,SMOTE,Naive Bayes,0.5,0.5,2,10%,0.6089926010244735,0.9353146853146853,0.6681804464062528,0.6678306416412048
2018,Oversampling,SMOTE,XGBoost,0.5,0.5,2,10%,0.763681592039801,0.39766839378238344,0.6347316327886277,0.6298744216787838
2018,Oversampling,SMOTE,Random Forest,0.5,0.5,2,10%,0.817351598173516,0.4508816120906801,0.6730847851029318,0.668806161745828
2018,Oversampling,SMOTE,Logistic Regression,0.67,0.33,2,10%,0.9521082769390942,0.5373090481786134,0.6652837375724527,0.5669004936347103
2018,Oversampling,SMOTE,Decision Tree,0.67,0.33,2,10%,0.9258777633289987,0.5525805199844781,0.6606715987346324,0.5872964169381107
2018,Oversampling,SMOTE,Naive Bayes,0.67,0.33,2,10%,0.9335664335664335,0.5629942013705851,0.6850504001776784,0.6049759930161501
2018,Oversampling,SMOTE,XGBoost,0.67,0.33,2,10%,0.939119170984456,0.579073482428115,0.6994984270378123,0.6206212822207535
2018,Oversampling,SMOTE,Random Forest,0.67,0.33,2,10%,0.9571788413098237,0.5919003115264797,0.7339063601428019,0.6418485237483954
2018,Oversampling,SMOTE,Logistic Regression,0.83,0.17,2,10%,0.9385736595523165,0.5786264441591784,0.6287785310209715,0.6282151208106002
2018,Oversampling,SMOTE,Decision Tree,0.83,0.17,2,10%,0.923927178153446,0.5886495443247721,0.6378774271968275,0.6384364820846905
2018,Oversampling,SMOTE,Naive Bayes,0.83,0.17,2,10%,0.9361888111888111,0.5973229224762967,0.6533603166667683,0.6529899607158446
2018,Oversampling,SMOTE,XGBoost,0.83,0.17,2,10%,0.9209844559585493,0.6015228426395939,0.6426784627970885,0.6483807005948447
2018,Oversampling,SMOTE,Random Forest,0.83,0.17,2,10%,0.947103274559194,0.6143790849673203,0.6646511137193876,0.6700898587933247
2018,Oversampling,SMOTE,Logistic Regression,0.17,0.83,3,15%,0.7006151742993848,0.3560263980548802,0.602339391149071,0.6029793868006236
2018,Oversampling,SMOTE,Decision Tree,0.17,0.83,3,15%,0.8016359918200409,0.3373493975903614,0.6261494905531816,0.6234527687296417
2018,Oversampling,SMOTE,Naive Bayes,0.17,0.83,3,15%,0.7886977886977887,0.3772032902467685,0.6390053360115042,0.6414435389988359
2018,Oversampling,SMOTE,XGBoost,0.17,0.83,3,15%,0.7916666666666666,0.38502202643171807,0.6417607925627258,0.6415343915343915
2018,Oversampling,SMOTE,Random Forest,0.17,0.83,3,15%,0.7793103448275862,0.3985890652557319,0.6461383864484639,0.6535500427715997
2018,Oversampling,SMOTE,Logistic Regression,0.33,0.67,3,15%,0.7238193018480493,0.24487669329628342,0.5759628801657644,0.5768231422137536
2018,Oversampling,SMOTE,Decision Tree,0.33,0.67,3,15%,0.5607720396452791,0.9251290877796902,0.5934282001809456,0.5965255157437568
2018,Oversampling,SMOTE,Naive Bayes,0.33,0.67,3,15%,0.5614159292035398,0.9318448883666275,0.6086560081971546,0.6056461001164144
2018,Oversampling,SMOTE,XGBoost,0.33,0.67,3,15%,0.5761697497279652,0.9330396475770925,0.6227422421468869,0.623015873015873
2018,Oversampling,SMOTE,Random Forest,0.33,0.67,3,15%,0.570362473347548,0.9435626102292769,0.6370636971412165,0.6278870829769033
2018,Oversampling,SMOTE,Logistic Regression,0.5,0.5,3,15%,0.5616157473856879,0.951372004168114,0.6063010677371323,0.605404469080201
2018,Oversampling,SMOTE,Decision Tree,0.5,0.5,3,15%,0.8007889546351085,0.3493975903614458,0.6304199701040021,0.6277958740499457
2018,Oversampling,SMOTE,Naive Bayes,0.5,0.5,3,15%,0.5936685288640596,0.936545240893067,0.6536820783473409,0.6510477299185099
2018,Oversampling,SMOTE,XGBoost,0.5,0.5,3,15%,0.7865748709122203,0.4026431718061674,0.6465996088510095,0.6463844797178131
2018,Oversampling,SMOTE,Random Forest,0.5,0.5,3,15%,0.5905077262693157,0.9435626102292769,0.6636417702309175,0.6552609067579127
2018,Oversampling,SMOTE,Logistic Regression,0.67,0.33,3,15%,0.22612018061827024,0.6903499469777307,0.6145331515426956,0.5634851896760783
2018,Oversampling,SMOTE,Decision Tree,0.67,0.33,3,15%,0.22762478485370052,0.8113496932515337,0.678632094285772,0.5834961997828447
2018,Oversampling,SMOTE,Naive Bayes,0.67,0.33,3,15%,0.2790834312573443,0.7864238410596026,0.676580564597598,0.6053550640279395
2018,Oversampling,SMOTE,XGBoost,0.67,0.33,3,15%,0.28193832599118945,0.8398950131233596,0.7039962611986698,0.6137566137566137
2018,Oversampling,SMOTE,Random Forest,0.67,0.33,3,15%,0.2857142857142857,0.8709677419354839,0.7294818363797461,0.6330196749358425
2018,Oversampling,SMOTE,Logistic Regression,0.83,0.17,3,15%,0.332754428621049,0.7070110701107011,0.5977870277175735,0.5984756625671228
2018,Oversampling,SMOTE,Decision Tree,0.83,0.17,3,15%,0.9388984509466437,0.5875067312870221,0.6336316016241329,0.6364820846905538
2018,Oversampling,SMOTE,Naive Bayes,0.83,0.17,3,15%,0.9353701527614571,0.5855093784479588,0.6427139114441657,0.639988358556461
2018,Oversampling,SMOTE,XGBoost,0.83,0.17,3,15%,0.93215859030837,0.5920537213206492,0.6443670268399749,0.644620811287478
2018,Oversampling,SMOTE,Random Forest,0.83,0.17,3,15%,0.9559082892416225,0.5878524945770065,0.6623395266806119,0.6535500427715997
2018,Oversampling,SMOTE,Logistic Regression,0.17,0.83,4,20%,0.8344549125168237,0.3215767634854772,0.6287738060009374,0.6282151208106002
2018,Oversampling,SMOTE,Decision Tree,0.17,0.83,4,20%,0.5682179793158313,0.9532866199532867,0.6312726450068693,0.6236156351791531
2018,Oversampling,SMOTE,Naive Bayes,0.17,0.83,4,20%,0.8032200357781754,0.396118217909131,0.6505429102504617,0.6532082060235705
2018,Oversampling,SMOTE,XGBoost,0.17,0.83,4,20%,0.8263988522238164,0.38866396761133604,0.6551226513364523,0.660495867768595
2018,Oversampling,SMOTE,Random Forest,0.17,0.83,4,20%,0.8051282051282052,0.39898348157560354,0.6502051000614723,0.6476251604621309
2018,Oversampling,SMOTE,Logistic Regression,0.33,0.67,4,20%,0.8584070796460177,0.22640041493775934,0.5944599680102644,0.5937905949597297
2018,Oversampling,SMOTE,Decision Tree,0.33,0.67,4,20%,0.5497423701942132,0.9255922589255923,0.6013580130135439,0.5936482084690554
2018,Oversampling,SMOTE,Naive Bayes,0.33,0.67,4,20%,0.7894736842105263,0.317600352889281,0.6173314939392409,0.620471409864688
2018,Oversampling,SMOTE,XGBoost,0.33,0.67,4,20%,0.8153846153846154,0.32186234817813764,0.6259344145297688,0.6320661157024794
2018,Oversampling,SMOTE,Random Forest,0.33,0.67,4,20%,0.7988165680473372,0.34307496823379924,0.6274389108354469,0.6245186136071887
2018,Oversampling,SMOTE,Logistic Regression,0.5,0.5,4,20%,0.8435863874345549,0.3342842323651452,0.636038524303343,0.6354897375941803
2018,Oversampling,SMOTE,Decision Tree,0.5,0.5,4,20%,0.5705191963397652,0.9569569569569569,0.63501681764488,0.6273615635179153
2018,Oversampling,SMOTE,Naive Bayes,0.5,0.5,4,20%,0.5859610638881272,0.9426554918394354,0.6451938366324608,0.6420776953295504
2018,Oversampling,SMOTE,XGBoost,0.5,0.5,4,20%,0.5861618798955613,0.9089068825910931,0.6462875307317099,0.6409917355371901
2018,Oversampling,SMOTE,Random Forest,0.5,0.5,4,20%,0.8179487179487179,0.40533672172808133,0.6566242622907592,0.6540436456996149
2018,Oversampling,SMOTE,Logistic Regression,0.67,0.33,4,20%,0.21628630705394192,0.7838345864661654,0.6641512395701343,0.5775526110678099
2018,Oversampling,SMOTE,Decision Tree,0.67,0.33,4,20%,0.963963963963964,0.5324364172502765,0.6905879565242978,0.5692182410423453
2018,Oversampling,SMOTE,Naive Bayes,0.67,0.33,4,20%,0.2831936479929422,0.8652291105121294,0.7210260135893981,0.6235268441728503
2018,Oversampling,SMOTE,XGBoost,0.67,0.33,4,20%,0.27800269905533065,0.8747346072186837,0.7278919707980654,0.6267768595041322
2018,Oversampling,SMOTE,Random Forest,0.67,0.33,4,20%,0.2820838627700127,0.8571428571428571,0.7110964478170021,0.613607188703466
2018,Oversampling,SMOTE,Logistic Regression,0.83,0.17,4,20%,0.32028008298755184,0.8098360655737705,0.6223992814729534,0.6218498311249675
2018,Oversampling,SMOTE,Decision Tree,0.83,0.17,4,20%,0.94994994994995,0.5673575129533679,0.6296043100052009,0.6219869706840391
2018,Oversampling,SMOTE,Naive Bayes,0.83,0.17,4,20%,0.39126599029554476,0.7983798379837984,0.6472528655581397,0.6499345264076822
2018,Oversampling,SMOTE,XGBoost,0.83,0.17,4,20%,0.9129554655870445,0.5782051282051283,0.636646235709919,0.6310743801652893
2018,Oversampling,SMOTE,Random Forest,0.83,0.17,4,20%,0.3900889453621347,0.8078947368421052,0.6477033572465668,0.6450577663671374
2018,Oversampling,SMOTE,Logistic Regression,0.17,0.83,5,25%,0.8077134986225896,0.3032685146876293,0.6151889774774821,0.6136977759301601
2018,Oversampling,SMOTE,Decision Tree,0.17,0.83,5,25%,0.7859139183901621,0.3665276329509906,0.6333810345010228,0.633485342019544
