Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Immune,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,1,5%,0.8434065934065934,0.40235910878112713,0.663826998689384,0.663826998689384
Immune,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,1,5%,0.6251415628539071,0.9064039408866995,0.6809980230749286,0.6811832374691865
Immune,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,1,5%,0.6401225114854517,0.920704845814978,0.7015418502202643,0.7015418502202643
Immune,Imbalanced,Imbalanced,XGBoost,0.17,0.83,1,5%,0.6438679245283019,0.91,0.7033333333333334,0.7033333333333334
Immune,Imbalanced,Imbalanced,Random Forest,0.17,0.83,1,5%,0.6388888888888888,0.8903225806451613,0.6919145370758275,0.6925566343042071
Immune,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,1,5%,0.7463235294117647,0.26605504587155965,0.5878112712975098,0.5878112712975099
Immune,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,1,5%,0.5770877944325482,0.8850574712643678,0.6176932093163945,0.6179129005751849
Immune,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,1,5%,0.8009708737864077,0.3634361233480176,0.6365638766519824,0.6365638766519823
Immune,Imbalanced,Imbalanced,XGBoost,0.33,0.67,1,5%,0.8807339449541285,0.32,0.6383333333333334,0.6383333333333333
Immune,Imbalanced,Imbalanced,Random Forest,0.33,0.67,1,5%,0.5690376569037657,0.8774193548387097,0.6042940930037705,0.6051779935275081
Immune,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,1,5%,0.8432432432432433,0.4089121887287025,0.6664482306684141,0.6664482306684142
Immune,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,1,5%,0.7718120805369127,0.5665024630541872,0.6993696525797253,0.6992604765817584
Immune,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,1,5%,0.8025889967637541,0.5462555066079295,0.7059471365638766,0.7059471365638766
Immune,Imbalanced,Imbalanced,XGBoost,0.5,0.5,1,5%,0.7804878048780488,0.5333333333333333,0.6916666666666667,0.6916666666666667
Immune,Imbalanced,Imbalanced,Random Forest,0.5,0.5,1,5%,0.8598130841121495,0.5935483870967742,0.7480728948470884,0.7475728155339806
Immune,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,1,5%,0.24639580602883354,0.6988847583643123,0.6207232065489023,0.5701179554390564
Immune,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,1,5%,0.9047619047619048,0.5582573454913881,0.653041716223955,0.5940838126540674
Immune,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,1,5%,0.9383259911894273,0.5827633378932968,0.7122856237489084,0.6332599118942731
Immune,Imbalanced,Imbalanced,XGBoost,0.67,0.33,1,5%,0.9,0.5769230769230769,0.6748251748251748,0.62
Immune,Imbalanced,Imbalanced,Random Forest,0.67,0.33,1,5%,0.9096774193548387,0.5708502024291497,0.6725218754081232,0.6116504854368932
Immune,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,1,5%,0.36041939711664484,0.8283132530120482,0.6428571428571428,0.6428571428571429
Immune,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,1,5%,0.9293924466338259,0.6079484425349087,0.6645317496327025,0.6647493837304848
Immune,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,1,5%,0.44493392070484583,0.8487394957983193,0.682819383259912,0.6828193832599119
Immune,Imbalanced,Imbalanced,XGBoost,0.83,0.17,1,5%,0.41333333333333333,0.8857142857142857,0.68,0.68
Immune,Imbalanced,Imbalanced,Random Forest,0.83,0.17,1,5%,0.8774193548387097,0.6181818181818182,0.6659824046920821,0.6666666666666666
Immune,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,2,10%,0.8321870701513068,0.3964613368283093,0.6582306684141547,0.6581448705342511
Immune,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,2,10%,0.8824561403508772,0.4133114215283484,0.6791290057518488,0.6791290057518488
Immune,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,2,10%,0.8609271523178808,0.42951541850220265,0.6800660792951542,0.6800660792951542
Immune,Imbalanced,Imbalanced,XGBoost,0.17,0.83,2,10%,0.9059561128526645,0.48247078464106846,0.7162353923205342,0.7164303586321935
Immune,Imbalanced,Imbalanced,Random Forest,0.17,0.83,2,10%,0.8895348837209303,0.49514563106796117,0.7168284789644013,0.7168284789644013
Immune,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,2,10%,0.5526002381897578,0.9121887287024901,0.5865861676299335,0.5866928875778433
Immune,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,2,10%,0.8316221765913757,0.33278553820870993,0.6327033689400164,0.6327033689400164
Immune,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,2,10%,0.8243243243243243,0.33590308370044053,0.63215859030837,0.6321585903083701
Immune,Imbalanced,Imbalanced,XGBoost,0.33,0.67,2,10%,0.5819761129207384,0.8948247078464107,0.626579020589872,0.6263552960800667
Immune,Imbalanced,Imbalanced,Random Forest,0.33,0.67,2,10%,0.5680851063829787,0.8640776699029126,0.6035598705501618,0.6035598705501618
Immune,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,2,10%,0.8098159509202454,0.4325032765399738,0.6654319661388394,0.6653556211078335
Immune,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,2,10%,0.8791732909379968,0.45439605587510273,0.6959737058340181,0.6959737058340181
Immune,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,2,10%,0.8461538461538461,0.460352422907489,0.6883259911894273,0.6883259911894273
Immune,Imbalanced,Imbalanced,XGBoost,0.5,0.5,2,10%,0.6580246913580247,0.8898163606010017,0.7140748469671675,0.7139282735613011
Immune,Imbalanced,Imbalanced,Random Forest,0.5,0.5,2,10%,0.8789473684210526,0.540453074433657,0.7330097087378641,0.7330097087378641
Immune,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,2,10%,0.2798165137614679,0.7625,0.6606558610999599,0.5961979678793838
Immune,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,2,10%,0.2941659819227609,0.8026905829596412,0.6852990138138246,0.6109285127362366
Immune,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,2,10%,0.31718061674008813,0.8275862068965517,0.7026214413229351,0.6255506607929515
Immune,Imbalanced,Imbalanced,XGBoost,0.67,0.33,2,10%,0.3606010016694491,0.9113924050632911,0.7566317534671965,0.6630525437864887
Immune,Imbalanced,Imbalanced,Random Forest,0.67,0.33,2,10%,0.4045307443365696,0.9259259259259259,0.7724867724867726,0.686084142394822
Immune,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,2,10%,0.8958060288335518,0.580220713073005,0.6236407193348087,0.6237299246148804
Immune,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,2,10%,0.38783894823336074,0.8822429906542056,0.6680361544782252,0.6680361544782252
Immune,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,2,10%,0.40198237885462557,0.8669833729216152,0.6701541850220264,0.6701541850220264
Immune,Imbalanced,Imbalanced,XGBoost,0.83,0.17,2,10%,0.8981636060100167,0.6169724770642202,0.670748469671675,0.6705587989991659
Immune,Imbalanced,Imbalanced,Random Forest,0.83,0.17,2,10%,0.883495145631068,0.6134831460674157,0.6634304207119741,0.6634304207119741
Immune,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,3,15%,0.7633711507293355,0.4117132867132867,0.6420733318669098,0.6421236617871968
Immune,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,3,15%,0.8135245901639344,0.4348302300109529,0.6675521013068463,0.6674883593536017
Immune,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,3,15%,0.8326300984528833,0.434654919236417,0.6736417033773863,0.6736417033773862
Immune,Imbalanced,Imbalanced,XGBoost,0.17,0.83,3,15%,0.8354166666666667,0.4460511679644049,0.6790878754171301,0.6790878754171301
Immune,Imbalanced,Imbalanced,Random Forest,0.17,0.83,3,15%,0.8647540983606558,0.4557235421166307,0.6923014262307292,0.6925566343042071
Immune,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,3,15%,0.7677564825253664,0.29763986013986016,0.6038221144299126,0.603889010268735
Immune,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,3,15%,0.7726750861079219,0.36856516976998904,0.6300360095425287,0.6299643933168995
Immune,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,3,15%,0.8066666666666666,0.355359765051395,0.6350954478707783,0.6350954478707783
Immune,Imbalanced,Imbalanced,XGBoost,0.33,0.67,3,15%,0.7948717948717948,0.3793103448275862,0.6407119021134595,0.6407119021134594
Immune,Imbalanced,Imbalanced,Random Forest,0.33,0.67,3,15%,0.8732394366197183,0.4017278617710583,0.6717691032993223,0.6720604099244876
Immune,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,3,15%,0.5983370642788616,0.8177447552447552,0.6345167638172224,0.6344767314835045
Immune,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,3,15%,0.8333333333333334,0.45454545454545453,0.6817932752179328,0.68173103259381
Immune,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,3,15%,0.8191349934469201,0.4588839941262849,0.6787812041116006,0.6787812041116006
Immune,Imbalanced,Imbalanced,XGBoost,0.5,0.5,3,15%,0.8481781376518218,0.4660734149054505,0.6913236929922136,0.6913236929922135
Immune,Imbalanced,Imbalanced,Random Forest,0.5,0.5,3,15%,0.6570048309178744,0.8812095032397408,0.7110788895509048,0.7108953613807982
Immune,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,3,15%,0.28234265734265734,0.8024844720496894,0.683585820330253,0.6065108149442866
Immune,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,3,15%,0.3488499452354874,0.7992471769134254,0.69131945390871,0.6305121884415229
Immune,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,3,15%,0.34508076358296624,0.8592321755027422,0.7247470018533464,0.6442731277533039
