Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Immune,Undersampling,NearMiss,Logistic Regression,0.17,0.83,1,5%,0.9270700636942675,0.3816954041827837,0.6758342621123715,0.6758342621123713
Immune,Undersampling,NearMiss,Decision Tree,0.17,0.83,1,5%,0.9458580447675531,0.4063784316948874,0.6915584415584416,0.6915584415584416
Immune,Undersampling,NearMiss,Naive Bayes,0.17,0.83,1,5%,0.9437436932391524,0.4120497852186364,0.6937438043837427,0.6937438043837427
Immune,Undersampling,NearMiss,XGBoost,0.17,0.83,1,5%,0.9385185185185185,0.4228266310695812,0.6975615131315863,0.6975385899040467
Immune,Undersampling,NearMiss,Random Forest,0.17,0.83,1,5%,0.9558498896247241,0.4207968901846453,0.7006802721088435,0.7006802721088435
Immune,Undersampling,NearMiss,Logistic Regression,0.33,0.67,1,5%,0.948809100604337,0.34996394151970106,0.6655412050088508,0.6655412050088507
Immune,Undersampling,NearMiss,Decision Tree,0.33,0.67,1,5%,0.9665489299813006,0.38237711655433176,0.6845717573565675,0.6845717573565675
Immune,Undersampling,NearMiss,Naive Bayes,0.33,0.67,1,5%,0.9655546514781665,0.3921136689062672,0.6890626721004516,0.6890626721004516
Immune,Undersampling,NearMiss,XGBoost,0.33,0.67,1,5%,0.9687625150180216,0.40363757717336896,0.6953101103490342,0.6952857738840217
Immune,Undersampling,NearMiss,Random Forest,0.33,0.67,1,5%,0.9827315541601256,0.405571752510528,0.6992225461613216,0.6992225461613216
Immune,Undersampling,NearMiss,Logistic Regression,0.5,0.5,1,5%,0.908553780045656,0.4435848685504491,0.6994689569265062,0.6994689569265062
Immune,Undersampling,NearMiss,Decision Tree,0.5,0.5,1,5%,0.9304318601915644,0.45512082853855007,0.7105457833305935,0.7105457833305935
Immune,Undersampling,NearMiss,Naive Bayes,0.5,0.5,1,5%,0.928362243748592,0.4539046150457099,0.7094393655688953,0.7094393655688953
Immune,Undersampling,NearMiss,XGBoost,0.5,0.5,1,5%,0.9402211472011057,0.4540297013182046,0.7125789361063654,0.7125573633708803
Immune,Undersampling,NearMiss,Random Forest,0.5,0.5,1,5%,0.9532646048109966,0.44930353093618397,0.7136378360868156,0.7136378360868156
Immune,Undersampling,NearMiss,Logistic Regression,0.67,0.33,1,5%,0.31488887431980594,0.9353456669912366,0.7617290393999971,0.6465613321969449
Immune,Undersampling,NearMiss,Decision Tree,0.67,0.33,1,5%,0.3315798125924708,0.9793639232823501,0.7885242908352582,0.6622965641952984
Immune,Undersampling,NearMiss,Naive Bayes,0.67,0.33,1,5%,0.3425487388478907,0.9888712241653418,0.7956412338771157,0.6693468443661196
Immune,Undersampling,NearMiss,XGBoost,0.67,0.33,1,5%,0.3554146504254964,0.9934701492537313,0.8004643704301377,0.6765123070504797
Immune,Undersampling,NearMiss,Random Forest,0.67,0.33,1,5%,0.3459669582118562,0.9916434540389972,0.7977640460306819,0.6715257531584062
Immune,Undersampling,NearMiss,Logistic Regression,0.83,0.17,1,5%,0.3786140431390546,0.9349198640116562,0.6761292860420901,0.6761292860420901
Immune,Undersampling,NearMiss,Decision Tree,0.83,0.17,1,5%,0.4026795988821305,0.9628537735849056,0.6935722505342758,0.6935722505342758
Immune,Undersampling,NearMiss,Naive Bayes,0.83,0.17,1,5%,0.4109483423284503,0.9645811789038262,0.6979292873664501,0.6979292873664501
Immune,Undersampling,NearMiss,XGBoost,0.83,0.17,1,5%,0.4229934924078091,0.9675572519083969,0.7044039558167217,0.7043804755944931
Immune,Undersampling,NearMiss,Random Forest,0.83,0.17,1,5%,0.4233884029802397,0.9812312312312312,0.7076449627470035,0.7076449627470036
Immune,Undersampling,NearMiss,Logistic Regression,0.17,0.83,2,10%,0.9086460032626428,0.36500655307994756,0.6641426208022689,0.6640445755490003
Immune,Undersampling,NearMiss,Decision Tree,0.17,0.83,2,10%,0.8756388415672913,0.42235004108463436,0.6811832374691865,0.6811832374691865
Immune,Undersampling,NearMiss,Naive Bayes,0.17,0.83,2,10%,0.8721174004192872,0.4581497797356828,0.6954845814977973,0.6954845814977973
Immune,Undersampling,NearMiss,XGBoost,0.17,0.83,2,10%,0.9111111111111111,0.4791318864774624,0.7162326099053978,0.7164303586321935
Immune,Undersampling,NearMiss,Random Forest,0.17,0.83,2,10%,0.9151515151515152,0.4886731391585761,0.7216828478964401,0.7216828478964401
Immune,Undersampling,NearMiss,Logistic Regression,0.33,0.67,2,10%,0.8776290630975143,0.300786369593709,0.6294095782394774,0.6293018682399213
Immune,Undersampling,NearMiss,Decision Tree,0.33,0.67,2,10%,0.8776824034334764,0.3360723089564503,0.6446179129005752,0.6446179129005751
Immune,Undersampling,NearMiss,Naive Bayes,0.33,0.67,2,10%,0.5829383886255924,0.948237885462555,0.6349118942731278,0.6349118942731278
Immune,Undersampling,NearMiss,XGBoost,0.33,0.67,2,10%,0.5886075949367089,0.9315525876460768,0.6407762938230384,0.640533778148457
Immune,Undersampling,NearMiss,Random Forest,0.33,0.67,2,10%,0.8623188405797102,0.3851132686084142,0.6618122977346278,0.6618122977346278
Immune,Undersampling,NearMiss,Logistic Regression,0.5,0.5,2,10%,0.8453473132372215,0.4226736566186107,0.6726483037191414,0.672566371681416
Immune,Undersampling,NearMiss,Decision Tree,0.5,0.5,2,10%,0.8525345622119815,0.4560394412489729,0.6885784716516024,0.6885784716516024
Immune,Undersampling,NearMiss,Naive Bayes,0.5,0.5,2,10%,0.8734693877551021,0.4713656387665198,0.7015418502202644,0.7015418502202643
Immune,Undersampling,NearMiss,XGBoost,0.5,0.5,2,10%,0.6582597730138714,0.8714524207011686,0.709892877017251,0.7097581317764804
Immune,Undersampling,NearMiss,Random Forest,0.5,0.5,2,10%,0.9112426035502958,0.49838187702265374,0.7249190938511327,0.7249190938511327
Immune,Undersampling,NearMiss,Logistic Regression,0.67,0.33,2,10%,0.27391874180865006,0.8763102725366876,0.7229259210391286,0.6175024582104228
Immune,Undersampling,NearMiss,Decision Tree,0.67,0.33,2,10%,0.32046014790468363,0.8666666666666667,0.7249159946236561,0.6355792933442892
Immune,Undersampling,NearMiss,Naive Bayes,0.67,0.33,2,10%,0.34801762114537443,0.8753462603878116,0.7342367040770673,0.6492290748898678
Immune,Undersampling,NearMiss,XGBoost,0.67,0.33,2,10%,0.3572621035058431,0.9344978165938864,0.7687953000495207,0.6663886572143453
Immune,Undersampling,NearMiss,Random Forest,0.67,0.33,2,10%,0.343042071197411,0.9137931034482759,0.7547053166643769,0.6553398058252428
Immune,Undersampling,NearMiss,Logistic Regression,0.83,0.17,2,10%,0.3610747051114024,0.9198664440734557,0.6647996476376684,0.6647000983284169
Immune,Undersampling,NearMiss,Decision Tree,0.83,0.17,2,10%,0.390304026294166,0.8878504672897196,0.6705012325390304,0.6705012325390304
Immune,Undersampling,NearMiss,Naive Bayes,0.83,0.17,2,10%,0.9295154185022027,0.6219602063375093,0.6822687224669604,0.6822687224669604
Immune,Undersampling,NearMiss,XGBoost,0.83,0.17,2,10%,0.9115191986644408,0.6162528216704289,0.672426265998887,0.6722268557130943
Immune,Undersampling,NearMiss,Random Forest,0.83,0.17,2,10%,0.9029126213592233,0.6355353075170843,0.6925566343042071,0.6925566343042071
Immune,Undersampling,NearMiss,Logistic Regression,0.17,0.83,3,15%,0.8276810265811182,0.3946678321678322,0.6562679484124438,0.6563251037797684
Immune,Undersampling,NearMiss,Decision Tree,0.17,0.83,3,15%,0.8324324324324325,0.42191780821917807,0.6685164068478147,0.6685839496028485
Immune,Undersampling,NearMiss,Naive Bayes,0.17,0.83,3,15%,0.8430851063829787,0.4654919236417034,0.6894273127753304,0.6894273127753304
Immune,Undersampling,NearMiss,XGBoost,0.17,0.83,3,15%,0.8804123711340206,0.474972191323693,0.7052280311457175,0.7052280311457174
Immune,Undersampling,NearMiss,Random Forest,0.17,0.83,3,15%,0.8431372549019608,0.46336206896551724,0.6884844902063008,0.6882416396979504
Immune,Undersampling,NearMiss,Logistic Regression,0.33,0.67,3,15%,0.8580645161290322,0.2906468531468531,0.6212954667656502,0.6213677081057462
Immune,Undersampling,NearMiss,Decision Tree,0.33,0.67,3,15%,0.8463611859838275,0.3441095890410959,0.6408390223409204,0.6409202958093673
Immune,Undersampling,NearMiss,Naive Bayes,0.33,0.67,3,15%,0.8405103668261563,0.3869309838472834,0.6567547723935389,0.656754772393539
Immune,Undersampling,NearMiss,XGBoost,0.33,0.67,3,15%,0.8813131313131313,0.3882091212458287,0.6679644048943271,0.6679644048943271
