Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Immune,Oversampling,ROS,Logistic Regression,0.17,0.83,1,5%,0.8129174876255466,0.43096991159460907,0.6658938625767497,0.6658938625767497
Immune,Oversampling,ROS,Decision Tree,0.17,0.83,1,5%,0.8537229144926647,0.4442456958507682,0.684065482395807,0.6840693124650643
Immune,Oversampling,ROS,Naive Bayes,0.17,0.83,1,5%,0.859557155152179,0.4702105803800719,0.696689846967847,0.6966850001070045
Immune,Oversampling,ROS,XGBoost,0.17,0.83,1,5%,0.8702353925200144,0.47230869001297016,0.700940337224384,0.7009403372243839
Immune,Oversampling,ROS,Random Forest,0.17,0.83,1,5%,0.8640341036571685,0.4847683786505539,0.704242195367573,0.704242195367573
Immune,Oversampling,ROS,Logistic Regression,0.33,0.67,1,5%,0.5879243916093128,0.9097093067692543,0.6360474892359431,0.636047489235943
Immune,Oversampling,ROS,Decision Tree,0.33,0.67,1,5%,0.6067595437518414,0.9209441977832433,0.6620499703621723,0.6620458356623812
Immune,Oversampling,ROS,Naive Bayes,0.33,0.67,1,5%,0.6192594271467831,0.9355418592706728,0.6801580374553937,0.6801635028998224
Immune,Oversampling,ROS,XGBoost,0.33,0.67,1,5%,0.6285899094437257,0.9453307392996109,0.6933852140077821,0.6933852140077821
Immune,Oversampling,ROS,Random Forest,0.33,0.67,1,5%,0.6335782267490399,0.9553121852970795,0.701409869083585,0.701409869083585
Immune,Oversampling,ROS,Logistic Regression,0.5,0.5,1,5%,0.7968876495457408,0.4514025120379099,0.6681740592596367,0.6681740592596367
Immune,Oversampling,ROS,Decision Tree,0.5,0.5,1,5%,0.634272829763247,0.8985210975181269,0.690221325557326,0.690217998882057
Immune,Oversampling,ROS,Naive Bayes,0.5,0.5,1,5%,0.8487701184330397,0.47851395309022426,0.6966254651809893,0.6966207973976501
Immune,Oversampling,ROS,XGBoost,0.5,0.5,1,5%,0.8557403557403558,0.4804798962386511,0.6997405966277561,0.6997405966277561
Immune,Oversampling,ROS,Random Forest,0.5,0.5,1,5%,0.8506876227897839,0.49055891238670696,0.7022280966767371,0.7022280966767371
Immune,Oversampling,ROS,Logistic Regression,0.67,0.33,1,5%,0.2853685256426588,0.8465724435038924,0.7084128476654454,0.6168250490433365
Immune,Oversampling,ROS,Decision Tree,0.67,0.33,1,5%,0.2909253521576644,0.8885853658536585,0.7323285847696632,0.6272298969895392
Immune,Oversampling,ROS,Naive Bayes,0.67,0.33,1,5%,0.29797979797979796,0.9031002724088727,0.7413650934036777,0.6329959124275044
