Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Immune,Undersampling,RUS,Logistic Regression,0.17,0.83,1,5%,0.7555002619172342,0.37822067789942965,0.6279092637513932,0.6279092637513932
Immune,Undersampling,RUS,Decision Tree,0.17,0.83,1,5%,0.794584656526826,0.39076113759658065,0.6448709518329772,0.6448709518329772
Immune,Undersampling,RUS,Naive Bayes,0.17,0.83,1,5%,0.8167585446527013,0.4079744465249477,0.6582222711752396,0.6582222711752396
Immune,Undersampling,RUS,XGBoost,0.17,0.83,1,5%,0.813754524514643,0.4126480894376773,0.6590944051994795,0.6590738423028786
Immune,Undersampling,RUS,Random Forest,0.17,0.83,1,5%,0.8376068376068376,0.4126984126984127,0.6663427275672172,0.6663427275672174
Immune,Undersampling,RUS,Logistic Regression,0.33,0.67,1,5%,0.5671939220326317,0.8956926506261064,0.6061102733888415,0.6061102733888415
Immune,Undersampling,RUS,Decision Tree,0.33,0.67,1,5%,0.5870169510001635,0.8852539865198094,0.6312263685681407,0.6312263685681407
Immune,Undersampling,RUS,Naive Bayes,0.33,0.67,1,5%,0.598377581120944,0.8937107610970371,0.6469324815508315,0.6469324815508316
Immune,Undersampling,RUS,XGBoost,0.33,0.67,1,5%,0.6062223231520382,0.8908726847989321,0.6560504946024033,0.6560700876095119
Immune,Undersampling,RUS,Random Forest,0.33,0.67,1,5%,0.6129968736042877,0.8892128279883382,0.6639131843213476,0.6639131843213476
Immune,Undersampling,RUS,Logistic Regression,0.5,0.5,1,5%,0.7396008655926906,0.4033304923621583,0.6306628204287682,0.6306628204287681
Immune,Undersampling,RUS,Decision Tree,0.5,0.5,1,5%,0.7795532112938256,0.41303633075784973,0.6481177050797303,0.6481177050797304
Immune,Undersampling,RUS,Naive Bayes,0.5,0.5,1,5%,0.8002079002079002,0.42394536843264674,0.6590483533428791,0.6590483533428791
Immune,Undersampling,RUS,XGBoost,0.5,0.5,1,5%,0.805320813771518,0.42933422326047055,0.6627645749146144,0.6627450980392157
Immune,Undersampling,RUS,Random Forest,0.5,0.5,1,5%,0.8316455696202532,0.42565597667638483,0.669744088111435,0.669744088111435
Immune,Undersampling,RUS,Logistic Regression,0.67,0.33,1,5%,0.25988330164557794,0.7851059615765498,0.6708261473043607,0.5943748770733626
Immune,Undersampling,RUS,Decision Tree,0.67,0.33,1,5%,0.26680914022686175,0.8303914044512664,0.6968144653848165,0.606156501726122
Immune,Undersampling,RUS,Naive Bayes,0.67,0.33,1,5%,0.26809119947130744,0.8730272596843616,0.7203457703756875,0.614550060579359
Immune,Undersampling,RUS,XGBoost,0.67,0.33,1,5%,0.28199566160520606,0.8729338842975206,0.7223660365860178,0.6204422194409679
Immune,Undersampling,RUS,Random Forest,0.67,0.33,1,5%,0.27793974732750243,0.8881987577639752,0.730101683029453,0.6214771622934888
Immune,Undersampling,RUS,Logistic Regression,0.83,0.17,1,5%,0.8899232937782732,0.5870599429115129,0.6319740378941847,0.6319740378941847
Immune,Undersampling,RUS,Decision Tree,0.83,0.17,1,5%,0.8915831004438599,0.605166257531801,0.6549399967121485,0.6549399967121486
Immune,Undersampling,RUS,Naive Bayes,0.83,0.17,1,5%,0.9014208613283401,0.6145528272133364,0.6680251128978962,0.6680251128978962
Immune,Undersampling,RUS,XGBoost,0.83,0.17,1,5%,0.8975471383280494,0.6223533495314127,0.676410418296201,0.6764288694201085
Immune,Undersampling,RUS,Random Forest,0.83,0.17,1,5%,0.9034661483641075,0.6274465691788527,0.6835114998380305,0.6835114998380305
Immune,Undersampling,RUS,Logistic Regression,0.17,0.83,2,10%,0.8529014844804319,0.41442622950819674,0.6714988290398126,0.671583087512291
Immune,Undersampling,RUS,Decision Tree,0.17,0.83,2,10%,0.9203980099502488,0.4560394412489729,0.7082990961380444,0.7082990961380444
Immune,Undersampling,RUS,Naive Bayes,0.17,0.83,2,10%,0.8943248532289628,0.5033039647577092,0.7219162995594712,0.7219162995594713
Immune,Undersampling,RUS,XGBoost,0.17,0.83,2,10%,0.9148936170212766,0.5016666666666667,0.7274610461880913,0.7272727272727273
Immune,Undersampling,RUS,Random Forest,0.17,0.83,2,10%,0.9518072289156626,0.511326860841424,0.7427184466019418,0.7427184466019418
Immune,Undersampling,RUS,Logistic Regression,0.33,0.67,2,10%,0.9320214669051878,0.3416393442622951,0.6583688202307544,0.6584726319239593
Immune,Undersampling,RUS,Decision Tree,0.33,0.67,2,10%,0.5824175824175825,0.9580936729663106,0.6355792933442892,0.6355792933442892
Immune,Undersampling,RUS,Naive Bayes,0.33,0.67,2,10%,0.5914343983684568,0.9581497797356828,0.6481277533039648,0.6481277533039648
Immune,Undersampling,RUS,XGBoost,0.33,0.67,2,10%,0.5917098445595855,0.9516666666666667,0.6469518642181413,0.6472060050041701
Immune,Undersampling,RUS,Random Forest,0.33,0.67,2,10%,0.6209016393442623,0.9805825242718447,0.6909385113268609,0.6909385113268608
Immune,Undersampling,RUS,Logistic Regression,0.5,0.5,2,10%,0.6188969258589512,0.8977049180327868,0.672640139226092,0.672566371681416
Immune,Undersampling,RUS,Decision Tree,0.5,0.5,2,10%,0.8956386292834891,0.4724732949876746,0.708709942481512,0.7087099424815119
Immune,Undersampling,RUS,Naive Bayes,0.5,0.5,2,10%,0.7866043613707165,0.5561674008810573,0.7026431718061674,0.7026431718061674
Immune,Undersampling,RUS,XGBoost,0.5,0.5,2,10%,0.8048780487804879,0.55,0.7082220367278798,0.7080900750625522
Immune,Undersampling,RUS,Random Forest,0.5,0.5,2,10%,0.930635838150289,0.5210355987055016,0.7411003236245954,0.7411003236245954
