Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Immune,Oversampling,SMOTE,Logistic Regression,0.17,0.83,1,5%,0.6121978097665128,0.9058113169091233,0.6660085093373418,0.6660085093373417
Immune,Oversampling,SMOTE,Decision Tree,0.17,0.83,1,5%,0.6264896600070101,0.9134406541459053,0.6844170083263464,0.6844206659746067
Immune,Oversampling,SMOTE,Naive Bayes,0.17,0.83,1,5%,0.6284396934010749,0.9159354534948423,0.6872092949720402,0.6872044000256811
Immune,Oversampling,SMOTE,XGBoost,0.17,0.83,1,5%,0.6340612135314122,0.9189364461738002,0.6942931258106355,0.6942931258106355
Immune,Oversampling,SMOTE,Random Forest,0.17,0.83,1,5%,0.6331059493998791,0.9229607250755287,0.6940458207452165,0.6940458207452165
Immune,Oversampling,SMOTE,Logistic Regression,0.33,0.67,1,5%,0.5902045263210023,0.9109067284909939,0.6392193829456574,0.6392193829456574
Immune,Oversampling,SMOTE,Decision Tree,0.33,0.67,1,5%,0.8294212738441642,0.40970359013670626,0.662720642291019,0.6627166014533259
Immune,Oversampling,SMOTE,Naive Bayes,0.33,0.67,1,5%,0.6159478320558288,0.9217994264435219,0.6735345360260753,0.6735292229332078
Immune,Oversampling,SMOTE,XGBoost,0.33,0.67,1,5%,0.6238018822917119,0.9327496757457847,0.6851167315175097,0.6851167315175097
Immune,Oversampling,SMOTE,Random Forest,0.33,0.67,1,5%,0.6256959676058714,0.9336606243705942,0.6875629405840886,0.6875629405840886
Immune,Oversampling,SMOTE,Logistic Regression,0.5,0.5,1,5%,0.7685372902557909,0.45392474077093575,0.6586074240146749,0.6586074240146748
Immune,Oversampling,SMOTE,Decision Tree,0.5,0.5,1,5%,0.8002191780821918,0.46646224607129166,0.6750013341705359,0.6749980036732413
Immune,Oversampling,SMOTE,Naive Bayes,0.5,0.5,1,5%,0.6278480266454446,0.911740786714035,0.6856683731549973,0.685663535001177
Immune,Oversampling,SMOTE,XGBoost,0.5,0.5,1,5%,0.8166796918611142,0.47438391699092086,0.6839494163424125,0.6839494163424125
Immune,Oversampling,SMOTE,Random Forest,0.5,0.5,1,5%,0.8253103898932694,0.47696374622356497,0.688003524672709,0.688003524672709
Immune,Oversampling,SMOTE,Logistic Regression,0.67,0.33,1,5%,0.2711013732134213,0.8751542067604243,0.7219552593273354,0.616213599653512
Immune,Oversampling,SMOTE,Decision Tree,0.67,0.33,1,5%,0.2751692858055449,0.8994570891626644,0.7357929901570623,0.6221991535574543
Immune,Oversampling,SMOTE,Naive Bayes,0.67,0.33,1,5%,0.28502332748362796,0.9162080352228948,0.7464412790727111,0.6294861643161341
Immune,Oversampling,SMOTE,XGBoost,0.67,0.33,1,5%,0.2784046692607004,0.922828890799656,0.7489698142710667,0.6275616083009079
Immune,Oversampling,SMOTE,Random Forest,0.67,0.33,1,5%,0.2759315206445116,0.9213955443463641,0.7478026652074555,0.6261958710976838
Immune,Oversampling,SMOTE,Logistic Regression,0.83,0.17,1,5%,0.9252757891518687,0.6066649962415435,0.6626837532801713,0.6626837532801712
Immune,Oversampling,SMOTE,Decision Tree,0.83,0.17,1,5%,0.9351603424044973,0.6259326563335115,0.6881378739524323,0.6881418190529426
Immune,Oversampling,SMOTE,Naive Bayes,0.83,0.17,1,5%,0.9401617942901168,0.630779392338177,0.6949353741181794,0.6949301260513193
Immune,Oversampling,SMOTE,XGBoost,0.83,0.17,1,5%,0.9488975356679636,0.6370879958200897,0.7041828793774318,0.704182879377432
Immune,Oversampling,SMOTE,Random Forest,0.83,0.17,1,5%,0.9465005035246727,0.6387189942235814,0.7055639476334341,0.705563947633434
Immune,Oversampling,SMOTE,Logistic Regression,0.17,0.83,2,10%,0.882800608828006,0.380327868852459,0.6649345766280643,0.6650278597181252
Immune,Oversampling,SMOTE,Decision Tree,0.17,0.83,2,10%,0.8916256157635468,0.44617912900575185,0.695973705834018,0.6959737058340181
Immune,Oversampling,SMOTE,Naive Bayes,0.17,0.83,2,10%,0.8873873873873874,0.43392070484581496,0.6894273127753303,0.6894273127753304
Immune,Oversampling,SMOTE,XGBoost,0.17,0.83,2,10%,0.8928571428571429,0.4166666666666667,0.6832915971062883,0.683069224353628
Immune,Oversampling,SMOTE,Random Forest,0.17,0.83,2,10%,0.8589743589743589,0.4336569579288026,0.6812297734627831,0.6812297734627831
Immune,Oversampling,SMOTE,Logistic Regression,0.33,0.67,2,10%,0.8940269749518305,0.3042622950819672,0.6341101776851514,0.6342182890855457
Immune,Oversampling,SMOTE,Decision Tree,0.33,0.67,2,10%,0.9142259414225942,0.3590797041906327,0.6626951520131471,0.6626951520131471
Immune,Oversampling,SMOTE,Naive Bayes,0.33,0.67,2,10%,0.8854166666666666,0.3744493392070485,0.6629955947136563,0.6629955947136564
Immune,Oversampling,SMOTE,XGBoost,0.33,0.67,2,10%,0.8623481781376519,0.355,0.6491193656093489,0.6488740617180984
Immune,Oversampling,SMOTE,Random Forest,0.33,0.67,2,10%,0.8666666666666667,0.3786407766990291,0.6601941747572816,0.6601941747572816
Immune,Oversampling,SMOTE,Logistic Regression,0.5,0.5,2,10%,0.6042850896370792,0.9062295081967213,0.6565878864705756,0.6565060635857096
Immune,Oversampling,SMOTE,Decision Tree,0.5,0.5,2,10%,0.8798151001540832,0.4691865242399343,0.7025472473294987,0.7025472473294988
Immune,Oversampling,SMOTE,Naive Bayes,0.5,0.5,2,10%,0.8773784355179705,0.45704845814977973,0.6965859030837006,0.6965859030837004
Immune,Oversampling,SMOTE,XGBoost,0.5,0.5,2,10%,0.8762214983713354,0.4483333333333333,0.6924471341124095,0.6922435362802335
Immune,Oversampling,SMOTE,Random Forest,0.5,0.5,2,10%,0.8571428571428571,0.46601941747572817,0.6941747572815534,0.6941747572815534
Immune,Oversampling,SMOTE,Logistic Regression,0.67,0.33,2,10%,0.2636065573770492,0.8481012658227848,0.7061616146731309,0.6083251392985907
Immune,Oversampling,SMOTE,Decision Tree,0.67,0.33,2,10%,0.3352506162695152,0.8831168831168831,0.7364367377044861,0.6454396055875102
Immune,Oversampling,SMOTE,Naive Bayes,0.67,0.33,2,10%,0.3436123348017621,0.8788732394366198,0.7354667360769683,0.6481277533039648
Immune,Oversampling,SMOTE,XGBoost,0.67,0.33,2,10%,0.33166666666666667,0.9045454545454545,0.7474719101123597,0.6480400333611342
Immune,Oversampling,SMOTE,Random Forest,0.67,0.33,2,10%,0.3300970873786408,0.8869565217391304,0.7377128533148932,0.6440129449838188
Immune,Oversampling,SMOTE,Logistic Regression,0.83,0.17,2,10%,0.3770491803278688,0.869894099848714,0.6603463463893603,0.6604392002622091
Immune,Oversampling,SMOTE,Decision Tree,0.83,0.17,2,10%,0.41659819227608874,0.8863636363636364,0.6815940838126541,0.6815940838126541
Immune,Oversampling,SMOTE,Naive Bayes,0.83,0.17,2,10%,0.42180616740088106,0.8704545454545455,0.6795154185022027,0.6795154185022027
Immune,Oversampling,SMOTE,XGBoost,0.83,0.17,2,10%,0.43666666666666665,0.8851351351351351,0.6899526989426822,0.6897414512093412
Immune,Oversampling,SMOTE,Random Forest,0.83,0.17,2,10%,0.44336569579288027,0.845679012345679,0.6812297734627831,0.6812297734627831
Immune,Oversampling,SMOTE,Logistic Regression,0.17,0.83,3,15%,0.8050632911392405,0.4167758846657929,0.6579071731021273,0.6578544898405069
Immune,Oversampling,SMOTE,Decision Tree,0.17,0.83,3,15%,0.8619934282584885,0.4312328767123288,0.6811147954207865,0.6811832374691865
Immune,Oversampling,SMOTE,Naive Bayes,0.17,0.83,3,15%,0.8466413181242078,0.49045521292217326,0.7008076358296622,0.7008076358296622
Immune,Oversampling,SMOTE,XGBoost,0.17,0.83,3,15%,0.8556034482758621,0.44160177975528364,0.6835372636262513,0.6835372636262514
Immune,Oversampling,SMOTE,Random Forest,0.17,0.83,3,15%,0.8716981132075472,0.49892008639308855,0.7128221121620615,0.7130528586839266
Immune,Oversampling,SMOTE,Logistic Regression,0.33,0.67,3,15%,0.857707509881423,0.28440366972477066,0.6186004362609868,0.6185274197072318
Immune,Oversampling,SMOTE,Decision Tree,0.33,0.67,3,15%,0.8347107438016529,0.3320547945205479,0.6331686897027712,0.6332511640646398
Immune,Oversampling,SMOTE,Naive Bayes,0.33,0.67,3,15%,0.5777377196935557,0.9412628487518355,0.6266519823788546,0.6266519823788547
Immune,Oversampling,SMOTE,XGBoost,0.33,0.67,3,15%,0.875,0.37374860956618466,0.6601779755283649,0.6601779755283649
Immune,Oversampling,SMOTE,Random Forest,0.33,0.67,3,15%,0.8508771929824561,0.4190064794816415,0.672865308706338,0.6731391585760518
Immune,Oversampling,SMOTE,Logistic Regression,0.5,0.5,3,15%,0.7948511665325825,0.43162953254696373,0.6600892417979574,0.6600393270701332
Immune,Oversampling,SMOTE,Decision Tree,0.5,0.5,3,15%,0.6279257465698144,0.8526027397260274,0.673836966796201,0.6737880032867708
Immune,Oversampling,SMOTE,Naive Bayes,0.5,0.5,3,15%,0.8588082901554405,0.486784140969163,0.7033773861967696,0.7033773861967695
Immune,Oversampling,SMOTE,XGBoost,0.5,0.5,3,15%,0.8414634146341463,0.46051167964404893,0.6868743047830923,0.6868743047830923
Immune,Oversampling,SMOTE,Random Forest,0.5,0.5,3,15%,0.6282051282051282,0.8466522678185745,0.6733261339092873,0.6731391585760518
Immune,Oversampling,SMOTE,Logistic Regression,0.67,0.33,3,15%,0.28833551769331583,0.8158220024721878,0.6917485808539283,0.6115359405724273
Immune,Oversampling,SMOTE,Decision Tree,0.67,0.33,3,15%,0.31616438356164384,0.8460410557184751,0.7128487528508173,0.6294165981922761
Immune,Oversampling,SMOTE,Naive Bayes,0.67,0.33,3,15%,0.3568281938325991,0.8820326678765881,0.7394516767822885,0.6545521292217328
Immune,Oversampling,SMOTE,XGBoost,0.67,0.33,3,15%,0.3403781979977753,0.8973607038123167,0.7451800087352592,0.6507230255839822
Immune,Oversampling,SMOTE,Random Forest,0.67,0.33,3,15%,0.367170626349892,0.9139784946236559,0.759283444342867,0.6666666666666666
Immune,Oversampling,SMOTE,Logistic Regression,0.83,0.17,3,15%,0.3910004368719965,0.8294717330861909,0.655290428226208,0.6552326851649553
Immune,Oversampling,SMOTE,Decision Tree,0.83,0.17,3,15%,0.40876712328767123,0.8654292343387471,0.6726201443382497,0.6726924130375239
Immune,Oversampling,SMOTE,Naive Bayes,0.83,0.17,3,15%,0.920704845814978,0.6099221789883269,0.6659324522760646,0.6659324522760646
Immune,Oversampling,SMOTE,XGBoost,0.83,0.17,3,15%,0.42046718576195774,0.8649885583524027,0.6774193548387097,0.6774193548387096
Immune,Oversampling,SMOTE,Random Forest,0.83,0.17,3,15%,0.5032397408207343,0.8566176470588235,0.7095940083414016,0.7098166127292341
Immune,Oversampling,SMOTE,Logistic Regression,0.17,0.83,4,20%,0.6033111158890562,0.9196984595214683,0.6574893477548345,0.6574893477548345
Immune,Oversampling,SMOTE,Decision Tree,0.17,0.83,4,20%,0.611430133989609,0.9190300041101521,0.6676086750213867,0.6675570166426957
Immune,Oversampling,SMOTE,Naive Bayes,0.17,0.83,4,20%,0.6133668702838664,0.9399779735682819,0.6737334801762114,0.6737334801762115
Immune,Oversampling,SMOTE,XGBoost,0.17,0.83,4,20%,0.6214442013129103,0.9474562135112594,0.6851542952460383,0.6851542952460383
Immune,Oversampling,SMOTE,Random Forest,0.17,0.83,4,20%,0.627906976744186,0.9174757281553398,0.6864526128621108,0.6866396761133603
Immune,Oversampling,SMOTE,Logistic Regression,0.33,0.67,4,20%,0.569605340663656,0.9508357915437562,0.6161914126515897,0.6161914126515896
Immune,Oversampling,SMOTE,Decision Tree,0.33,0.67,4,20%,0.8193979933110368,0.30209617755856966,0.6177695349584139,0.6178343949044586
Immune,Oversampling,SMOTE,Naive Bayes,0.33,0.67,4,20%,0.5944827586206897,0.9493392070484582,0.6508810572687225,0.6508810572687225
Immune,Oversampling,SMOTE,XGBoost,0.33,0.67,4,20%,0.5922431865828093,0.9424520433694745,0.6467889908256881,0.6467889908256881
Immune,Oversampling,SMOTE,Random Forest,0.33,0.67,4,20%,0.6029258098223615,0.9336569579288025,0.6588868258039475,0.6591093117408907
Immune,Oversampling,SMOTE,Logistic Regression,0.5,0.5,4,20%,0.8191489361702128,0.35332677810553914,0.6376597836774828,0.6376597836774828
Immune,Oversampling,SMOTE,Decision Tree,0.5,0.5,4,20%,0.624653312788906,0.833127825729552,0.6663584896930422,0.6663242243681939
Immune,Oversampling,SMOTE,Naive Bayes,0.5,0.5,4,20%,0.841304347826087,0.4262114537444934,0.6729074889867841,0.6729074889867841
Immune,Oversampling,SMOTE,XGBoost,0.5,0.5,4,20%,0.8590604026845637,0.427022518765638,0.6784820683903253,0.6784820683903253
Immune,Oversampling,SMOTE,Random Forest,0.5,0.5,4,20%,0.8536585365853658,0.3964401294498382,0.6641844083229741,0.6639676113360324
Immune,Oversampling,SMOTE,Logistic Regression,0.67,0.33,4,20%,0.24516551950180268,0.8219780219780219,0.6892054978919385,0.5960340871845297
