Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Immune,Undersampling,Tomeklinks,Logistic Regression,0.17,0.83,1,5%,0.8187952519332118,0.4235306106850781,0.6649002573182848,0.6649002573182848
Immune,Undersampling,Tomeklinks,Decision Tree,0.17,0.83,1,5%,0.8521891207333253,0.45135428644435927,0.686532542973034,0.6865287870318614
Immune,Undersampling,Tomeklinks,Naive Bayes,0.17,0.83,1,5%,0.8535031847133758,0.4703163121174507,0.6947969165449435,0.6948017206326107
Immune,Undersampling,Tomeklinks,XGBoost,0.17,0.83,1,5%,0.8682955206515416,0.48398184176394293,0.7052853437094684,0.7052853437094683
Immune,Undersampling,Tomeklinks,Random Forest,0.17,0.83,1,5%,0.8746375195181798,0.4935800604229607,0.7114174219536757,0.7114174219536757
Immune,Undersampling,Tomeklinks,Logistic Regression,0.33,0.67,1,5%,0.5887715692287291,0.9049450969402053,0.636442383633538,0.636442383633538
Immune,Undersampling,Tomeklinks,Decision Tree,0.33,0.67,1,5%,0.6098427945750375,0.920627315702057,0.6658108310071917,0.6658149005829274
Immune,Undersampling,Tomeklinks,Naive Bayes,0.33,0.67,1,5%,0.620141691834373,0.9404186106236356,0.6822021147622543,0.6821965886960429
Immune,Undersampling,Tomeklinks,XGBoost,0.33,0.67,1,5%,0.6290849673202614,0.9487678339818417,0.6946822308690013,0.6946822308690013
Immune,Undersampling,Tomeklinks,Random Forest,0.33,0.67,1,5%,0.6347710019187454,0.9578298086606244,0.7033610271903323,0.7033610271903323
Immune,Undersampling,Tomeklinks,Logistic Regression,0.5,0.5,1,5%,0.7990494647471391,0.44118621181625944,0.6651168123105144,0.6651168123105143
Immune,Undersampling,Tomeklinks,Decision Tree,0.5,0.5,1,5%,0.8330563356066251,0.4642902772454325,0.6856219968333401,0.6856184620298651
Immune,Undersampling,Tomeklinks,Naive Bayes,0.5,0.5,1,5%,0.6401075911536163,0.9167487052176518,0.7006701923622929,0.7006655680869732
Immune,Undersampling,Tomeklinks,XGBoost,0.5,0.5,1,5%,0.8543952935852472,0.48975356679636833,0.7031452658884565,0.7031452658884566
Immune,Undersampling,Tomeklinks,Random Forest,0.5,0.5,1,5%,0.8632034632034632,0.5020140986908358,0.7112286002014099,0.7112286002014099
Immune,Undersampling,Tomeklinks,Logistic Regression,0.67,0.33,1,5%,0.28516470917938397,0.857635430235231,0.7144741603972904,0.6189141677919033
Immune,Undersampling,Tomeklinks,Decision Tree,0.67,0.33,1,5%,0.3008815638175546,0.8832630098452883,0.7309674048263979,0.6305517847161224
Immune,Undersampling,Tomeklinks,Naive Bayes,0.67,0.33,1,5%,0.29936223943842827,0.8914096354830486,0.7352035446261209,0.6314550474030004
Immune,Undersampling,Tomeklinks,XGBoost,0.67,0.33,1,5%,0.3087548638132296,0.9042735042735043,0.7437496553625585,0.6380350194552529
Immune,Undersampling,Tomeklinks,Random Forest,0.67,0.33,1,5%,0.3057653575025176,0.9197273759939417,0.751703349807192,0.6395392749244713
Immune,Undersampling,Tomeklinks,Logistic Regression,0.83,0.17,1,5%,0.907594710962778,0.6097389816003423,0.6633461567858143,0.6633461567858143
Immune,Undersampling,Tomeklinks,Decision Tree,0.83,0.17,1,5%,0.9229909288360802,0.626792182721298,0.686700690086421,0.6867044637866326
Immune,Undersampling,Tomeklinks,Naive Bayes,0.83,0.17,1,5%,0.9422163249582673,0.6348011650373446,0.7000929253622017,0.7000877437027843
Immune,Undersampling,Tomeklinks,XGBoost,0.83,0.17,1,5%,0.951556420233463,0.6441459238772553,0.7129377431906614,0.7129377431906615
Immune,Undersampling,Tomeklinks,Random Forest,0.83,0.17,1,5%,0.9599697885196374,0.6462711864406779,0.7172708962739174,0.7172708962739174
Immune,Undersampling,Tomeklinks,Logistic Regression,0.17,0.83,2,10%,0.8942307692307693,0.36856010568031705,0.6626548890131597,0.6638157894736842
Immune,Undersampling,Tomeklinks,Decision Tree,0.17,0.83,2,10%,0.9162112932604736,0.4163907284768212,0.6892964324389036,0.6903092783505155
Immune,Undersampling,Tomeklinks,Naive Bayes,0.17,0.83,2,10%,0.8865740740740741,0.42508324084350724,0.685559241567128,0.6865671641791045
Immune,Undersampling,Tomeklinks,XGBoost,0.17,0.83,2,10%,0.8981481481481481,0.4890756302521008,0.7169919052763009,0.7177554438860971
Immune,Undersampling,Tomeklinks,Random Forest,0.17,0.83,2,10%,0.9230769230769231,0.46905537459283386,0.7151102115682616,0.7159090909090909
Immune,Undersampling,Tomeklinks,Logistic Regression,0.33,0.67,2,10%,0.928416485900217,0.28269484808454426,0.6305348421287729,0.6319078947368421
Immune,Undersampling,Tomeklinks,Decision Tree,0.33,0.67,2,10%,0.8903508771929824,0.3360927152317881,0.6475040404425169,0.648659793814433
Immune,Undersampling,Tomeklinks,Naive Bayes,0.33,0.67,2,10%,0.9035087719298246,0.34295227524972255,0.6533043314574604,0.6545052515201769
Immune,Undersampling,Tomeklinks,XGBoost,0.33,0.67,2,10%,0.5951115834218916,0.9411764705882353,0.6525581852106452,0.6515912897822446
Immune,Undersampling,Tomeklinks,Random Forest,0.33,0.67,2,10%,0.5917525773195876,0.9348534201954397,0.6470383605831567,0.6461038961038961
Immune,Undersampling,Tomeklinks,Logistic Regression,0.5,0.5,2,10%,0.859504132231405,0.41215323645970936,0.6726559104972203,0.6736842105263158
Immune,Undersampling,Tomeklinks,Decision Tree,0.5,0.5,2,10%,0.9038142620232172,0.451158940397351,0.701750382277558,0.702680412371134
Immune,Undersampling,Tomeklinks,Naive Bayes,0.5,0.5,2,10%,0.8760683760683761,0.4550499445061043,0.6955866462618627,0.6965174129353234
Immune,Undersampling,Tomeklinks,XGBoost,0.5,0.5,2,10%,0.8908554572271387,0.507563025210084,0.7228967045916864,0.7236180904522613
Immune,Undersampling,Tomeklinks,Random Forest,0.5,0.5,2,10%,0.9151515151515152,0.49185667752442996,0.7232746170793671,0.724025974025974
Immune,Undersampling,Tomeklinks,Logistic Regression,0.67,0.33,2,10%,0.2450462351387054,0.8918269230769231,0.7281162054409006,0.6092105263157894
Immune,Undersampling,Tomeklinks,Decision Tree,0.67,0.33,2,10%,0.3220198675496689,0.8625277161862528,0.723817049582488,0.636701030927835
Immune,Undersampling,Tomeklinks,Naive Bayes,0.67,0.33,2,10%,0.3263041065482797,0.9102167182662538,0.7508687898195333,0.648424543946932
Immune,Undersampling,Tomeklinks,XGBoost,0.67,0.33,2,10%,0.3378151260504202,0.9013452914798207,0.7477890206111771,0.6515912897822446
Immune,Undersampling,Tomeklinks,Random Forest,0.67,0.33,2,10%,0.34527687296416937,0.9464285714285714,0.7738095238095237,0.663961038961039
Immune,Undersampling,Tomeklinks,Logistic Regression,0.83,0.17,2,10%,0.38969616908850724,0.8600583090379009,0.6633933007958919,0.6644736842105263
Immune,Undersampling,Tomeklinks,Decision Tree,0.83,0.17,2,10%,0.9279801324503312,0.6135741652983032,0.6739325477370801,0.6729896907216495
Immune,Undersampling,Tomeklinks,Naive Bayes,0.83,0.17,2,10%,0.42508324084350724,0.9011764705882352,0.6894138671177887,0.6904367053620785
Immune,Undersampling,Tomeklinks,XGBoost,0.83,0.17,2,10%,0.9294117647058824,0.632,0.6959245801826573,0.695142378559464
Immune,Undersampling,Tomeklinks,Random Forest,0.83,0.17,2,10%,0.9315960912052117,0.6355555555555555,0.7004258773178161,0.6996753246753247
Immune,Undersampling,Tomeklinks,Logistic Regression,0.17,0.83,3,15%,0.8283450704225352,0.4134446397188049,0.6641086834957661,0.6647677475898335
Immune,Undersampling,Tomeklinks,Decision Tree,0.17,0.83,3,15%,0.8896631823461092,0.42203856749311297,0.6850061402635336,0.6858006042296072
Immune,Undersampling,Tomeklinks,Naive Bayes,0.17,0.83,3,15%,0.8636363636363636,0.47675276752767526,0.7009314498431327,0.701509017298491
