Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Problems_in_China,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,1,5%,0.9130434782608695,0.43911439114391143,0.6986726746874349,0.6988322065150584
Problems_in_China,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,1,5%,0.8957654723127035,0.423728813559322,0.687211093990755,0.687211093990755
Problems_in_China,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,1,5%,0.9357429718875502,0.48140495867768596,0.7241735537190083,0.7241735537190083
Problems_in_China,Imbalanced,Imbalanced,XGBoost,0.17,0.83,1,5%,0.9329268292682927,0.47962382445141066,0.7226244122257053,0.7230046948356808
Problems_in_China,Imbalanced,Imbalanced,Random Forest,0.17,0.83,1,5%,0.9534883720930233,0.49696969696969695,0.7363636363636363,0.7363636363636363
Problems_in_China,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,1,5%,0.8703703703703703,0.34686346863468637,0.6476332085188173,0.647818070067609
Problems_in_China,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,1,5%,0.899641577060932,0.386748844375963,0.6718027734976888,0.6718027734976888
Problems_in_China,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,1,5%,0.9279279279279279,0.4256198347107438,0.6962809917355371,0.6962809917355371
Problems_in_China,Imbalanced,Imbalanced,XGBoost,0.33,0.67,1,5%,0.9006211180124224,0.45454545454545453,0.7022727272727273,0.702660406885759
Problems_in_China,Imbalanced,Imbalanced,Random Forest,0.33,0.67,1,5%,0.9382716049382716,0.46060606060606063,0.7151515151515152,0.7151515151515152
Problems_in_China,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,1,5%,0.5911854103343465,0.956949569495695,0.6480079542810171,0.647818070067609
Problems_in_China,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,1,5%,0.8833819241982507,0.46687211093990755,0.7026194144838211,0.7026194144838213
Problems_in_China,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,1,5%,0.780281690140845,0.5723140495867769,0.7055785123966942,0.7055785123966942
Problems_in_China,Imbalanced,Imbalanced,XGBoost,0.5,0.5,1,5%,0.6116700201207244,0.9529780564263323,0.6749265282131661,0.6744913928012519
Problems_in_China,Imbalanced,Imbalanced,Random Forest,0.5,0.5,1,5%,0.831858407079646,0.5696969696969697,0.7272727272727273,0.7272727272727273
