Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Problems_in_China,Undersampling,NearMiss,Logistic Regression,0.17,0.83,1,5%,0.9148646810825514,0.41376553081559847,0.6876318889701339,0.6876403112218225
Problems_in_China,Undersampling,NearMiss,Decision Tree,0.17,0.83,1,5%,0.9154546907463641,0.4417026526835287,0.700454966070327,0.700454966070327
Problems_in_China,Undersampling,NearMiss,Naive Bayes,0.17,0.83,1,5%,0.9341766723842195,0.4502428438565671,0.7092607069045184,0.7092740893825885
Problems_in_China,Undersampling,NearMiss,XGBoost,0.17,0.83,1,5%,0.9371482176360225,0.46923438233912634,0.718884567500183,0.718904109589041
Problems_in_China,Undersampling,NearMiss,Random Forest,0.17,0.83,1,5%,0.9495073891625616,0.46855059252506837,0.7218132901835068,0.7217748062604468
Problems_in_China,Undersampling,NearMiss,Logistic Regression,0.33,0.67,1,5%,0.9383065785332074,0.36671177266576455,0.6713010244102547,0.6713103914875296
Problems_in_China,Undersampling,NearMiss,Decision Tree,0.33,0.67,1,5%,0.9629424778761062,0.40276064157927205,0.6936304750154226,0.6936304750154226
Problems_in_China,Undersampling,NearMiss,Naive Bayes,0.33,0.67,1,5%,0.9530744336569579,0.4260617960111605,0.7025431939344913,0.7025574786876776
Problems_in_China,Undersampling,NearMiss,XGBoost,0.33,0.67,1,5%,0.9602425876010782,0.4462188821042743,0.7138733734253369,0.713894324853229
Problems_in_China,Undersampling,NearMiss,Random Forest,0.33,0.67,1,5%,0.9675281643472499,0.44363415375265874,0.7143702683656912,0.7143291293116547
Problems_in_China,Undersampling,NearMiss,Logistic Regression,0.5,0.5,1,5%,0.48583104441615865,0.8921146512486161,0.47401107431733963,0.47399821631761846
Problems_in_China,Undersampling,NearMiss,Decision Tree,0.5,0.5,1,5%,0.9079391891891891,0.4973781616286243,0.72347316471314,0.72347316471314
Problems_in_China,Undersampling,NearMiss,Naive Bayes,0.5,0.5,1,5%,0.49371774736369756,0.909579415107988,0.4884743531419254,0.4884525962283648
Problems_in_China,Undersampling,NearMiss,XGBoost,0.5,0.5,1,5%,0.4954151808456444,0.9135744480976985,0.4916181570482231,0.49158512720156555
Problems_in_China,Undersampling,NearMiss,Random Forest,0.5,0.5,1,5%,0.9270194986072423,0.5056213916742631,0.7329018812474659,0.7328673453882388
Problems_in_China,Undersampling,NearMiss,Logistic Regression,0.67,0.33,1,5%,0.3247016853241481,0.9570340826686005,0.7752097564189268,0.6550727311867639
Problems_in_China,Undersampling,NearMiss,Decision Tree,0.67,0.33,1,5%,0.3468537939543492,0.9746478873239437,0.7886934854283055,0.6689157927205429
Problems_in_China,Undersampling,NearMiss,Naive Bayes,0.67,0.33,1,5%,0.35899555647411385,0.9698492462311558,0.7882911355101763,0.6739343838801344
Problems_in_China,Undersampling,NearMiss,XGBoost,0.67,0.33,1,5%,0.36950054798810084,0.989517819706499,0.8009668020572918,0.6828180039138944
Problems_in_China,Undersampling,NearMiss,Random Forest,0.67,0.33,1,5%,0.37617745366150107,0.984884645982498,0.7996361622098817,0.6851542318796535
Problems_in_China,Undersampling,NearMiss,Logistic Regression,0.83,0.17,1,5%,0.40250953376799115,0.9302061122956645,0.686155437281929,0.6861641602853892
Problems_in_China,Undersampling,NearMiss,Decision Tree,0.83,0.17,1,5%,0.4279765576804442,0.9595435684647303,0.7049660703269587,0.7049660703269587
