Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Problems_in_China,Oversampling,ROS,Logistic Regression,0.17,0.83,1,5%,0.8150159744408946,0.45082049987376926,0.6742476353795871,0.674244815006501
Problems_in_China,Oversampling,ROS,Decision Tree,0.17,0.83,1,5%,0.8394624785710336,0.48047097550167756,0.6942917660403333,0.6942883821039137
Problems_in_China,Oversampling,ROS,Naive Bayes,0.17,0.83,1,5%,0.8502814533226113,0.49331976078381473,0.7032277219323917,0.7032277219323917
Problems_in_China,Oversampling,ROS,XGBoost,0.17,0.83,1,5%,0.8486145287257943,0.5097358781569308,0.7094017094017094,0.7094017094017094
Problems_in_China,Oversampling,ROS,Random Forest,0.17,0.83,1,5%,0.8500933029234916,0.5114770459081837,0.7106468427744735,0.7106592652653901
Problems_in_China,Oversampling,ROS,Logistic Regression,0.33,0.67,1,5%,0.8123866032462119,0.41825296642262055,0.6608293790178189,0.660826316918921
Problems_in_China,Oversampling,ROS,Decision Tree,0.33,0.67,1,5%,0.8497498706227359,0.4677470405773248,0.6925194228620172,0.6925158656052669
Problems_in_China,Oversampling,ROS,Naive Bayes,0.33,0.67,1,5%,0.8551890587288817,0.4959494422530432,0.7059846460533571,0.7059846460533571
Problems_in_China,Oversampling,ROS,XGBoost,0.33,0.67,1,5%,0.8643994834266036,0.5161622003727266,0.7175952702268491,0.7175952702268492
Problems_in_China,Oversampling,ROS,Random Forest,0.33,0.67,1,5%,0.8688010043942247,0.5179640718562875,0.7198776327848233,0.7198902264080335
Problems_in_China,Oversampling,ROS,Logistic Regression,0.5,0.5,1,5%,0.7615634668859906,0.49091138601363293,0.6686044723246483,0.6686022292631818
Problems_in_China,Oversampling,ROS,Decision Tree,0.5,0.5,1,5%,0.7947441080761266,0.5101918085712477,0.6892110563762768,0.6892082232104705
Problems_in_China,Oversampling,ROS,Naive Bayes,0.5,0.5,1,5%,0.8099940353900192,0.5183865631759765,0.698392501166391,0.698392501166391
Problems_in_China,Oversampling,ROS,XGBoost,0.5,0.5,1,5%,0.8125370773185683,0.528115159694107,0.7031360452413083,0.7031360452413083
Problems_in_China,Oversampling,ROS,Random Forest,0.5,0.5,1,5%,0.6290909090909091,0.9496007984031936,0.6948951977546716,0.6948793114201959
Problems_in_China,Oversampling,ROS,Logistic Regression,0.67,0.33,1,5%,0.31072961373390556,0.8538328130419701,0.7162658293961163,0.6287633017331701
Problems_in_China,Oversampling,ROS,Decision Tree,0.67,0.33,1,5%,0.3236690510856492,0.8785223367697594,0.7319940141372998,0.6394511529270261
Problems_in_China,Oversampling,ROS,Naive Bayes,0.67,0.33,1,5%,0.3209483818976121,0.8921244989389295,0.7390649387537015,0.6410696865589346
Problems_in_China,Oversampling,ROS,XGBoost,0.67,0.33,1,5%,0.32967032967032966,0.9,0.7448430493273542,0.6465201465201466
Problems_in_China,Oversampling,ROS,Random Forest,0.67,0.33,1,5%,0.3300898203592814,0.8930138373270334,0.7410746309818028,0.6452940809580241
Problems_in_China,Oversampling,ROS,Logistic Regression,0.83,0.17,1,5%,0.45147689977278466,0.8216024993108518,0.6767218122535311,0.6767189689342203
Problems_in_China,Oversampling,ROS,Decision Tree,0.83,0.17,1,5%,0.4874343229727163,0.8532328660867639,0.701793317596889,0.70178992514283
Problems_in_China,Oversampling,ROS,Naive Bayes,0.83,0.17,1,5%,0.5084616363405013,0.8701458953328011,0.7162913008440428,0.7162913008440429
Problems_in_China,Oversampling,ROS,XGBoost,0.83,0.17,1,5%,0.5254803675856308,0.8731446876668446,0.7245678298309877,0.7245678298309878
Problems_in_China,Oversampling,ROS,Random Forest,0.83,0.17,1,5%,0.5284431137724551,0.8799335272122975,0.7281731597301843,0.7281856171645981
Problems_in_China,Oversampling,ROS,Logistic Regression,0.17,0.83,2,10%,0.8706240487062404,0.3515673017824216,0.6496458895135971,0.6495542576083615
Problems_in_China,Oversampling,ROS,Decision Tree,0.17,0.83,2,10%,0.8867595818815331,0.39244410177332306,0.6711835300854289,0.671290944123314
Problems_in_China,Oversampling,ROS,Naive Bayes,0.17,0.83,2,10%,0.8765432098765432,0.44008264462809915,0.6890495867768596,0.6890495867768595
Problems_in_China,Oversampling,ROS,XGBoost,0.17,0.83,2,10%,0.900990099009901,0.4272300469483568,0.6901408450704225,0.6901408450704225
Problems_in_China,Oversampling,ROS,Random Forest,0.17,0.83,2,10%,0.9515151515151515,0.47575757575757577,0.7257207331675417,0.7253414264036419
Problems_in_China,Oversampling,ROS,Logistic Regression,0.33,0.67,2,10%,0.8626692456479691,0.27412415488629377,0.6152293591159637,0.6151245004611128
Problems_in_China,Oversampling,ROS,Decision Tree,0.33,0.67,2,10%,0.5768688293370945,0.9460292983808789,0.6263274380964488,0.626204238921002
Problems_in_China,Oversampling,ROS,Naive Bayes,0.33,0.67,2,10%,0.5841708542713567,0.9607438016528925,0.6384297520661157,0.6384297520661157
Problems_in_China,Oversampling,ROS,XGBoost,0.33,0.67,2,10%,0.6011673151750972,0.9671361502347418,0.6627543035993739,0.662754303599374
Problems_in_China,Oversampling,ROS,Random Forest,0.33,0.67,2,10%,0.6045197740112994,0.9727272727272728,0.6672147001934237,0.6676783004552352
Problems_in_China,Oversampling,ROS,Logistic Regression,0.5,0.5,2,10%,0.7376146788990826,0.4941610325752919,0.6591346368288513,0.6590839225330464
Problems_in_China,Oversampling,ROS,Decision Tree,0.5,0.5,2,10%,0.6227087576374746,0.9429452582883577,0.6860334920101265,0.6859344894026975
Problems_in_China,Oversampling,ROS,Naive Bayes,0.5,0.5,2,10%,0.809748427672956,0.5320247933884298,0.703512396694215,0.7035123966942148
Problems_in_China,Oversampling,ROS,XGBoost,0.5,0.5,2,10%,0.8443877551020408,0.5179968701095462,0.7112676056338028,0.7112676056338029
Problems_in_China,Oversampling,ROS,Random Forest,0.5,0.5,2,10%,0.8578199052132701,0.5484848484848485,0.728649719075251,0.7283763277693475
Problems_in_China,Oversampling,ROS,Logistic Regression,0.67,0.33,2,10%,0.9686539643515673,0.5443868739205526,0.7009643866809467,0.5788502920381187
Problems_in_China,Oversampling,ROS,Decision Tree,0.67,0.33,2,10%,0.9529683885890516,0.578110383536015,0.7223155856410929,0.6289017341040463
Problems_in_China,Oversampling,ROS,Naive Bayes,0.67,0.33,2,10%,0.9648760330578512,0.5848465873512837,0.7422758010502732,0.6399793388429752
Problems_in_China,Oversampling,ROS,XGBoost,0.67,0.33,2,10%,0.9640062597809077,0.5963213939980639,0.7512219214888279,0.6557120500782473
Problems_in_China,Oversampling,ROS,Random Forest,0.67,0.33,2,10%,0.9727272727272728,0.5879120879120879,0.7541330351064865,0.644916540212443
Problems_in_China,Oversampling,ROS,Logistic Regression,0.83,0.17,2,10%,0.35709895513214507,0.877643504531722,0.6536417284885818,0.6535505687058101
Problems_in_China,Oversampling,ROS,Decision Tree,0.83,0.17,2,10%,0.9259830377794911,0.6209927611168563,0.6806340458543064,0.6805394990366088
Problems_in_China,Oversampling,ROS,Naive Bayes,0.83,0.17,2,10%,0.9504132231404959,0.6153846153846154,0.678202479338843,0.6782024793388429
Problems_in_China,Oversampling,ROS,XGBoost,0.83,0.17,2,10%,0.9405320813771518,0.6373276776246023,0.702660406885759,0.702660406885759
Problems_in_China,Oversampling,ROS,Random Forest,0.83,0.17,2,10%,0.9424242424242424,0.6346938775510204,0.6991756470479875,0.6995447647951442
Problems_in_China,Oversampling,ROS,Logistic Regression,0.17,0.83,3,15%,0.8397600685518424,0.4018040180401804,0.6625666256662567,0.6625666256662567
Problems_in_China,Oversampling,ROS,Decision Tree,0.17,0.83,3,15%,0.8900747065101388,0.4287917737789203,0.6879313442378672,0.6879979439732716
Problems_in_China,Oversampling,ROS,Naive Bayes,0.17,0.83,3,15%,0.871927554980595,0.4641873278236915,0.6979792600524385,0.6978987254564244
Problems_in_China,Oversampling,ROS,XGBoost,0.17,0.83,3,15%,0.8852459016393442,0.4509394572025052,0.6962421711899791,0.6962421711899791
Problems_in_China,Oversampling,ROS,Random Forest,0.17,0.83,3,15%,0.8973384030418251,0.4777327935222672,0.7115384615384616,0.7115384615384616
Problems_in_China,Oversampling,ROS,Logistic Regression,0.33,0.67,3,15%,0.8002322880371661,0.2824928249282493,0.6059860598605985,0.6059860598605986
Problems_in_China,Oversampling,ROS,Decision Tree,0.33,0.67,3,15%,0.8701298701298701,0.3444730077120823,0.6465427731263393,0.6466204060652788
Problems_in_China,Oversampling,ROS,Naive Bayes,0.33,0.67,3,15%,0.8758064516129033,0.3739669421487603,0.6604500458503967,0.6603513606613848
Problems_in_China,Oversampling,ROS,XGBoost,0.33,0.67,3,15%,0.8942065491183879,0.3705636743215031,0.6633611691022965,0.6633611691022965
Problems_in_China,Oversampling,ROS,Random Forest,0.33,0.67,3,15%,0.8968609865470852,0.4048582995951417,0.6791497975708501,0.6791497975708503
Problems_in_China,Oversampling,ROS,Logistic Regression,0.5,0.5,3,15%,0.8376880443388757,0.43378433784337844,0.6748667486674866,0.6748667486674866
Problems_in_China,Oversampling,ROS,Decision Tree,0.5,0.5,3,15%,0.6286353467561522,0.8668380462724936,0.6775094650684154,0.6774608069904908
Problems_in_China,Oversampling,ROS,Naive Bayes,0.5,0.5,3,15%,0.8651960784313726,0.48622589531680444,0.705208054481283,0.7051326214261109
Problems_in_China,Oversampling,ROS,XGBoost,0.5,0.5,3,15%,0.884393063583815,0.4791231732776618,0.7082463465553236,0.7082463465553236
Problems_in_China,Oversampling,ROS,Random Forest,0.5,0.5,3,15%,0.8947368421052632,0.5161943319838057,0.7277327935222673,0.7277327935222672
Problems_in_China,Oversampling,ROS,Logistic Regression,0.67,0.33,3,15%,0.23657236572365722,0.7369093231162197,0.6411042342076826,0.5760557605576055
Problems_in_China,Oversampling,ROS,Decision Tree,0.67,0.33,3,15%,0.31516709511568125,0.8807471264367817,0.7319228589930388,0.6363402724235415
Problems_in_China,Oversampling,ROS,Naive Bayes,0.67,0.33,3,15%,0.33884297520661155,0.8631578947368421,0.7258352697001828,0.6424388563554944
Problems_in_China,Oversampling,ROS,XGBoost,0.67,0.33,3,15%,0.34342379958246344,0.9373219373219374,0.7677025022072945,0.6602296450939458
Problems_in_China,Oversampling,ROS,Random Forest,0.67,0.33,3,15%,0.35020242914979755,0.9010416666666666,0.7488876675041876,0.6558704453441295
Problems_in_China,Oversampling,ROS,Logistic Regression,0.83,0.17,3,15%,0.3714637146371464,0.8427906976744186,0.6510865108651087,0.6510865108651086
Problems_in_China,Oversampling,ROS,Decision Tree,0.83,0.17,3,15%,0.40102827763496146,0.8914285714285715,0.6761050946242638,0.6761757902852737
Problems_in_China,Oversampling,ROS,Naive Bayes,0.83,0.17,3,15%,0.4428374655647383,0.8856749311294766,0.6928177679305427,0.6927316569066483
Problems_in_China,Oversampling,ROS,XGBoost,0.83,0.17,3,15%,0.42693110647181626,0.8989010989010989,0.6894572025052192,0.6894572025052192
Problems_in_China,Oversampling,ROS,Random Forest,0.83,0.17,3,15%,0.46558704453441296,0.9019607843137255,0.7074898785425101,0.7074898785425101
Problems_in_China,Oversampling,ROS,Logistic Regression,0.17,0.83,4,20%,0.8482367758186398,0.41420664206642066,0.6700492004920049,0.6700492004920049
Problems_in_China,Oversampling,ROS,Decision Tree,0.17,0.83,4,20%,0.8837920489296636,0.4456437933693138,0.6935235158057055,0.6935235158057055
Problems_in_China,Oversampling,ROS,Naive Bayes,0.17,0.83,4,20%,0.8835143139190523,0.46229338842975204,0.7006557381425246,0.7005941617153191
Problems_in_China,Oversampling,ROS,XGBoost,0.17,0.83,4,20%,0.8694362017804155,0.458528951486698,0.6948087200659802,0.6947162426614482
Problems_in_China,Oversampling,ROS,Random Forest,0.17,0.83,4,20%,0.8977272727272727,0.4795144157814871,0.7124015847904396,0.7122247532270312
Problems_in_China,Oversampling,ROS,Logistic Regression,0.33,0.67,4,20%,0.8382352941176471,0.29797047970479706,0.6202337023370234,0.6202337023370234
Problems_in_China,Oversampling,ROS,Decision Tree,0.33,0.67,4,20%,0.852165725047081,0.34888203546646107,0.6441788743253661,0.6441788743253662
Problems_in_China,Oversampling,ROS,Naive Bayes,0.33,0.67,4,20%,0.8862275449101796,0.3822314049586777,0.6665678988617677,0.6664944458796177
Problems_in_China,Oversampling,ROS,XGBoost,0.33,0.67,4,20%,0.8620689655172413,0.39123630672926446,0.6642947391124787,0.6641878669275929
Problems_in_China,Oversampling,ROS,Random Forest,0.33,0.67,4,20%,0.8775510204081632,0.3915022761760243,0.6683955149877082,0.6681852695520122
Problems_in_China,Oversampling,ROS,Logistic Regression,0.5,0.5,4,20%,0.8186843559977889,0.4554120541205412,0.6772755227552276,0.6772755227552275
Problems_in_China,Oversampling,ROS,Decision Tree,0.5,0.5,4,20%,0.8529014844804319,0.48727833461835,0.7016191210485736,0.7016191210485736
Problems_in_China,Oversampling,ROS,Naive Bayes,0.5,0.5,4,20%,0.8691756272401434,0.5010330578512396,0.7127904307344054,0.7127357272022733
