Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Problems_in_China,Undersampling,RUS,Logistic Regression,0.17,0.83,1,5%,0.7772753623188405,0.41232548127191093,0.6470841331811639,0.6470769136144171
Problems_in_China,Undersampling,RUS,Decision Tree,0.17,0.83,1,5%,0.8095934483767183,0.4268969771745836,0.6632479950647748,0.6632479950647748
Problems_in_China,Undersampling,RUS,Naive Bayes,0.17,0.83,1,5%,0.8091993185689949,0.4417234965902046,0.6687794913973034,0.6687677602686645
Problems_in_China,Undersampling,RUS,XGBoost,0.17,0.83,1,5%,0.8190770962296005,0.45576953186159386,0.6775560245406905,0.677573385518591
Problems_in_China,Undersampling,RUS,Random Forest,0.17,0.83,1,5%,0.8357870894677236,0.4486322188449848,0.6802565530566461,0.68029174897432
Problems_in_China,Undersampling,RUS,Logistic Regression,0.33,0.67,1,5%,0.7800623936471923,0.33833569100190664,0.6214682514549452,0.6214595442383983
Problems_in_China,Undersampling,RUS,Decision Tree,0.33,0.67,1,5%,0.8048160081397321,0.3659777914867366,0.6386104256631708,0.6386104256631708
Problems_in_China,Undersampling,RUS,Naive Bayes,0.33,0.67,1,5%,0.8062659846547314,0.3908865468071916,0.6484762381654021,0.6484629294755877
Problems_in_China,Undersampling,RUS,XGBoost,0.33,0.67,1,5%,0.8296509766250401,0.4056677626428683,0.6611933052412838,0.6612133072407045
Problems_in_China,Undersampling,RUS,Random Forest,0.33,0.67,1,5%,0.8365807668133249,0.4045592705167173,0.6627779640338068,0.6628172010332776
Problems_in_China,Undersampling,RUS,Logistic Regression,0.5,0.5,1,5%,0.7290483308420528,0.4499661725813396,0.6413627147812591,0.6413568287357382
Problems_in_China,Undersampling,RUS,Decision Tree,0.5,0.5,1,5%,0.7710812864016207,0.46961752004935226,0.6650987045033929,0.6650987045033929
Problems_in_China,Undersampling,RUS,Naive Bayes,0.5,0.5,1,5%,0.768419317619911,0.48171109733415995,0.6682607362252075,0.6682510979075175
Problems_in_China,Undersampling,RUS,XGBoost,0.5,0.5,1,5%,0.607783168107994,0.9023015500234852,0.6600581012484363,0.6600391389432485
Problems_in_China,Undersampling,RUS,Random Forest,0.5,0.5,1,5%,0.6148439115154021,0.903951367781155,0.6689310166161928,0.6688953046649445
Problems_in_China,Undersampling,RUS,Logistic Regression,0.67,0.33,1,5%,0.2791069561473645,0.7973994025654543,0.6802362702829509,0.6040840175907987
Problems_in_China,Undersampling,RUS,Decision Tree,0.67,0.33,1,5%,0.29156384947563235,0.8691954022988506,0.7217977382104834,0.6238433066008636
Problems_in_China,Undersampling,RUS,Naive Bayes,0.67,0.33,1,5%,0.3097747468485224,0.8442692199380456,0.71079570842511,0.6262981141823818
Problems_in_China,Undersampling,RUS,XGBoost,0.67,0.33,1,5%,0.30624706434945986,0.8728246318607764,0.7260933487764107,0.6308414872798435
Problems_in_China,Undersampling,RUS,Random Forest,0.67,0.33,1,5%,0.3088145896656535,0.8654173764906303,0.7224257217204401,0.6304512991946513
Problems_in_China,Undersampling,RUS,Logistic Regression,0.83,0.17,1,5%,0.3863091211021588,0.7910579345088161,0.6421335247533183,0.6421256573484638
Problems_in_China,Undersampling,RUS,Decision Tree,0.83,0.17,1,5%,0.41702652683528685,0.8154402895054282,0.6613201727328808,0.6613201727328809
Problems_in_China,Undersampling,RUS,Naive Bayes,0.83,0.17,1,5%,0.43645381277123374,0.8127766018857033,0.6679530611856581,0.6679411004908292
Problems_in_China,Undersampling,RUS,XGBoost,0.83,0.17,1,5%,0.44574917801784875,0.8273757628596339,0.6763811638367264,0.676399217221135
Problems_in_China,Undersampling,RUS,Random Forest,0.83,0.17,1,5%,0.4425531914893617,0.8421052631578947,0.6797998409589014,0.679835891201945
Problems_in_China,Undersampling,RUS,Logistic Regression,0.17,0.83,2,10%,0.8805755395683453,0.3761524277811924,0.6625534586630439,0.6624654165385798
Problems_in_China,Undersampling,RUS,Decision Tree,0.17,0.83,2,10%,0.9459016393442623,0.4445300462249615,0.7095433577308308,0.7094412331406551
Problems_in_China,Undersampling,RUS,Naive Bayes,0.17,0.83,2,10%,0.8967495219885278,0.484504132231405,0.7143595041322314,0.7143595041322314
Problems_in_China,Undersampling,RUS,XGBoost,0.17,0.83,2,10%,0.952076677316294,0.46635367762128327,0.7214397496087638,0.7214397496087637
Problems_in_China,Undersampling,RUS,Random Forest,0.17,0.83,2,10%,0.9621621621621622,0.541033434650456,0.7599106567191674,0.7602427921092565
Problems_in_China,Undersampling,RUS,Logistic Regression,0.33,0.67,2,10%,0.9329268292682927,0.28211432083589427,0.6309095589419325,0.6308023363049493
Problems_in_China,Undersampling,RUS,Decision Tree,0.33,0.67,2,10%,0.5756594169366034,0.9583975346687211,0.6256906717291177,0.6258188824662813
Problems_in_China,Undersampling,RUS,Naive Bayes,0.33,0.67,2,10%,0.9293598233995585,0.43491735537190085,0.7009297520661156,0.7009297520661157
Problems_in_China,Undersampling,RUS,XGBoost,0.33,0.67,2,10%,0.9464882943143813,0.4428794992175274,0.7089201877934272,0.7089201877934272
Problems_in_China,Undersampling,RUS,Random Forest,0.33,0.67,2,10%,0.9698795180722891,0.48936170212765956,0.7371050934880722,0.7374810318664643
Problems_in_China,Undersampling,RUS,Logistic Regression,0.5,0.5,2,10%,0.7522123893805309,0.5224339274738783,0.6751161027283291,0.6750691669228405
Problems_in_China,Undersampling,RUS,Decision Tree,0.5,0.5,2,10%,0.8112128146453089,0.5462249614791987,0.7095041538313496,0.7094412331406551
Problems_in_China,Undersampling,RUS,Naive Bayes,0.5,0.5,2,10%,0.8125960061443932,0.5464876033057852,0.7102272727272728,0.7102272727272727
Problems_in_China,Undersampling,RUS,XGBoost,0.5,0.5,2,10%,0.8488664987405542,0.5273865414710485,0.7167449139280124,0.7167449139280125
Problems_in_China,Undersampling,RUS,Random Forest,0.5,0.5,2,10%,0.6452905811623246,0.9787234042553191,0.7211798839458413,0.7207890743550834
Problems_in_China,Undersampling,RUS,Logistic Regression,0.67,0.33,2,10%,0.21819299323909036,0.8533653846153846,0.7025022199777663,0.590224408238549
Problems_in_China,Undersampling,RUS,Decision Tree,0.67,0.33,2,10%,0.9560862865947611,0.5766728624535316,0.7240023454479847,0.6269749518304432
Problems_in_China,Undersampling,RUS,Naive Bayes,0.67,0.33,2,10%,0.3440082644628099,0.888,0.7406047405509288,0.6503099173553719
Problems_in_China,Undersampling,RUS,XGBoost,0.67,0.33,2,10%,0.3599374021909233,0.9426229508196722,0.7735358467831437,0.6690140845070423
Problems_in_China,Undersampling,RUS,Random Forest,0.67,0.33,2,10%,0.364741641337386,0.967741935483871,0.7885438649381971,0.6767830045523521
Problems_in_China,Undersampling,RUS,Logistic Regression,0.83,0.17,2,10%,0.35894283958205286,0.9026275115919629,0.6600987260640891,0.6600061481709192
Problems_in_China,Undersampling,RUS,Decision Tree,0.83,0.17,2,10%,0.9545454545454546,0.6327885597548519,0.7000946239573842,0.7001926782273603
Problems_in_China,Undersampling,RUS,Naive Bayes,0.83,0.17,2,10%,0.4865702479338843,0.919921875,0.7221074380165288,0.7221074380165289
Problems_in_China,Undersampling,RUS,XGBoost,0.83,0.17,2,10%,0.49139280125195617,0.9602446483180428,0.7355242566510173,0.7355242566510172
Problems_in_China,Undersampling,RUS,Random Forest,0.83,0.17,2,10%,0.5319148936170213,0.9722222222222222,0.7583816892327531,0.7587253414264037
Problems_in_China,Undersampling,RUS,Logistic Regression,0.17,0.83,3,15%,0.8758561643835616,0.4194341943419434,0.6799917999179991,0.6799917999179992
Problems_in_China,Undersampling,RUS,Decision Tree,0.17,0.83,3,15%,0.91796875,0.4832904884318766,0.7200625104029886,0.7201233616037008
Problems_in_China,Undersampling,RUS,Naive Bayes,0.17,0.83,3,15%,0.9213483146067416,0.5086147484493453,0.7326131593486396,0.7326903203582501
Problems_in_China,Undersampling,RUS,XGBoost,0.17,0.83,3,15%,0.905693950177936,0.5313152400835073,0.7379958246346555,0.7379958246346555
Problems_in_China,Undersampling,RUS,Random Forest,0.17,0.83,3,15%,0.9468085106382979,0.5404858299595142,0.7550607287449393,0.7550607287449392
Problems_in_China,Undersampling,RUS,Logistic Regression,0.33,0.67,3,15%,0.8739224137931034,0.3325133251332513,0.642271422714227,0.6422714227142271
Problems_in_China,Undersampling,RUS,Decision Tree,0.33,0.67,3,15%,0.9022727272727272,0.40822622107969153,0.682016502112302,0.6820868671292727
Problems_in_China,Undersampling,RUS,Naive Bayes,0.33,0.67,3,15%,0.9226441631504922,0.45210199862164024,0.7071116053714263,0.7071994488460214
Problems_in_China,Undersampling,RUS,XGBoost,0.33,0.67,3,15%,0.8975332068311196,0.49373695198329853,0.7186847599164927,0.7186847599164927
Problems_in_China,Undersampling,RUS,Random Forest,0.33,0.67,3,15%,0.939622641509434,0.5040485829959515,0.7358299595141701,0.7358299595141701
Problems_in_China,Undersampling,RUS,Logistic Regression,0.5,0.5,3,15%,0.836113125453227,0.47273472734727345,0.6900369003690037,0.6900369003690037
Problems_in_China,Undersampling,RUS,Decision Tree,0.5,0.5,3,15%,0.6390296886314265,0.9074550128534704,0.6975610110516067,0.6975070675918787
