Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Problems_in_China,Undersampling,Tomeklinks,Logistic Regression,0.17,0.83,1,5%,0.8130293746621012,0.455592022216612,0.6754089273647124,0.6754061525644101
Problems_in_China,Undersampling,Tomeklinks,Decision Tree,0.17,0.83,1,5%,0.8405264601041952,0.485123757675508,0.6965390256740785,0.6965356798075554
Problems_in_China,Undersampling,Tomeklinks,Naive Bayes,0.17,0.83,1,5%,0.8430145751866335,0.5029053738813251,0.7046273911014973,0.7046273911014972
Problems_in_China,Undersampling,Tomeklinks,XGBoost,0.17,0.83,1,5%,0.849132035770647,0.5186684660368871,0.713257502731187,0.7132575027311869
Problems_in_China,Undersampling,Tomeklinks,Random Forest,0.17,0.83,1,5%,0.8554166666666667,0.51216165647998,0.7127924050862974,0.7127798914738352
Problems_in_China,Undersampling,Tomeklinks,Logistic Regression,0.33,0.67,1,5%,0.8162644692956641,0.42014642766978033,0.6627859811352512,0.6627829182393112
Problems_in_China,Undersampling,Tomeklinks,Decision Tree,0.33,0.67,1,5%,0.8413340935005701,0.4670823574096347,0.689496611870392,0.6894930919334673
Problems_in_China,Undersampling,Tomeklinks,Naive Bayes,0.33,0.67,1,5%,0.8572872302028441,0.5037112440089918,0.7099291682571998,0.7099291682571998
Problems_in_China,Undersampling,Tomeklinks,XGBoost,0.33,0.67,1,5%,0.8618386173258403,0.5223314696998907,0.7192982456140351,0.7192982456140351
Problems_in_China,Undersampling,Tomeklinks,Random Forest,0.33,0.67,1,5%,0.8716479017400205,0.5311213670949233,0.7264514021103359,0.7264392191105844
Problems_in_China,Undersampling,Tomeklinks,Logistic Regression,0.5,0.5,1,5%,0.7637548073149675,0.49134057056298913,0.669677455369101,0.6696752041808152
Problems_in_China,Undersampling,Tomeklinks,Decision Tree,0.5,0.5,1,5%,0.7953362788414334,0.5127872380831804,0.6904138133884392,0.6904110022631238
Problems_in_China,Undersampling,Tomeklinks,Naive Bayes,0.5,0.5,1,5%,0.8103867113124549,0.5235186834626967,0.7005132120286721,0.700513212028672
Problems_in_China,Undersampling,Tomeklinks,XGBoost,0.5,0.5,1,5%,0.8092603377984857,0.5357624831309041,0.7047426257952574,0.7047426257952574
Problems_in_China,Undersampling,Tomeklinks,Random Forest,0.5,0.5,1,5%,0.821510736196319,0.5344892104278408,0.7091732479284912,0.7091623526476641
Problems_in_China,Undersampling,Tomeklinks,Logistic Regression,0.67,0.33,1,5%,0.3120424135319364,0.8534143478561071,0.7162369564292893,0.6292177381688736
Problems_in_China,Undersampling,Tomeklinks,Decision Tree,0.67,0.33,1,5%,0.32221307843261376,0.8819961878357304,0.7336788955443538,0.6395461091680251
Problems_in_China,Undersampling,Tomeklinks,Naive Bayes,0.67,0.33,1,5%,0.32921915426050813,0.8906483075157774,0.7396086044459919,0.6443992026127158
Problems_in_China,Undersampling,Tomeklinks,XGBoost,0.67,0.33,1,5%,0.33487565066512437,0.9040596807772381,0.7479522317444041,0.6496690444058865
Problems_in_China,Undersampling,Tomeklinks,Random Forest,0.67,0.33,1,5%,0.3296744418111513,0.9008179959100204,0.7452788353471775,0.6466662508576062
Problems_in_China,Undersampling,Tomeklinks,Logistic Regression,0.83,0.17,1,5%,0.45352183791971723,0.8213240673006583,0.6774286964851685,0.6774258700564258
Problems_in_China,Undersampling,Tomeklinks,Decision Tree,0.83,0.17,1,5%,0.49148572513768435,0.8520164609053498,0.703059356728941,0.7030560083561492
