Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Risk_Factors,Undersampling,NearMiss,Logistic Regression,0.17,0.83,1,5%,0.6296210568084122,0.9578449620202223,0.6972071892596081,0.697200633818758
Risk_Factors,Undersampling,NearMiss,Decision Tree,0.17,0.83,1,5%,0.6397347636947248,0.9552248218452418,0.7086290607712586,0.708636836628512
Risk_Factors,Undersampling,NearMiss,Naive Bayes,0.17,0.83,1,5%,0.6454826520096187,0.952759232654441,0.714738443336432,0.714738443336432
Risk_Factors,Undersampling,NearMiss,XGBoost,0.17,0.83,1,5%,0.6475516020381725,0.9600512163892445,0.7187580025608195,0.7187580025608195
Risk_Factors,Undersampling,NearMiss,Random Forest,0.17,0.83,1,5%,0.65,0.9530318091451292,0.7198666378561838,0.7198956132720269
Risk_Factors,Undersampling,NearMiss,Logistic Regression,0.33,0.67,1,5%,0.6126423872934381,0.9604607877659842,0.6766086635006983,0.6766015241832039
Risk_Factors,Undersampling,NearMiss,Decision Tree,0.33,0.67,1,5%,0.6283736163508976,0.9558554581572807,0.6952587078879239,0.6952669252357078
Risk_Factors,Undersampling,NearMiss,Naive Bayes,0.33,0.67,1,5%,0.6358839050131926,0.9572382320628751,0.7045550578889546,0.7045550578889547
Risk_Factors,Undersampling,NearMiss,XGBoost,0.33,0.67,1,5%,0.6410103759142711,0.965044814340589,0.7122919334186939,0.712291933418694
Risk_Factors,Undersampling,NearMiss,Random Forest,0.33,0.67,1,5%,0.6459616985845129,0.9639662027833003,0.7177524277650034,0.7177830247297129
Risk_Factors,Undersampling,NearMiss,Logistic Regression,0.5,0.5,1,5%,0.6508250138657793,0.9444640072438252,0.7188869331993774,0.7188812595890238
Risk_Factors,Undersampling,NearMiss,Decision Tree,0.5,0.5,1,5%,0.4930282445477297,0.08696474743015703,0.49876743930539125,0.4987544540093968
Risk_Factors,Undersampling,NearMiss,Naive Bayes,0.5,0.5,1,5%,0.5004562043795621,0.09270683681230457,0.5000845094228006,0.5000845094228007
Risk_Factors,Undersampling,NearMiss,XGBoost,0.5,0.5,1,5%,0.5310344827586206,0.09859154929577464,0.5057618437900129,0.5057618437900128
Risk_Factors,Undersampling,NearMiss,Random Forest,0.5,0.5,1,5%,0.5241286863270778,0.09716699801192843,0.5044621964954,0.5044115819560084
Risk_Factors,Undersampling,NearMiss,Logistic Regression,0.67,0.33,1,5%,0.9851099149856632,0.5980089779216416,0.7778978146881453,0.6614602982972408
Risk_Factors,Undersampling,NearMiss,Decision Tree,0.67,0.33,1,5%,0.9853692375606987,0.6094469147359388,0.7856288071622081,0.6769463626903793
Risk_Factors,Undersampling,NearMiss,Naive Bayes,0.67,0.33,1,5%,0.9902814163779261,0.6148276404848103,0.7949328130793923,0.6849488717992056
Risk_Factors,Undersampling,NearMiss,XGBoost,0.67,0.33,1,5%,0.9878361075544174,0.6136164797582121,0.7912191358423486,0.6829065300896286
Risk_Factors,Undersampling,NearMiss,Random Forest,0.67,0.33,1,5%,0.9878230616302187,0.6139944392956441,0.7914218858906702,0.6833602584814217
Risk_Factors,Undersampling,NearMiss,Logistic Regression,0.83,0.17,1,5%,0.9655918305749787,0.6250814120098998,0.6932335410420165,0.6932266908121432
Risk_Factors,Undersampling,NearMiss,Decision Tree,0.83,0.17,1,5%,0.963864539320174,0.63837607551583,0.7089125925662423,0.7089206319175102
Risk_Factors,Undersampling,NearMiss,Naive Bayes,0.83,0.17,1,5%,0.9623933068537142,0.6460910019289686,0.7176117637116539,0.7176117637116538
Risk_Factors,Undersampling,NearMiss,XGBoost,0.83,0.17,1,5%,0.9681177976952625,0.6481227498714213,0.7212548015364917,0.7212548015364917
Risk_Factors,Undersampling,NearMiss,Random Forest,0.83,0.17,1,5%,0.9691848906560636,0.6532663316582915,0.7273217518157276,0.7273518081272524
Risk_Factors,Undersampling,NearMiss,Logistic Regression,0.17,0.83,2,10%,0.5998013902681232,0.9335394126738794,0.6553323029366306,0.6553323029366306
Risk_Factors,Undersampling,NearMiss,Decision Tree,0.17,0.83,2,10%,0.6159606332905434,0.9296092993219245,0.6749144687824093,0.6749555950266429
Risk_Factors,Undersampling,NearMiss,Naive Bayes,0.17,0.83,2,10%,0.6188559931014659,0.932034632034632,0.6791285232868962,0.6790737935511794
Risk_Factors,Undersampling,NearMiss,XGBoost,0.17,0.83,2,10%,0.6216919739696313,0.939672131147541,0.6839344262295083,0.6839344262295082
Risk_Factors,Undersampling,NearMiss,Random Forest,0.17,0.83,2,10%,0.6269296740994854,0.9300254452926209,0.688295165394402,0.688295165394402
Risk_Factors,Undersampling,NearMiss,Logistic Regression,0.33,0.67,2,10%,0.5699024616813748,0.9482225656877898,0.616306027820711,0.616306027820711
Risk_Factors,Undersampling,NearMiss,Decision Tree,0.33,0.67,2,10%,0.5838496901858885,0.9431708104617371,0.6353450951533492,0.6353948005813015
Risk_Factors,Undersampling,NearMiss,Naive Bayes,0.33,0.67,2,10%,0.5909090909090909,0.9341991341991343,0.6438628730277367,0.6438000432806752
Risk_Factors,Undersampling,NearMiss,XGBoost,0.33,0.67,2,10%,0.5938538205980066,0.9377049180327869,0.6481967213114754,0.6481967213114754
Risk_Factors,Undersampling,NearMiss,Random Forest,0.33,0.67,2,10%,0.5985518905872889,0.9465648854961832,0.655852417302799,0.655852417302799
Risk_Factors,Undersampling,NearMiss,Logistic Regression,0.5,0.5,2,10%,0.725557461406518,0.43585780525502316,0.6354971664090674,0.6354971664090675
Risk_Factors,Undersampling,NearMiss,Decision Tree,0.5,0.5,2,10%,0.7509620670698186,0.44107200516628997,0.6473770878544628,0.6473437752300985
Risk_Factors,Undersampling,NearMiss,Naive Bayes,0.5,0.5,2,10%,0.6243845931074428,0.9333333333333333,0.6860522140487524,0.6859987015797446
Risk_Factors,Undersampling,NearMiss,XGBoost,0.5,0.5,2,10%,0.7910614525139665,0.4642622950819672,0.6708196721311476,0.6708196721311476
Risk_Factors,Undersampling,NearMiss,Random Forest,0.5,0.5,2,10%,0.7917570498915402,0.4643765903307888,0.6711195928753181,0.6711195928753181
Risk_Factors,Undersampling,NearMiss,Logistic Regression,0.67,0.33,2,10%,0.9332818134981968,0.5520341307328965,0.6681902543756073,0.5879701184956209
Risk_Factors,Undersampling,NearMiss,Decision Tree,0.67,0.33,2,10%,0.9583467872134324,0.5767586474931986,0.7267747392193787,0.6274826416922331
Risk_Factors,Undersampling,NearMiss,Naive Bayes,0.67,0.33,2,10%,0.9575757575757575,0.5813403416557161,0.7306211512200149,0.6340618913655053
Risk_Factors,Undersampling,NearMiss,XGBoost,0.67,0.33,2,10%,0.9750819672131148,0.5858944050433412,0.7558378275216706,0.6429508196721312
Risk_Factors,Undersampling,NearMiss,Random Forest,0.67,0.33,2,10%,0.9732824427480916,0.5921052631578947,0.7585526315789474,0.6513994910941476
Risk_Factors,Undersampling,NearMiss,Logistic Regression,0.83,0.17,2,10%,0.9407521895929933,0.593435164120897,0.6481195260175168,0.6481195260175168
Risk_Factors,Undersampling,NearMiss,Decision Tree,0.83,0.17,2,10%,0.9367129480142073,0.6107368421052631,0.6697453628959926,0.6697884708541902
Risk_Factors,Undersampling,NearMiss,Naive Bayes,0.83,0.17,2,10%,0.9341991341991343,0.6155162578436966,0.6754509301458674,0.6753949361610041
Risk_Factors,Undersampling,NearMiss,XGBoost,0.83,0.17,2,10%,0.9455737704918032,0.6172945205479452,0.679672131147541,0.679672131147541
Risk_Factors,Undersampling,NearMiss,Random Forest,0.83,0.17,2,10%,0.9440203562340967,0.624053826745164,0.6876590330788804,0.6876590330788804
Risk_Factors,Undersampling,NearMiss,Logistic Regression,0.17,0.83,3,15%,0.6100464905318064,0.9239223767817276,0.6666666666666667,0.6666666666666666
Risk_Factors,Undersampling,NearMiss,Decision Tree,0.17,0.83,3,15%,0.6290369935408103,0.922497308934338,0.6891771643724232,0.6892022822693509
Risk_Factors,Undersampling,NearMiss,Naive Bayes,0.17,0.83,3,15%,0.6368,0.9186381996537796,0.6973456433929601,0.6973456433929602
Risk_Factors,Undersampling,NearMiss,XGBoost,0.17,0.83,3,15%,0.6399152029073288,0.923513986013986,0.7019230769230769,0.7019230769230769
