Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Risk_Factors,Oversampling,ROS,Logistic Regression,0.17,0.83,1,5%,0.8265707836858958,0.4056518715062212,0.6602694556789201,0.6602694556789201
Risk_Factors,Oversampling,ROS,Decision Tree,0.17,0.83,1,5%,0.6459380234505863,0.8967154345509156,0.7025966476116654,0.7025966476116655
Risk_Factors,Oversampling,ROS,Naive Bayes,0.17,0.83,1,5%,0.6513186882356644,0.895654808274907,0.7080948555591005,0.7080907969618938
Risk_Factors,Oversampling,ROS,XGBoost,0.17,0.83,1,5%,0.6538699102009787,0.9023670578978428,0.712331069932528,0.7123373004163798
Risk_Factors,Oversampling,ROS,Random Forest,0.17,0.83,1,5%,0.657391143570306,0.9050528191421662,0.7166557374733233,0.7166677273595112
Risk_Factors,Oversampling,ROS,Logistic Regression,0.33,0.67,1,5%,0.6062046666084069,0.8934799969087303,0.656534171410907,0.656534171410907
Risk_Factors,Oversampling,ROS,Decision Tree,0.33,0.67,1,5%,0.6299382435746073,0.8960695023092078,0.6848335109646998,0.6848335109646998
Risk_Factors,Oversampling,ROS,Naive Bayes,0.33,0.67,1,5%,0.644326208033853,0.8962174327014628,0.7007594282562145,0.7007551987535975
Risk_Factors,Oversampling,ROS,XGBoost,0.33,0.67,1,5%,0.6514347949616441,0.902039210543571,0.7096753429767034,0.7096816497819743
Risk_Factors,Oversampling,ROS,Random Forest,0.33,0.67,1,5%,0.6581236121391562,0.905307369224895,0.7174831143476817,0.7174950677782728
Risk_Factors,Oversampling,ROS,Logistic Regression,0.5,0.5,1,5%,0.8292351156220571,0.4083052113655684,0.6621113372317681,0.662111337231768
Risk_Factors,Oversampling,ROS,Decision Tree,0.5,0.5,1,5%,0.8552452536771853,0.4262829829150922,0.6770661757581629,0.677066175758163
Risk_Factors,Oversampling,ROS,Naive Bayes,0.5,0.5,1,5%,0.6510842108716334,0.8589543841426469,0.6993304832817792,0.6993270291909203
Risk_Factors,Oversampling,ROS,XGBoost,0.5,0.5,1,5%,0.8796802131912058,0.43288964658055207,0.6868382659132268,0.6868299400019672
Risk_Factors,Oversampling,ROS,Random Forest,0.5,0.5,1,5%,0.8743693239152371,0.44113529336897034,0.6888721273362163,0.6888563609749888
Risk_Factors,Oversampling,ROS,Logistic Regression,0.67,0.33,1,5%,0.29307813184265435,0.8947699567440032,0.7360423109043861,0.6293052371261496
Risk_Factors,Oversampling,ROS,Decision Tree,0.67,0.33,1,5%,0.30775441656170266,0.9057984790874525,0.7444216299261719,0.6378742369925395
Risk_Factors,Oversampling,ROS,Naive Bayes,0.67,0.33,1,5%,0.3035575175279148,0.9201101928374655,0.751555485120469,0.6386081838443728
Risk_Factors,Oversampling,ROS,XGBoost,0.67,0.33,1,5%,0.31106156973313226,0.9256585365853659,0.7558029442069327,0.6430280974394282
Risk_Factors,Oversampling,ROS,Random Forest,0.67,0.33,1,5%,0.3162784777905053,0.9473884864658788,0.7684994380381341,0.6493349455864571
Risk_Factors,Oversampling,ROS,Logistic Regression,0.83,0.17,1,5%,0.9011566500940261,0.6276937431591035,0.6833251758159664,0.6833251758159664
Risk_Factors,Oversampling,ROS,Decision Tree,0.83,0.17,1,5%,0.9081484352291445,0.6455530556958538,0.7047605206213869,0.7047605206213868
Risk_Factors,Oversampling,ROS,Naive Bayes,0.83,0.17,1,5%,0.9072535272223665,0.6552575643910977,0.7149761382595582,0.7149719775820657
Risk_Factors,Oversampling,ROS,XGBoost,0.83,0.17,1,5%,0.9194806897908334,0.6600301233173304,0.7229206727642692,0.7229271171437002
Risk_Factors,Oversampling,ROS,Random Forest,0.83,0.17,1,5%,0.920071274023164,0.6661444894950239,0.7294475514718671,0.729459683064978
Risk_Factors,Oversampling,ROS,Logistic Regression,0.17,0.83,2,10%,0.597636091226902,0.9247810407006698,0.6510819165378672,0.6510819165378671
