Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Risk_Factors,Undersampling,RUS,Logistic Regression,0.17,0.83,1,5%,0.800369875680674,0.391851106639839,0.647054885781311,0.6470484670137578
Risk_Factors,Undersampling,RUS,Decision Tree,0.17,0.83,1,5%,0.8216482164821648,0.42126505644194995,0.6649085120756673,0.6649008293129001
Risk_Factors,Undersampling,RUS,Naive Bayes,0.17,0.83,1,5%,0.8327413626089765,0.4358996028057128,0.6741739203921238,0.6741739203921238
Risk_Factors,Undersampling,RUS,XGBoost,0.17,0.83,1,5%,0.8427904691721936,0.43930857874519846,0.6786811779769526,0.6786811779769526
Risk_Factors,Undersampling,RUS,Random Forest,0.17,0.83,1,5%,0.6428318584070797,0.9025844930417495,0.7004843916861743,0.7005095066484404
Risk_Factors,Undersampling,RUS,Logistic Regression,0.33,0.67,1,5%,0.5775876094100804,0.8929074446680081,0.6199282431851535,0.6199351090319173
Risk_Factors,Undersampling,RUS,Decision Tree,0.33,0.67,1,5%,0.5938979925401282,0.8936747177902503,0.6412747958275167,0.6412827547062718
Risk_Factors,Undersampling,RUS,Naive Bayes,0.33,0.67,1,5%,0.6061760691537762,0.900785937632046,0.6577790923687992,0.6577790923687992
Risk_Factors,Undersampling,RUS,XGBoost,0.33,0.67,1,5%,0.6152909454640341,0.9057618437900128,0.6697183098591549,0.6697183098591549
Risk_Factors,Undersampling,RUS,Random Forest,0.33,0.67,1,5%,0.6219802653963933,0.9085487077534792,0.6781122857683627,0.6781409220827638
Risk_Factors,Undersampling,RUS,Logistic Regression,0.5,0.5,1,5%,0.7981778570013864,0.40543259557344064,0.6514561740380408,0.6514499861666541
Risk_Factors,Undersampling,RUS,Decision Tree,0.5,0.5,1,5%,0.8318396813542445,0.4214542473355616,0.6681249541420491,0.6681171759215464
Risk_Factors,Undersampling,RUS,Naive Bayes,0.5,0.5,1,5%,0.8388717782460691,0.43733626299332373,0.6766669483647426,0.6766669483647426
Risk_Factors,Undersampling,RUS,XGBoost,0.5,0.5,1,5%,0.8453939244257841,0.4382842509603073,0.6790653008962868,0.6790653008962868
Risk_Factors,Undersampling,RUS,Random Forest,0.5,0.5,1,5%,0.8426812585499316,0.4592445328031809,0.686743817482873,0.6867155461662732
Risk_Factors,Undersampling,RUS,Logistic Regression,0.67,0.33,1,5%,0.3004527162977867,0.8552405498281787,0.7154616174007408,0.6247893558691114
Risk_Factors,Undersampling,RUS,Decision Tree,0.67,0.33,1,5%,0.3058586113388409,0.8931860036832413,0.737199097036233,0.6346293318197584
Risk_Factors,Undersampling,RUS,Naive Bayes,0.67,0.33,1,5%,0.3153046564691963,0.8992528320077127,0.7420637783033901,0.639989858869264
Risk_Factors,Undersampling,RUS,XGBoost,0.67,0.33,1,5%,0.31049935979513443,0.8984809188588366,0.7408587552269572,0.637708066581306
Risk_Factors,Undersampling,RUS,Random Forest,0.67,0.33,1,5%,0.327286282306163,0.8971389645776566,0.7428391281316615,0.6448365850627563
Risk_Factors,Undersampling,RUS,Logistic Regression,0.83,0.17,1,5%,0.893963782696177,0.6068428600696578,0.6573797986874919,0.6573857491385598
Risk_Factors,Undersampling,RUS,Decision Tree,0.83,0.17,1,5%,0.9001072081730466,0.6236836355691501,0.6784844819876333,0.6784914703749251
Risk_Factors,Undersampling,RUS,Naive Bayes,0.83,0.17,1,5%,0.909743936448914,0.633869163280928,0.6921321727372602,0.6921321727372602
Risk_Factors,Undersampling,RUS,XGBoost,0.83,0.17,1,5%,0.9131882202304737,0.637240886347391,0.6966709346991037,0.6966709346991037
Risk_Factors,Undersampling,RUS,Random Forest,0.83,0.17,1,5%,0.9222166998011928,0.6401587027772986,0.701849090641337,0.7018764757052318
Risk_Factors,Undersampling,RUS,Logistic Regression,0.17,0.83,2,10%,0.601065601065601,0.9299330242143226,0.6563626996393612,0.6563626996393611
Risk_Factors,Undersampling,RUS,Decision Tree,0.17,0.83,2,10%,0.6238729068269644,0.9383274136260897,0.6862179703789364,0.6862586791538834
Risk_Factors,Undersampling,RUS,Naive Bayes,0.17,0.83,2,10%,0.8647912885662432,0.4123755949805279,0.6739367152391816,0.6738801125297554
Risk_Factors,Undersampling,RUS,XGBoost,0.17,0.83,2,10%,0.6345733041575492,0.9508196721311475,0.701639344262295,0.7016393442622951
Risk_Factors,Undersampling,RUS,Random Forest,0.17,0.83,2,10%,0.649272882805817,0.9656488549618321,0.7220101781170483,0.7220101781170484
Risk_Factors,Undersampling,RUS,Logistic Regression,0.33,0.67,2,10%,0.5599507464983838,0.9371458011334364,0.6003348789283874,0.6003348789283874
Risk_Factors,Undersampling,RUS,Decision Tree,0.33,0.67,2,10%,0.5839664134346262,0.9431708104617371,0.6355065938613595,0.6355562732116906
Risk_Factors,Undersampling,RUS,Naive Bayes,0.33,0.67,2,10%,0.5944131077088369,0.9575941151016876,0.651957230711017,0.6520233715645964
Risk_Factors,Undersampling,RUS,XGBoost,0.33,0.67,2,10%,0.6037190082644628,0.9580327868852458,0.6645901639344263,0.6645901639344263
Risk_Factors,Undersampling,RUS,Random Forest,0.33,0.67,2,10%,0.6279640228945217,0.9770992366412213,0.6991094147582697,0.6991094147582697
Risk_Factors,Undersampling,RUS,Logistic Regression,0.5,0.5,2,10%,0.7175324675324676,0.45543534260690366,0.6380731581658939,0.6380731581658938
Risk_Factors,Undersampling,RUS,Decision Tree,0.5,0.5,2,10%,0.7665964172813488,0.46980949305779784,0.6633608188803202,0.6633295656386242
Risk_Factors,Undersampling,RUS,Naive Bayes,0.5,0.5,2,10%,0.7864768683274022,0.4781479878840329,0.6741389290069515,0.6740965159056481
Risk_Factors,Undersampling,RUS,XGBoost,0.5,0.5,2,10%,0.8222222222222222,0.4852459016393443,0.6901639344262295,0.6901639344262295
Risk_Factors,Undersampling,RUS,Random Forest,0.5,0.5,2,10%,0.7991967871485943,0.5063613231552163,0.6895674300254454,0.6895674300254453
Risk_Factors,Undersampling,RUS,Logistic Regression,0.67,0.33,2,10%,0.9402369912416281,0.5498644169930702,0.6719126703082581,0.5852653271509531
Risk_Factors,Undersampling,RUS,Decision Tree,0.67,0.33,2,10%,0.9664191152728447,0.5755769230769231,0.7354218955767295,0.6268367511706766
Risk_Factors,Undersampling,RUS,Naive Bayes,0.67,0.33,2,10%,0.9731717871051493,0.5879738562091503,0.7550422044864847,0.6455312702878165
