Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Risk_Factors,Oversampling,SMOTE,Logistic Regression,0.17,0.83,1,5%,0.8341635866945203,0.40116953038460545,0.6607073855586182,0.6607073855586182
Risk_Factors,Oversampling,SMOTE,Decision Tree,0.17,0.83,1,5%,0.8474161786472746,0.425281787940445,0.6743532603429899,0.67435326034299
Risk_Factors,Oversampling,SMOTE,Naive Bayes,0.17,0.83,1,5%,0.8642209753992232,0.4333073660521077,0.6826163783131962,0.682621773094151
Risk_Factors,Oversampling,SMOTE,XGBoost,0.17,0.83,1,5%,0.8735403397027601,0.43164382663431905,0.6845760116778152,0.6845677190911773
Risk_Factors,Oversampling,SMOTE,Random Forest,0.17,0.83,1,5%,0.8765767994063814,0.45106274659539264,0.6937722083282463,0.6937567619168841
Risk_Factors,Oversampling,SMOTE,Logistic Regression,0.33,0.67,1,5%,0.5993098688750863,0.8948195471289833,0.6482779051495402,0.6482779051495402
Risk_Factors,Oversampling,SMOTE,Decision Tree,0.33,0.67,1,5%,0.6179167594035165,0.8966508413267448,0.6711074508284081,0.6711074508284081
Risk_Factors,Oversampling,SMOTE,Naive Bayes,0.33,0.67,1,5%,0.6297658862876254,0.8964338267116766,0.6847253307185421,0.6847207495726311
Risk_Factors,Oversampling,SMOTE,XGBoost,0.33,0.67,1,5%,0.6354858177429089,0.8975804865254737,0.6913476203119172,0.6913543818235468
Risk_Factors,Oversampling,SMOTE,Random Forest,0.33,0.67,1,5%,0.6423035328046143,0.9070892198039965,0.7009351394335664,0.7009482594030421
Risk_Factors,Oversampling,SMOTE,Logistic Regression,0.5,0.5,1,5%,0.8029289724188431,0.4237100388984775,0.6598572863803808,0.6598572863803808
Risk_Factors,Oversampling,SMOTE,Decision Tree,0.5,0.5,1,5%,0.8324032624026492,0.4383942124471143,0.6750637858088686,0.6750637858088686
Risk_Factors,Oversampling,SMOTE,Naive Bayes,0.5,0.5,1,5%,0.6466801840944932,0.8696009694451657,0.6972534210622202,0.697249691645208
Risk_Factors,Oversampling,SMOTE,XGBoost,0.5,0.5,1,5%,0.8706782792293482,0.43262736869713464,0.6841825368075837,0.6841742893675617
Risk_Factors,Oversampling,SMOTE,Random Forest,0.5,0.5,1,5%,0.8699950568462679,0.44800814560264735,0.6905264760599795,0.6905110418125119
Risk_Factors,Oversampling,SMOTE,Logistic Regression,0.67,0.33,1,5%,0.3084314382132461,0.8705103969754253,0.7251399896717338,0.631275921584791
