Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Testing,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,1,5%,0.7885057471264367,0.3475177304964539,0.6271529888551165,0.6271529888551165
Testing,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,1,5%,0.616580310880829,0.9072426937738246,0.6718954585620392,0.6717460317460318
Testing,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,1,5%,0.6139747995418099,0.9115646258503401,0.668729502022274,0.668936170212766
Testing,Imbalanced,Imbalanced,XGBoost,0.17,0.83,1,5%,0.6179577464788732,0.904639175257732,0.672680412371134,0.6726804123711341
Testing,Imbalanced,Imbalanced,Random Forest,0.17,0.83,1,5%,0.6464646464646465,0.96,0.7175,0.7175
Testing,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,1,5%,0.5481347773766546,0.922998986828774,0.5810536980749746,0.5810536980749746
Testing,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,1,5%,0.5831932773109244,0.8818297331639136,0.6261940543992157,0.626031746031746
Testing,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,1,5%,0.5912162162162162,0.8928571428571429,0.6372292528595765,0.6374468085106383
Testing,Imbalanced,Imbalanced,XGBoost,0.33,0.67,1,5%,0.5945485519591142,0.8994845360824743,0.643041237113402,0.6430412371134021
Testing,Imbalanced,Imbalanced,Random Forest,0.33,0.67,1,5%,0.6146179401993356,0.925,0.6725000000000001,0.6725
Testing,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,1,5%,0.7990762124711316,0.3505572441742654,0.6312056737588653,0.6312056737588653
Testing,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,1,5%,0.6201754385964913,0.8983481575603558,0.6744278858867769,0.6742857142857143
Testing,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,1,5%,0.7675070028011205,0.46598639455782315,0.662294730498673,0.6621276595744681
Testing,Imbalanced,Imbalanced,XGBoost,0.5,0.5,1,5%,0.7731481481481481,0.43041237113402064,0.6520618556701031,0.6520618556701031
Testing,Imbalanced,Imbalanced,Random Forest,0.5,0.5,1,5%,0.8095238095238095,0.51,0.695,0.695
Testing,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,1,5%,0.160081053698075,0.6147859922178989,0.5659835610477962,0.5298885511651469
Testing,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,1,5%,0.20584498094027953,0.7605633802816901,0.6508396930777025,0.5707936507936507
Testing,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,1,5%,0.9166666666666666,0.573404255319149,0.6824468085106383,0.6170212765957447
Testing,Imbalanced,Imbalanced,XGBoost,0.67,0.33,1,5%,0.9355670103092784,0.5789473684210527,0.705581066760862,0.6275773195876289
Testing,Imbalanced,Imbalanced,Random Forest,0.67,0.33,1,5%,0.945,0.5981012658227848,0.733574442435202,0.655
Testing,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,1,5%,0.9564336372847011,0.5845201238390093,0.6382978723404256,0.6382978723404256
Testing,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,1,5%,0.9212198221092758,0.6097560975609756,0.6661936673998156,0.6660317460317461
Testing,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,1,5%,0.9081632653061225,0.6144994246260069,0.6687323992629419,0.668936170212766
Testing,Imbalanced,Imbalanced,XGBoost,0.83,0.17,1,5%,0.904639175257732,0.609375,0.6623711340206184,0.6623711340206185
Testing,Imbalanced,Imbalanced,Random Forest,0.83,0.17,1,5%,0.945,0.6363636363636364,0.7024999999999999,0.7025
Testing,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,2,10%,0.5989178221170105,0.8971631205673759,0.6481762917933132,0.648176291793313
Testing,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,2,10%,0.6202643171806167,0.8945362134688691,0.6736173130836409,0.6735471578278819
Testing,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,2,10%,0.6272294887039239,0.8978723404255319,0.6821276595744681,0.6821276595744681
Testing,Imbalanced,Imbalanced,XGBoost,0.17,0.83,2,10%,0.6317180616740088,0.9239690721649485,0.6923071167276356,0.6924564796905223
Testing,Imbalanced,Imbalanced,Random Forest,0.17,0.83,2,10%,0.6442831215970962,0.8875,0.6981359649122807,0.6983729662077597
Testing,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,2,10%,0.5693454309786131,0.8900709219858156,0.6084093211752786,0.6084093211752786
Testing,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,2,10%,0.5848421052631579,0.8824650571791613,0.6282166555737076,0.6281359161638616
Testing,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,2,10%,0.5941209723007349,0.894468085106383,0.6417021276595745,0.6417021276595745
Testing,Imbalanced,Imbalanced,XGBoost,0.33,0.67,2,10%,0.5953002610966057,0.8814432989690721,0.640721649484536,0.6408768536428111
Testing,Imbalanced,Imbalanced,Random Forest,0.33,0.67,2,10%,0.6123893805309735,0.865,0.6580639097744361,0.6583229036295369
Testing,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,2,10%,0.7181745396317054,0.45440729483282677,0.6380445795339412,0.6380445795339412
Testing,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,2,10%,0.6279683377308707,0.9072426937738246,0.6850499183154838,0.6849793585265164
Testing,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,2,10%,0.7875722543352601,0.46382978723404256,0.6693617021276596,0.6693617021276596
Testing,Imbalanced,Imbalanced,XGBoost,0.5,0.5,2,10%,0.8004338394793926,0.47551546391752575,0.6784028932490855,0.6782720825274017
Testing,Imbalanced,Imbalanced,Random Forest,0.5,0.5,2,10%,0.8110599078341014,0.44,0.6686215538847118,0.6683354192740926
Testing,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,2,10%,0.9209726443768997,0.5535931790499391,0.6593267100068972,0.5891590678824722
Testing,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,2,10%,0.9104193138500636,0.5673000791765638,0.6704879208081856,0.6081295649412511
Testing,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,2,10%,0.9327659574468085,0.5901992460958535,0.7149779191939714,0.6425531914893617
Testing,Imbalanced,Imbalanced,XGBoost,0.67,0.33,2,10%,0.9355670103092784,0.5892857142857143,0.7162729511867443,0.6415215989684074
Testing,Imbalanced,Imbalanced,Random Forest,0.67,0.33,2,10%,0.93,0.6098360655737705,0.7308439587128112,0.6670838548185232
Testing,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,2,10%,0.9052684903748733,0.5940824468085106,0.6433637284701115,0.6433637284701115
Testing,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,2,10%,0.8875476493011436,0.6173221387538665,0.6688531897299369,0.6687837408701175
Testing,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,2,10%,0.8919148936170213,0.6294294294294295,0.683404255319149,0.683404255319149
Testing,Imbalanced,Imbalanced,XGBoost,0.83,0.17,2,10%,0.9123711340206185,0.6304541406945681,0.6884436315264382,0.688588007736944
Testing,Imbalanced,Imbalanced,Random Forest,0.83,0.17,2,10%,0.89,0.6460980036297641,0.7006390977443608,0.7008760951188986
Testing,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,3,15%,0.594885598923284,0.8953409858203917,0.6428089128966914,0.6428089128966914
Testing,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,3,15%,0.6038394415357766,0.8785442234447736,0.6509571244234875,0.651005291005291
Testing,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,3,15%,0.6273193841294907,0.9013045944412933,0.6829268292682926,0.6829268292682927
Testing,Imbalanced,Imbalanced,XGBoost,0.17,0.83,3,15%,0.6320810971973763,0.9106529209621993,0.6902920962199313,0.6902920962199313
Testing,Imbalanced,Imbalanced,Random Forest,0.17,0.83,3,15%,0.6370875995449374,0.9348914858096828,0.7016124095715081,0.7014178482068391
Testing,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,3,15%,0.5594882729211087,0.8858879135719109,0.5941931127616475,0.5941931127616475
Testing,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,3,15%,0.5784563189143341,0.8658484976724503,0.617301894898884,0.6173544973544973
Testing,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,3,15%,0.5932850057230065,0.8820192853091322,0.6386840612592173,0.6386840612592173
Testing,Imbalanced,Imbalanced,XGBoost,0.33,0.67,3,15%,0.6010544815465729,0.8814432989690721,0.6481958762886597,0.6481958762886598
Testing,Imbalanced,Imbalanced,Random Forest,0.33,0.67,3,15%,0.6228571428571429,0.9098497495826378,0.6799248747913189,0.6797331109257715
Testing,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,3,15%,0.7098133654425045,0.39804186360567184,0.6176569885212695,0.6176569885212694
Testing,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,3,15%,0.7853618421052632,0.4041472704189589,0.6468238468944921,0.6467724867724868
Testing,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,3,15%,0.8026315789473685,0.41520136131593877,0.6565513329551901,0.65655133295519
Testing,Imbalanced,Imbalanced,XGBoost,0.5,0.5,3,15%,0.8156521739130435,0.4029209621993127,0.6559278350515464,0.6559278350515464
Testing,Imbalanced,Imbalanced,Random Forest,0.5,0.5,3,15%,0.6458333333333334,0.9315525876460768,0.7107762938230384,0.7105921601334445
Testing,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,3,15%,0.9132343011478731,0.5487928585920064,0.6452507006527872,0.5811951384199865
Testing,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,3,15%,0.9009733389758782,0.5703187784623627,0.6672158408440846,0.611005291005291
Testing,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,3,15%,0.9149177538287011,0.5829418142392483,0.6926566778706124,0.6301758366420873
Testing,Imbalanced,Imbalanced,XGBoost,0.67,0.33,3,15%,0.9243986254295533,0.5951327433628318,0.7129509870660312,0.647766323024055
Testing,Imbalanced,Imbalanced,Random Forest,0.67,0.33,3,15%,0.9499165275459098,0.6033934252386002,0.7431029626193001,0.6630525437864887
Testing,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,3,15%,0.9064821066846726,0.587527352297593,0.6350438892640109,0.6350438892640108
Testing,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,3,15%,0.8755818874312314,0.6005805515239477,0.6465123662389011,0.6465608465608466
Testing,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,3,15%,0.8933635847986386,0.6217923410975128,0.6749858196256382,0.6749858196256381
Testing,Imbalanced,Imbalanced,XGBoost,0.83,0.17,3,15%,0.8908934707903781,0.6273442226255294,0.6808419243986255,0.6808419243986255
Testing,Imbalanced,Imbalanced,Random Forest,0.83,0.17,3,15%,0.9265442404006677,0.6416184971098265,0.7049387868670005,0.7047539616346956
Testing,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,4,20%,0.5916050232238087,0.8708533806026842,0.6348442643707268,0.6348442643707267
Testing,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,4,20%,0.6183953033268101,0.9028571428571428,0.6728571428571428,0.6728571428571428
Testing,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,4,20%,0.6334024281907018,0.9098256061250531,0.6915085477433776,0.6915549883003617
Testing,Imbalanced,Imbalanced,XGBoost,0.17,0.83,4,20%,0.6285329744279946,0.9027061855670103,0.6844285279866,0.6844988720592975
Testing,Imbalanced,Imbalanced,Random Forest,0.17,0.83,4,20%,0.6460331299040977,0.9274092615769712,0.7099546307884856,0.7098186366479049
Testing,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,4,20%,0.563823064770932,0.9037731071157254,0.6023043808559129,0.6023043808559129
Testing,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,4,20%,0.5899265477439665,0.8923809523809524,0.6360317460317462,0.6360317460317461
Testing,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,4,20%,0.6092086330935251,0.900467886005955,0.6612977727902115,0.6613486492235695
Testing,Imbalanced,Imbalanced,XGBoost,0.33,0.67,4,20%,0.6080246913580247,0.8885309278350515,0.6576761666899307,0.6577505639703513
Testing,Imbalanced,Imbalanced,Random Forest,0.33,0.67,4,20%,0.6172413793103448,0.8961201501877347,0.6705600750938673,0.6704190118824265
Testing,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,4,20%,0.716751269035533,0.3575588756647253,0.6081286401620664,0.6081286401620664
Testing,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,4,20%,0.7735965453423812,0.3980952380952381,0.6407936507936508,0.6407936507936508
Testing,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,4,20%,0.8015138772077376,0.4053594215227563,0.6524669448039313,0.6524143799191662
Testing,Imbalanced,Imbalanced,XGBoost,0.5,0.5,4,20%,0.8209876543209876,0.42847938144329895,0.6674956546159112,0.6674186271350306
