Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Testing,Undersampling,NearMiss,Logistic Regression,0.17,0.83,1,5%,0.9344766410408043,0.40019247328166946,0.6860666580346759,0.6860738977384963
Testing,Undersampling,NearMiss,Decision Tree,0.17,0.83,1,5%,0.9430575035063113,0.4269748539497079,0.7005969011938024,0.7005969011938024
Testing,Undersampling,NearMiss,Naive Bayes,0.17,0.83,1,5%,0.9412082957619478,0.4440946221919673,0.7081773315180394,0.7081773315180395
Testing,Undersampling,NearMiss,XGBoost,0.17,0.83,1,5%,0.9458797933097634,0.4484270242392986,0.7113863882315482,0.7114033391349192
Testing,Undersampling,NearMiss,Random Forest,0.17,0.83,1,5%,0.9377179870453413,0.47097097097097096,0.7198448448448449,0.7198448448448449
Testing,Undersampling,NearMiss,Logistic Regression,0.33,0.67,1,5%,0.9450564395484836,0.3519728511371119,0.6657554693286856,0.6657634158077342
Testing,Undersampling,NearMiss,Decision Tree,0.33,0.67,1,5%,0.9521612059683126,0.3930657861315723,0.6866586233172466,0.6866586233172466
Testing,Undersampling,NearMiss,Naive Bayes,0.33,0.67,1,5%,0.9500096880449526,0.41720558202859087,0.6976259360108917,0.6976259360108917
Testing,Undersampling,NearMiss,XGBoost,0.33,0.67,1,5%,0.9552281917966493,0.42637957710159874,0.7031988126580573,0.703216656997357
Testing,Undersampling,NearMiss,Random Forest,0.33,0.67,1,5%,0.9488817891373802,0.44594594594594594,0.7109609609609611,0.710960960960961
Testing,Undersampling,NearMiss,Logistic Regression,0.5,0.5,1,5%,0.50059733837135,0.912627260294788,0.5011120499204896,0.5011016283840252
Testing,Undersampling,NearMiss,Decision Tree,0.5,0.5,1,5%,0.9363704819277109,0.4737744475488951,0.7207899415798831,0.7207899415798832
Testing,Undersampling,NearMiss,Naive Bayes,0.5,0.5,1,5%,0.9389515593895156,0.48162014976174267,0.7251531654186522,0.7251531654186522
Testing,Undersampling,NearMiss,XGBoost,0.5,0.5,1,5%,0.5089673532296484,0.9366941722537391,0.5165616020479731,0.5165345194353124
Testing,Undersampling,NearMiss,Random Forest,0.5,0.5,1,5%,0.9378238341968912,0.49824824824824826,0.7326076076076076,0.7326076076076076
Testing,Undersampling,NearMiss,Logistic Regression,0.67,0.33,1,5%,0.301423289267082,0.9637246963562753,0.7748498601858227,0.6450477372299744
Testing,Undersampling,NearMiss,Decision Tree,0.67,0.33,1,5%,0.32677165354330706,0.9680210684725358,0.7815277229299271,0.657988315976632
Testing,Undersampling,NearMiss,Naive Bayes,0.67,0.33,1,5%,0.3387508509189925,0.9750183688464364,0.7874422465724381,0.6650357385976855
Testing,Undersampling,NearMiss,XGBoost,0.67,0.33,1,5%,0.3401237751418257,0.9788497217068646,0.7897837311920186,0.6664088184103655
Testing,Undersampling,NearMiss,Random Forest,0.67,0.33,1,5%,0.3415915915915916,0.9798994974874372,0.7906013626246096,0.6672922922922923
Testing,Undersampling,NearMiss,Logistic Regression,0.83,0.17,1,5%,0.3870232487463911,0.9434498086183479,0.6819131640814614,0.6819206321067693
Testing,Undersampling,NearMiss,Decision Tree,0.83,0.17,1,5%,0.41903733807467614,0.9490867251546096,0.6982791465582932,0.6982791465582932
Testing,Undersampling,NearMiss,Naive Bayes,0.83,0.17,1,5%,0.43796800544588155,0.947707604492727,0.7069009530292717,0.7069009530292716
