Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Testing,Oversampling,ROS,Logistic Regression,0.17,0.83,1,5%,0.8583727361941297,0.4610758356295675,0.692499843799281,0.6924984575204116
Testing,Oversampling,ROS,Decision Tree,0.17,0.83,1,5%,0.8730470325651437,0.4876458837135948,0.7083677546299774,0.7083677546299774
Testing,Oversampling,ROS,Naive Bayes,0.17,0.83,1,5%,0.8874193782158127,0.4929353514209806,0.7152000644070525,0.7152000644070525
Testing,Oversampling,ROS,XGBoost,0.17,0.83,1,5%,0.8883082952318746,0.49769753895886065,0.7175606504260027,0.7175640028665965
Testing,Oversampling,ROS,Random Forest,0.17,0.83,1,5%,0.8965119932963235,0.5066595631326585,0.7240868998993666,0.7240868998993666
Testing,Oversampling,ROS,Logistic Regression,0.33,0.67,1,5%,0.8679691155825924,0.44443512639271593,0.6884145944295104,0.6884131329407748
Testing,Oversampling,ROS,Decision Tree,0.33,0.67,1,5%,0.8817154777708542,0.48883247968517657,0.7116271385012842,0.7116271385012842
Testing,Oversampling,ROS,Naive Bayes,0.33,0.67,1,5%,0.8989713710257516,0.503079462201111,0.7232710731825135,0.7232710731825135
Testing,Oversampling,ROS,XGBoost,0.33,0.67,1,5%,0.8988082456517071,0.510597420023787,0.7265569437274338,0.726560236646692
Testing,Oversampling,ROS,Random Forest,0.33,0.67,1,5%,0.9051049814738575,0.5205706505653229,0.7329959154679453,0.7329959154679453
Testing,Oversampling,ROS,Logistic Regression,0.5,0.5,1,5%,0.7950345743641833,0.4876123158020846,0.6809504869333777,0.6809493287967461
Testing,Oversampling,ROS,Decision Tree,0.5,0.5,1,5%,0.8133886111449823,0.500968803040089,0.6930171080102738,0.6930171080102738
Testing,Oversampling,ROS,Naive Bayes,0.5,0.5,1,5%,0.8330781010719756,0.5036631511150471,0.7013726753079462,0.7013726753079462
Testing,Oversampling,ROS,XGBoost,0.5,0.5,1,5%,0.6104548540393754,0.9597755481687048,0.6736697940892317,0.6736654315905036
Testing,Oversampling,ROS,Random Forest,0.5,0.5,1,5%,0.8505950624569686,0.5119280175220505,0.7110045581009886,0.7110045581009886
Testing,Oversampling,ROS,Logistic Regression,0.67,0.33,1,5%,0.3107583562956751,0.8631372288034074,0.7214281335671469,0.6307393718663703
