Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Testing,Undersampling,RUS,Logistic Regression,0.17,0.83,1,5%,0.7977700490998363,0.3950260851947526,0.647447199809694,0.6474535923215236
Testing,Undersampling,RUS,Decision Tree,0.17,0.83,1,5%,0.8306688834889372,0.41243332486664974,0.6641795783591566,0.6641795783591568
Testing,Undersampling,RUS,Naive Bayes,0.17,0.83,1,5%,0.8357035301990965,0.4250340367597005,0.6707368958475154,0.6707368958475153
Testing,Undersampling,RUS,XGBoost,0.17,0.83,1,5%,0.8491962235264098,0.4290318422070388,0.6764163852603013,0.6764004383420357
Testing,Undersampling,RUS,Random Forest,0.17,0.83,1,5%,0.8555938886150813,0.4344344344344344,0.6805555555555556,0.6805555555555556
Testing,Undersampling,RUS,Logistic Regression,0.33,0.67,1,5%,0.8121807967313586,0.32219014334194396,0.6238432483322361,0.6238508876339048
Testing,Undersampling,RUS,Decision Tree,0.33,0.67,1,5%,0.8419708577437284,0.3559182118364237,0.6445580391160782,0.6445580391160782
Testing,Undersampling,RUS,Naive Bayes,0.33,0.67,1,5%,0.8420365535248042,0.38418992511912864,0.6560585432266848,0.6560585432266848
Testing,Undersampling,RUS,XGBoost,0.33,0.67,1,5%,0.8505683393401718,0.3955137295346139,0.6630095723485344,0.662992329014375
Testing,Undersampling,RUS,Random Forest,0.33,0.67,1,5%,0.8559185859667916,0.3998998998998999,0.6662912912912913,0.6662912912912913
Testing,Undersampling,RUS,Logistic Regression,0.5,0.5,1,5%,0.5777959986880945,0.892316263992301,0.620160360521272,0.6201534682300504
Testing,Undersampling,RUS,Decision Tree,0.5,0.5,1,5%,0.7806845432744713,0.45478790957581916,0.6635128270256541,0.6635128270256541
Testing,Undersampling,RUS,Naive Bayes,0.5,0.5,1,5%,0.7822973360068748,0.4647719537100068,0.6677161334240981,0.6677161334240981
Testing,Undersampling,RUS,XGBoost,0.5,0.5,1,5%,0.7874322860238353,0.4684800825061235,0.6709986797265017,0.6709856249597113
Testing,Undersampling,RUS,Random Forest,0.5,0.5,1,5%,0.7967755621552821,0.46996996996997,0.67505005005005,0.67505005005005
Testing,Undersampling,RUS,Logistic Regression,0.67,0.33,1,5%,0.2746796332877476,0.818195534097767,0.6911970396986903,0.6068326284599995
Testing,Undersampling,RUS,Decision Tree,0.67,0.33,1,5%,0.28403606807213616,0.8595311299000769,0.7153467303235361,0.6188087376174752
Testing,Undersampling,RUS,Naive Bayes,0.67,0.33,1,5%,0.2957794417971409,0.8696522391793845,0.7226971402489427,0.6257232811436352
Testing,Undersampling,RUS,XGBoost,0.67,0.33,1,5%,0.3052726569550084,0.8617176128093159,0.7197738083631381,0.6281183523496422
Testing,Undersampling,RUS,Random Forest,0.67,0.33,1,5%,0.3103103103103103,0.8713984539704849,0.7259260499415524,0.6322572572572572
Testing,Undersampling,RUS,Logistic Regression,0.83,0.17,1,5%,0.3948234817403637,0.7950836393308853,0.6465355253110247,0.6465418998657786
Testing,Undersampling,RUS,Decision Tree,0.83,0.17,1,5%,0.41173482346964696,0.8270408163265306,0.6628143256286513,0.6628143256286513
Testing,Undersampling,RUS,Naive Bayes,0.83,0.17,1,5%,0.4335432266848196,0.836892247043364,0.6745234853641934,0.6745234853641934
Testing,Undersampling,RUS,XGBoost,0.83,0.17,1,5%,0.43960293928064975,0.8390748031496063,0.6776405619559515,0.6776252175594663
Testing,Undersampling,RUS,Random Forest,0.83,0.17,1,5%,0.4469469469469469,0.8472485768500949,0.6831831831831832,0.6831831831831832
Testing,Undersampling,RUS,Logistic Regression,0.17,0.83,2,10%,0.601784007645747,0.9569402228976697,0.6618541033434651,0.6618541033434651
Testing,Undersampling,RUS,Decision Tree,0.17,0.83,2,10%,0.6302061421960454,0.951715374841169,0.6968100683729654,0.6967291203556685
Testing,Undersampling,RUS,Naive Bayes,0.17,0.83,2,10%,0.6353144835545297,0.9370212765957446,0.6995744680851064,0.6995744680851064
Testing,Undersampling,RUS,XGBoost,0.17,0.83,2,10%,0.6556053811659193,0.9432258064516129,0.7241902228134354,0.7240490006447453
Testing,Undersampling,RUS,Random Forest,0.17,0.83,2,10%,0.653781512605042,0.9725,0.7281046365914787,0.7284105131414268
Testing,Undersampling,RUS,Logistic Regression,0.33,0.67,2,10%,0.5668384358896635,0.9473150962512664,0.6117021276595744,0.6117021276595744
Testing,Undersampling,RUS,Decision Tree,0.33,0.67,2,10%,0.5776325903151422,0.9548919949174078,0.628557108569815,0.6284534772943792
Testing,Undersampling,RUS,Naive Bayes,0.33,0.67,2,10%,0.596030042918455,0.945531914893617,0.652340425531915,0.6523404255319148
Testing,Undersampling,RUS,XGBoost,0.33,0.67,2,10%,0.6186440677966102,0.9419354838709677,0.6810192883272363,0.6808510638297872
Testing,Undersampling,RUS,Random Forest,0.33,0.67,2,10%,0.6241935483870967,0.9675,0.6917700501253132,0.6921151439299124
Testing,Undersampling,RUS,Logistic Regression,0.5,0.5,2,10%,0.7328767123287672,0.4878419452887538,0.6550151975683891,0.6550151975683891
Testing,Undersampling,RUS,Decision Tree,0.5,0.5,2,10%,0.6364023870417732,0.9485387547649301,0.7034757265888143,0.7033979040965386
Testing,Undersampling,RUS,Naive Bayes,0.5,0.5,2,10%,0.7963224893917963,0.47914893617021276,0.6782978723404256,0.6782978723404255
Testing,Undersampling,RUS,XGBoost,0.5,0.5,2,10%,0.650399290150843,0.9458064516129032,0.7190372464250083,0.7188910380399742
Testing,Undersampling,RUS,Random Forest,0.5,0.5,2,10%,0.8310502283105022,0.455,0.6811340852130328,0.6808510638297872
Testing,Undersampling,RUS,Logistic Regression,0.67,0.33,2,10%,0.9706180344478217,0.5534373194685153,0.7170478778412535,0.5937183383991894
Testing,Undersampling,RUS,Decision Tree,0.67,0.33,2,10%,0.9752223634053367,0.565377532228361,0.7377578905381437,0.6128929818990155
Testing,Undersampling,RUS,Naive Bayes,0.67,0.33,2,10%,0.9753191489361702,0.5870901639344263,0.7571129211631931,0.6446808510638298
Testing,Undersampling,RUS,XGBoost,0.67,0.33,2,10%,0.9638709677419355,0.5849647611589663,0.7413874900685342,0.6402321083172147
Testing,Undersampling,RUS,Random Forest,0.67,0.33,2,10%,0.985,0.6080246913580247,0.7841447960101382,0.6745932415519399
Testing,Undersampling,RUS,Logistic Regression,0.83,0.17,2,10%,0.9655521783181358,0.590092879256966,0.6474164133738602,0.6474164133738601
Testing,Undersampling,RUS,Decision Tree,0.83,0.17,2,10%,0.9536213468869124,0.6149119213437116,0.6783979750307578,0.6783105747856463
Testing,Undersampling,RUS,Naive Bayes,0.83,0.17,2,10%,0.948936170212766,0.6236017897091722,0.6880851063829787,0.6880851063829787
Testing,Undersampling,RUS,XGBoost,0.83,0.17,2,10%,0.944516129032258,0.6409807355516638,0.7080828067841702,0.7079303675048356
Testing,Undersampling,RUS,Random Forest,0.83,0.17,2,10%,0.9675,0.6428571428571429,0.7143264411027569,0.7146433041301627
Testing,Undersampling,RUS,Logistic Regression,0.17,0.83,3,15%,0.607424791977811,0.9611748818365969,0.6699864956110735,0.6699864956110736
Testing,Undersampling,RUS,Decision Tree,0.17,0.83,3,15%,0.629817158931083,0.9475243334743969,0.6951846900225498,0.6952380952380952
Testing,Undersampling,RUS,Naive Bayes,0.17,0.83,3,15%,0.6378851274248764,0.9512195121951219,0.7056154282473057,0.7056154282473057
Testing,Undersampling,RUS,XGBoost,0.17,0.83,3,15%,0.6402544823597455,0.9510309278350515,0.7083333333333333,0.7083333333333334
Testing,Undersampling,RUS,Random Forest,0.17,0.83,3,15%,0.6407982261640798,0.9649415692821369,0.7124707846410685,0.7122602168473728
Testing,Undersampling,RUS,Logistic Regression,0.33,0.67,3,15%,0.5695876288659794,0.9699527346387576,0.6185010128291695,0.6185010128291695
Testing,Undersampling,RUS,Decision Tree,0.33,0.67,3,15%,0.5891534391534392,0.9424460431654677,0.6424761968579243,0.6425396825396825
Testing,Undersampling,RUS,Naive Bayes,0.33,0.67,3,15%,0.6051208077893978,0.9517867271695972,0.6653431650595576,0.6653431650595576
Testing,Undersampling,RUS,XGBoost,0.33,0.67,3,15%,0.6132075471698113,0.9493127147766323,0.6752577319587629,0.6752577319587629
Testing,Undersampling,RUS,Random Forest,0.33,0.67,3,15%,0.6124197002141327,0.9549248747913188,0.6757957707289928,0.6755629691409508
Testing,Undersampling,RUS,Logistic Regression,0.5,0.5,3,15%,0.7125782583949914,0.4226873733963538,0.6260972316002701,0.6260972316002701
Testing,Undersampling,RUS,Decision Tree,0.5,0.5,3,15%,0.7702191987906274,0.43123148539991535,0.6512634988388231,0.6512169312169312
Testing,Undersampling,RUS,Naive Bayes,0.5,0.5,3,15%,0.7981366459627329,0.43732274532047644,0.663357912648894,0.6633579126488939
Testing,Undersampling,RUS,XGBoost,0.5,0.5,3,15%,0.8557692307692307,0.4587628865979381,0.6907216494845362,0.6907216494845361
Testing,Undersampling,RUS,Random Forest,0.5,0.5,3,15%,0.6453423120089786,0.9599332220367279,0.7166332776850306,0.7164303586321935
