Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Testing,Oversampling,SMOTE,Logistic Regression,0.17,0.83,1,5%,0.8503399726099805,0.4240137056871413,0.6746940458470448,0.6746955474754252
Testing,Oversampling,SMOTE,Decision Tree,0.17,0.83,1,5%,0.8715540304757473,0.4501704792946513,0.6919131231506376,0.6919131231506376
Testing,Oversampling,SMOTE,Naive Bayes,0.17,0.83,1,5%,0.8805355700050017,0.4606311891152081,0.6990681104580951,0.6990681104580951
Testing,Oversampling,SMOTE,XGBoost,0.17,0.83,1,5%,0.8838761652664289,0.4684212131377512,0.7034409066420642,0.703444490188006
Testing,Oversampling,SMOTE,Random Forest,0.17,0.83,1,5%,0.8935842412237262,0.4806724678861067,0.7117149115018055,0.7117149115018054
Testing,Oversampling,SMOTE,Logistic Regression,0.33,0.67,1,5%,0.8460153624579932,0.42225257281146295,0.6726993066525268,0.6727008068815555
Testing,Oversampling,SMOTE,Decision Tree,0.33,0.67,1,5%,0.8719724169373683,0.4596332066629617,0.6960737191522598,0.6960737191522598
Testing,Oversampling,SMOTE,Naive Bayes,0.33,0.67,1,5%,0.8797216329872353,0.4757869736736173,0.705367925287819,0.705367925287819
Testing,Oversampling,SMOTE,XGBoost,0.33,0.67,1,5%,0.8889012455516014,0.487511817266933,0.7132911611340764,0.7132946037845174
Testing,Oversampling,SMOTE,Random Forest,0.33,0.67,1,5%,0.8979570007487432,0.4969513999881608,0.7202391523116084,0.7202391523116084
Testing,Oversampling,SMOTE,Logistic Regression,0.5,0.5,1,5%,0.6015597333210156,0.936143957636967,0.6580504141844833,0.6580487483452039
Testing,Oversampling,SMOTE,Decision Tree,0.5,0.5,1,5%,0.6786065573770492,0.4974090151253436,0.6309160821304655,0.6309160821304655
Testing,Oversampling,SMOTE,Naive Bayes,0.5,0.5,1,5%,0.8402188967334392,0.5006239433217937,0.7027111343692134,0.7027111343692134
Testing,Oversampling,SMOTE,XGBoost,0.5,0.5,1,5%,0.6122262062514615,0.9580982586685372,0.6756367116714239,0.675632404739033
Testing,Oversampling,SMOTE,Random Forest,0.5,0.5,1,5%,0.7457861526493215,0.5107440951873558,0.6683241579352394,0.6683241579352395
Testing,Oversampling,SMOTE,Logistic Regression,0.67,0.33,1,5%,0.31249925121901545,0.8749496846907285,0.7282345030978055,0.6339201744349733
Testing,Oversampling,SMOTE,Decision Tree,0.67,0.33,1,5%,0.3121047809303513,0.8891694124695109,0.7360042990753074,0.6366012286525377
Testing,Oversampling,SMOTE,Naive Bayes,0.67,0.33,1,5%,0.32058610417840755,0.8950325915936166,0.7406070622362728,0.6414942436196763
Testing,Oversampling,SMOTE,XGBoost,0.67,0.33,1,5%,0.320148821322924,0.8963456284153005,0.7412618602621137,0.6415686992055868
Testing,Oversampling,SMOTE,Random Forest,0.67,0.33,1,5%,0.32913040904516666,0.9052425919895799,0.7476401065866001,0.6473391345527734
Testing,Oversampling,SMOTE,Logistic Regression,0.83,0.17,1,5%,0.46303418035438304,0.8303933996519348,0.6842306399555549,0.6842319649692402
Testing,Oversampling,SMOTE,Decision Tree,0.83,0.17,1,5%,0.4880063685657209,0.8513035503733788,0.7013833606200339,0.7013833606200339
Testing,Oversampling,SMOTE,Naive Bayes,0.83,0.17,1,5%,0.5009057241767974,0.8619172958370853,0.7103292810562757,0.7103292810562757
Testing,Oversampling,SMOTE,XGBoost,0.83,0.17,1,5%,0.5058705132505871,0.871630497609164,0.7156853176157791,0.7156885168412546
Testing,Oversampling,SMOTE,Random Forest,0.83,0.17,1,5%,0.5153021961759309,0.883397605033489,0.723642929023856,0.7236429290238561
Testing,Oversampling,SMOTE,Logistic Regression,0.17,0.83,2,10%,0.6085667215815486,0.9356636271529889,0.666919959473151,0.666919959473151
Testing,Oversampling,SMOTE,Decision Tree,0.17,0.83,2,10%,0.6206308610400681,0.9250317662007624,0.6799762005606987,0.6798983804382344
Testing,Oversampling,SMOTE,Naive Bayes,0.17,0.83,2,10%,0.6338924233661076,0.9327659574468085,0.6970212765957446,0.6970212765957446
Testing,Oversampling,SMOTE,XGBoost,0.17,0.83,2,10%,0.6323144104803493,0.9341935483870968,0.6958338875956103,0.6956802063185042
Testing,Oversampling,SMOTE,Random Forest,0.17,0.83,2,10%,0.6529516994633273,0.9125,0.7131422305764411,0.7133917396745932
Testing,Oversampling,SMOTE,Logistic Regression,0.33,0.67,2,10%,0.5652567975830816,0.9478216818642351,0.6094224924012158,0.6094224924012158
Testing,Oversampling,SMOTE,Decision Tree,0.33,0.67,2,10%,0.5910543130990416,0.940279542566709,0.6450604062039894,0.6449666560812957
Testing,Oversampling,SMOTE,Naive Bayes,0.33,0.67,2,10%,0.6010869565217392,0.9412765957446808,0.6582978723404256,0.6582978723404256
Testing,Oversampling,SMOTE,XGBoost,0.33,0.67,2,10%,0.6033472803347281,0.9303225806451613,0.6597489191885599,0.6595744680851063
Testing,Oversampling,SMOTE,Random Forest,0.33,0.67,2,10%,0.6239460370994941,0.925,0.6830513784461153,0.6833541927409261
Testing,Oversampling,SMOTE,Logistic Regression,0.5,0.5,2,10%,0.7274096385542169,0.48936170212765956,0.6529888551165146,0.6529888551165147
Testing,Oversampling,SMOTE,Decision Tree,0.5,0.5,2,10%,0.624622030237581,0.9186785260482846,0.6834662471511264,0.6833915528739283
Testing,Oversampling,SMOTE,Naive Bayes,0.5,0.5,2,10%,0.7909836065573771,0.4927659574468085,0.6812765957446809,0.6812765957446808
Testing,Oversampling,SMOTE,XGBoost,0.5,0.5,2,10%,0.6344463971880492,0.9316129032258065,0.6977652144995012,0.6976144422952933
Testing,Oversampling,SMOTE,Random Forest,0.5,0.5,2,10%,0.8258928571428571,0.4625,0.6823778195488721,0.6821026282853567
Testing,Oversampling,SMOTE,Logistic Regression,0.67,0.33,2,10%,0.9523809523809523,0.5545722713864307,0.6930567450122117,0.5937183383991894
Testing,Oversampling,SMOTE,Decision Tree,0.67,0.33,2,10%,0.9434561626429478,0.5674436377531524,0.7000752023352228,0.6122578596379803
Testing,Oversampling,SMOTE,Naive Bayes,0.67,0.33,2,10%,0.9574468085106383,0.5853277835587929,0.7342526768261255,0.6395744680851064
Testing,Oversampling,SMOTE,XGBoost,0.67,0.33,2,10%,0.9625806451612903,0.5906571654790183,0.7449813605172869,0.6479690522243714
Testing,Oversampling,SMOTE,Random Forest,0.67,0.33,2,10%,0.98,0.6030769230769231,0.7746928239545688,0.6670838548185232
Testing,Oversampling,SMOTE,Logistic Regression,0.83,0.17,2,10%,0.9371833839918946,0.5940912010276173,0.6484295845997974,0.6484295845997974
Testing,Oversampling,SMOTE,Decision Tree,0.83,0.17,2,10%,0.9371029224904701,0.6187080536912751,0.6799800326738065,0.6798983804382344
Testing,Oversampling,SMOTE,Naive Bayes,0.83,0.17,2,10%,0.9370212765957446,0.6309455587392551,0.6944680851063829,0.694468085106383
Testing,Oversampling,SMOTE,XGBoost,0.83,0.17,2,10%,0.9380645161290323,0.631624674196351,0.6958363817758564,0.6956802063185042
Testing,Oversampling,SMOTE,Random Forest,0.83,0.17,2,10%,0.9175,0.643859649122807,0.7043640350877193,0.704630788485607
Testing,Oversampling,SMOTE,Logistic Regression,0.17,0.83,3,15%,0.6082858395440596,0.9368669817690749,0.6667792032410533,0.6667792032410533
Testing,Oversampling,SMOTE,Decision Tree,0.17,0.83,3,15%,0.6237539162631729,0.9267879813796022,0.6837580889116469,0.6838095238095238
Testing,Oversampling,SMOTE,Naive Bayes,0.17,0.83,3,15%,0.6357281553398059,0.9285309132161089,0.6982416335791265,0.6982416335791265
Testing,Oversampling,SMOTE,XGBoost,0.17,0.83,3,15%,0.6335476329631794,0.9312714776632303,0.6963058419243986,0.6963058419243986
Testing,Oversampling,SMOTE,Random Forest,0.17,0.83,3,15%,0.6415525114155252,0.9366666666666666,0.7062298274902615,0.7064220183486238
Testing,Oversampling,SMOTE,Logistic Regression,0.33,0.67,3,15%,0.5655354602723024,0.9395678595543552,0.6088791357191088,0.6088791357191087
Testing,Oversampling,SMOTE,Decision Tree,0.33,0.67,3,15%,0.5880469583778015,0.9327126534066864,0.6395146670928437,0.6395767195767196
Testing,Oversampling,SMOTE,Naive Bayes,0.33,0.67,3,15%,0.60321015304218,0.9166193987521271,0.6568349404424276,0.6568349404424276
Testing,Oversampling,SMOTE,XGBoost,0.33,0.67,3,15%,0.6042363433667781,0.9312714776632303,0.6606529209621993,0.6606529209621993
Testing,Oversampling,SMOTE,Random Forest,0.33,0.67,3,15%,0.6080627099664053,0.905,0.6603464106844741,0.6605504587155964
Testing,Oversampling,SMOTE,Logistic Regression,0.5,0.5,3,15%,0.7197271176805002,0.4274139095205942,0.6304861580013504,0.6304861580013504
Testing,Oversampling,SMOTE,Decision Tree,0.5,0.5,3,15%,0.7748447204968945,0.42234447735928904,0.6497835849963253,0.6497354497354497
Testing,Oversampling,SMOTE,Naive Bayes,0.5,0.5,3,15%,0.8102508178844057,0.4214407260351673,0.6613726602382303,0.6613726602382303
Testing,Oversampling,SMOTE,XGBoost,0.5,0.5,3,15%,0.8041237113402062,0.4020618556701031,0.652061855670103,0.6520618556701031
Testing,Oversampling,SMOTE,Random Forest,0.5,0.5,3,15%,0.8255451713395638,0.44166666666666665,0.6740887590428492,0.6738949124270225
Testing,Oversampling,SMOTE,Logistic Regression,0.67,0.33,3,15%,0.9385550303848751,0.5479992115119259,0.6670665857794646,0.5822079675894666
Testing,Oversampling,SMOTE,Decision Tree,0.67,0.33,3,15%,0.9437156157426999,0.5768235902741852,0.7109961956027504,0.6256084656084656
Testing,Oversampling,SMOTE,Naive Bayes,0.67,0.33,3,15%,0.9347702779353375,0.5839829907866761,0.7103153590297017,0.6344299489506523
Testing,Oversampling,SMOTE,XGBoost,0.67,0.33,3,15%,0.9527491408934707,0.5824579831932774,0.7263705010306009,0.6348797250859106
Testing,Oversampling,SMOTE,Random Forest,0.67,0.33,3,15%,0.945,0.5968421052631578,0.732155992390615,0.6530442035029191
Testing,Oversampling,SMOTE,Logistic Regression,0.83,0.17,3,15%,0.9439567859554355,0.5997425997425997,0.6569885212694125,0.6569885212694125
Testing,Oversampling,SMOTE,Decision Tree,0.83,0.17,3,15%,0.9356749894202285,0.6136552872606161,0.673171957030182,0.6732275132275132
Testing,Oversampling,SMOTE,Naive Bayes,0.83,0.17,3,15%,0.9370391378332388,0.6295731707317073,0.6928530913216109,0.6928530913216109
Testing,Oversampling,SMOTE,XGBoost,0.83,0.17,3,15%,0.9355670103092784,0.6229977116704806,0.6847079037800687,0.6847079037800687
Testing,Oversampling,SMOTE,Random Forest,0.83,0.17,3,15%,0.93,0.6355353075170843,0.6978881469115192,0.6980817347789825
Testing,Oversampling,SMOTE,Logistic Regression,0.17,0.83,4,20%,0.6139464375947449,0.9230184856925804,0.671309192200557,0.6713091922005571
Testing,Oversampling,SMOTE,Decision Tree,0.17,0.83,4,20%,0.6195928753180662,0.9276190476190476,0.679047619047619,0.679047619047619
Testing,Oversampling,SMOTE,Naive Bayes,0.17,0.83,4,20%,0.6337579617834395,0.9314893617021277,0.6967102274269891,0.696660285045735
Testing,Oversampling,SMOTE,XGBoost,0.17,0.83,4,20%,0.6357267950963222,0.9355670103092784,0.6995694497065412,0.6996455043506284
Testing,Oversampling,SMOTE,Random Forest,0.17,0.83,4,20%,0.6316680779000847,0.9325,0.6940347309136421,0.6941838649155723
Testing,Oversampling,SMOTE,Logistic Regression,0.33,0.67,4,20%,0.5731297709923664,0.9506204102304381,0.6212965307672829,0.6212965307672829
Testing,Oversampling,SMOTE,Decision Tree,0.33,0.67,4,20%,0.5912850514424047,0.9304761904761905,0.6436507936507936,0.6436507936507937
Testing,Oversampling,SMOTE,Naive Bayes,0.33,0.67,4,20%,0.6076836791923724,0.9221276595744681,0.66353086509136,0.6634758562008083
Testing,Oversampling,SMOTE,XGBoost,0.33,0.67,4,20%,0.6153846153846154,0.9278350515463918,0.6737821292548207,0.6738640025781502
Testing,Oversampling,SMOTE,Random Forest,0.33,0.67,4,20%,0.6162117452440034,0.93125,0.6752620463078849,0.6754221388367729
Testing,Oversampling,SMOTE,Logistic Regression,0.5,0.5,4,20%,0.7222719141323792,0.40896429475816665,0.6258546467460117,0.6258546467460117
Testing,Oversampling,SMOTE,Decision Tree,0.5,0.5,4,20%,0.7679324894514767,0.40444444444444444,0.6411111111111111,0.6411111111111111
Testing,Oversampling,SMOTE,Naive Bayes,0.5,0.5,4,20%,0.6396237507348619,0.9259574468085107,0.7022386128130176,0.702191023186556
Testing,Oversampling,SMOTE,XGBoost,0.5,0.5,4,20%,0.8275434243176178,0.42976804123711343,0.6700742204896076,0.6699967773122785
Testing,Oversampling,SMOTE,Random Forest,0.5,0.5,4,20%,0.8385542168674699,0.435,0.6755725907384231,0.6754221388367729
Testing,Oversampling,SMOTE,Logistic Regression,0.67,0.33,4,20%,0.9569511268675615,0.55565358035583,0.7003427427759095,0.5958470498860471
Testing,Oversampling,SMOTE,Decision Tree,0.67,0.33,4,20%,0.9514285714285714,0.5709658982663365,0.7126951280104281,0.6182539682539683
Testing,Oversampling,SMOTE,Naive Bayes,0.67,0.33,4,20%,0.9395744680851064,0.5853658536585366,0.7162566620284072,0.6370984896830462
Testing,Oversampling,SMOTE,XGBoost,0.67,0.33,4,20%,0.9574742268041238,0.5917960971724413,0.7401548053429774,0.6484047695778279
Testing,Oversampling,SMOTE,Random Forest,0.67,0.33,4,20%,0.95625,0.592563903950426,0.7394637701570312,0.649155722326454
Testing,Oversampling,SMOTE,Logistic Regression,0.83,0.17,4,20%,0.9387186629526463,0.5995471453986738,0.6558622436059762,0.6558622436059762
Testing,Oversampling,SMOTE,Decision Tree,0.83,0.17,4,20%,0.9276190476190476,0.6146403029028187,0.6730158730158731,0.6730158730158731
Testing,Oversampling,SMOTE,Naive Bayes,0.83,0.17,4,20%,0.9340425531914893,0.6255343402678826,0.6875657257663104,0.6875132950436077
Testing,Oversampling,SMOTE,XGBoost,0.83,0.17,4,20%,0.9342783505154639,0.6285218899003034,0.690865803239679,0.690944247502417
Testing,Oversampling,SMOTE,Random Forest,0.83,0.17,4,20%,0.93625,0.6252086811352254,0.6871487797246558,0.6873045653533458
Testing,Oversampling,SMOTE,Logistic Regression,0.17,0.83,5,25%,0.6164807097728189,0.9290923824959482,0.6755470016207455,0.6755470016207455
Testing,Oversampling,SMOTE,Decision Tree,0.17,0.83,5,25%,0.6295462417734673,0.9232918465836931,0.6899923799847599,0.6899923799847599
Testing,Oversampling,SMOTE,Naive Bayes,0.17,0.83,5,25%,0.6389537599252686,0.9312457454050375,0.7025187202178352,0.7025187202178352
Testing,Oversampling,SMOTE,XGBoost,0.17,0.83,5,25%,0.6387602422515141,0.9247034553893759,0.701011521509121,0.7009538540861047
Testing,Oversampling,SMOTE,Random Forest,0.17,0.83,5,25%,0.6572637517630465,0.9329329329329329,0.7232232232232232,0.7232232232232232
Testing,Oversampling,SMOTE,Logistic Regression,0.33,0.67,5,25%,0.5735547355473555,0.9446920583468396,0.6211507293354943,0.6211507293354943
Testing,Oversampling,SMOTE,Decision Tree,0.33,0.67,5,25%,0.6015831134564644,0.9265938531877064,0.6564643129286258,0.6564643129286258
Testing,Oversampling,SMOTE,Naive Bayes,0.33,0.67,5,25%,0.6131006346328196,0.9206943498978897,0.6698434309053778,0.6698434309053778
Testing,Oversampling,SMOTE,XGBoost,0.33,0.67,5,25%,0.6140592694693315,0.9190304280556988,0.6708554202134164,0.6707914410930652
Testing,Oversampling,SMOTE,Random Forest,0.33,0.67,5,25%,0.6313269493844049,0.923923923923924,0.6921921921921922,0.6921921921921922
Testing,Oversampling,SMOTE,Logistic Regression,0.5,0.5,5,25%,0.7329479768786127,0.3853322528363047,0.622467585089141,0.622467585089141
