Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Testing,Undersampling,Tomeklinks,Logistic Regression,0.17,0.83,1,5%,0.8518510356985456,0.46312447585959027,0.6912898014563739,0.691288434697704
Testing,Undersampling,Tomeklinks,Decision Tree,0.17,0.83,1,5%,0.8719714837049742,0.48868227766345734,0.7084653859440948,0.7084653859440948
Testing,Undersampling,Tomeklinks,Naive Bayes,0.17,0.83,1,5%,0.8803635973231221,0.4951292166492231,0.7139219869575719,0.7139219869575718
Testing,Undersampling,Tomeklinks,XGBoost,0.17,0.83,1,5%,0.887395686572017,0.49940532463175874,0.718018105106804,0.7180214384825336
Testing,Undersampling,Tomeklinks,Random Forest,0.17,0.83,1,5%,0.8943915343915344,0.5003255786420411,0.7206239270703841,0.7206239270703841
Testing,Undersampling,Tomeklinks,Logistic Regression,0.33,0.67,1,5%,0.8630076481391078,0.44475859590271954,0.687078767215398,0.6870773156662014
Testing,Undersampling,Tomeklinks,Decision Tree,0.33,0.67,1,5%,0.8856346647724168,0.4868948736049987,0.7120101536566682,0.7120101536566682
Testing,Undersampling,Tomeklinks,Naive Bayes,0.33,0.67,1,5%,0.8943515395105146,0.5016101763143064,0.721177843973915,0.7211778439739152
Testing,Undersampling,Tomeklinks,XGBoost,0.33,0.67,1,5%,0.8985383548490344,0.5136775334695496,0.7278377908870071,0.7278410563713157
Testing,Undersampling,Tomeklinks,Random Forest,0.33,0.67,1,5%,0.9031719532554258,0.5124015864559285,0.7287337950630438,0.7287337950630438
Testing,Undersampling,Tomeklinks,Logistic Regression,0.5,0.5,1,5%,0.7948456238836438,0.4851443632442794,0.6799621108174098,0.6799609438178017
Testing,Undersampling,Tomeklinks,Decision Tree,0.5,0.5,1,5%,0.8156158357771262,0.5012992474878711,0.6939859110503628,0.6939859110503628
Testing,Undersampling,Tomeklinks,Naive Bayes,0.5,0.5,1,5%,0.8278563871991537,0.5040053135818372,0.6996014813622092,0.6996014813622091
Testing,Undersampling,Tomeklinks,XGBoost,0.5,0.5,1,5%,0.6123945086143197,0.9604159677960415,0.6762771471085599,0.6762728146013448
Testing,Undersampling,Tomeklinks,Random Forest,0.5,0.5,1,5%,0.8439765617241037,0.5030486000118393,0.7050257503107796,0.7050257503107796
Testing,Undersampling,Tomeklinks,Logistic Regression,0.67,0.33,1,5%,0.3190247993291003,0.8649429954201449,0.7237305317308727,0.634603058602244
Testing,Undersampling,Tomeklinks,Decision Tree,0.67,0.33,1,5%,0.3258783063220031,0.8791280035657847,0.7326914505037958,0.640536521621581
Testing,Undersampling,Tomeklinks,Naive Bayes,0.67,0.33,1,5%,0.327288463086708,0.885000544247306,0.7361701735978363,0.6423798405925449
Testing,Undersampling,Tomeklinks,XGBoost,0.67,0.33,1,5%,0.3261870635235278,0.8922999916576291,0.7400245387051486,0.6434136895231997
Testing,Undersampling,Tomeklinks,Random Forest,0.67,0.33,1,5%,0.3309062925472089,0.8951160928742994,0.742354894772359,0.6460664180429764
Testing,Undersampling,Tomeklinks,Logistic Regression,0.83,0.17,1,5%,0.473331735953037,0.8501129639591178,0.6949378012691182,0.6949364738018079
Testing,Undersampling,Tomeklinks,Decision Tree,0.83,0.17,1,5%,0.49973714646199136,0.8776775350849425,0.7150442344953962,0.7150442344953963
Testing,Undersampling,Tomeklinks,Naive Bayes,0.83,0.17,1,5%,0.5104258916351341,0.8887019904681805,0.7232509459785847,0.7232509459785846
Testing,Undersampling,Tomeklinks,XGBoost,0.83,0.17,1,5%,0.5168491354335031,0.9022092094756454,0.7304146872581031,0.7304179436744278
Testing,Undersampling,Tomeklinks,Random Forest,0.83,0.17,1,5%,0.5151838039424613,0.9099749058971142,0.7321079737169243,0.7321079737169242
Testing,Undersampling,Tomeklinks,Logistic Regression,0.17,0.83,2,10%,0.6079946254618743,0.9192483494159471,0.6640314695408003,0.6637078366725844
Testing,Undersampling,Tomeklinks,Decision Tree,0.17,0.83,2,10%,0.6145038167938931,0.9229299363057325,0.6728935395814376,0.6724960254372019
Testing,Undersampling,Tomeklinks,Naive Bayes,0.17,0.83,2,10%,0.6357808857808858,0.9308873720136519,0.6994862391983153,0.6991904559011504
Testing,Undersampling,Tomeklinks,XGBoost,0.17,0.83,2,10%,0.630377524143986,0.9276485788113695,0.6925614028077467,0.692258064516129
Testing,Undersampling,Tomeklinks,Random Forest,0.17,0.83,2,10%,0.6388415672913118,0.9422110552763819,0.706105527638191,0.7055137844611529
Testing,Undersampling,Tomeklinks,Logistic Regression,0.33,0.67,2,10%,0.5553560742070617,0.9426104621635348,0.5949121206461038,0.5944712148110576
Testing,Undersampling,Tomeklinks,Decision Tree,0.33,0.67,2,10%,0.5833333333333334,0.9496815286624204,0.636745526235972,0.636248012718601
Testing,Undersampling,Tomeklinks,Naive Bayes,0.33,0.67,2,10%,0.6006655574043261,0.924061433447099,0.6556477380001453,0.6553046442266723
Testing,Undersampling,Tomeklinks,XGBoost,0.33,0.67,2,10%,0.5960264900662252,0.9302325581395349,0.6506832893790457,0.6503225806451612
Testing,Undersampling,Tomeklinks,Random Forest,0.33,0.67,2,10%,0.6175496688741722,0.9371859296482412,0.6798429648241207,0.6791979949874687
Testing,Undersampling,Tomeklinks,Logistic Regression,0.5,0.5,2,10%,0.7317073170731707,0.4723209751142712,0.6497876405459907,0.6500126806999746
Testing,Undersampling,Tomeklinks,Decision Tree,0.5,0.5,2,10%,0.7565392354124748,0.4789808917197452,0.6626650490344758,0.6629570747217806
Testing,Undersampling,Tomeklinks,Naive Bayes,0.5,0.5,2,10%,0.796373779637378,0.4872013651877133,0.6814730230193885,0.6817213463996591
Testing,Undersampling,Tomeklinks,XGBoost,0.5,0.5,2,10%,0.8278008298755186,0.5155038759689923,0.7042725565411971,0.704516129032258
Testing,Undersampling,Tomeklinks,Random Forest,0.5,0.5,2,10%,0.827433628318584,0.46984924623115576,0.686174623115578,0.6867167919799498
Testing,Undersampling,Tomeklinks,Logistic Regression,0.67,0.33,2,10%,0.9619095987811072,0.545821325648415,0.6936294788918608,0.5812832868374335
Testing,Undersampling,Tomeklinks,Decision Tree,0.67,0.33,2,10%,0.954140127388535,0.5654964137410343,0.7101675617092268,0.6111287758346582
Testing,Undersampling,Tomeklinks,Naive Bayes,0.67,0.33,2,10%,0.9479522184300341,0.5832020997375328,0.7225965249818888,0.6357051555176821
Testing,Undersampling,Tomeklinks,XGBoost,0.67,0.33,2,10%,0.9677002583979328,0.5842433697347894,0.7454798938226186,0.64
Testing,Undersampling,Tomeklinks,Random Forest,0.67,0.33,2,10%,0.9723618090452262,0.5944700460829493,0.75982005705508,0.6553884711779449
Testing,Undersampling,Tomeklinks,Logistic Regression,0.83,0.17,2,10%,0.9339766378872524,0.6021611001964636,0.6592375590652068,0.6588891706822216
Testing,Undersampling,Tomeklinks,Decision Tree,0.83,0.17,2,10%,0.943312101910828,0.6168263223656809,0.6795925588919219,0.6791732909379968
Testing,Undersampling,Tomeklinks,Naive Bayes,0.83,0.17,2,10%,0.9223549488054608,0.6284883720930232,0.6892625807857091,0.6889646357051555
Testing,Undersampling,Tomeklinks,XGBoost,0.83,0.17,2,10%,0.9315245478036176,0.6291448516579407,0.6919220677162418,0.6916129032258065
Testing,Undersampling,Tomeklinks,Random Forest,0.83,0.17,2,10%,0.9246231155778895,0.6323024054982818,0.6948115577889448,0.6942355889724311
Testing,Undersampling,Tomeklinks,Logistic Regression,0.17,0.83,3,15%,0.5980707395498392,0.9441624365482234,0.6555721028115864,0.6552306912286632
Testing,Undersampling,Tomeklinks,Decision Tree,0.17,0.83,3,15%,0.6221341636003397,0.9325413661434027,0.6837907846375075,0.6834745762711865
Testing,Undersampling,Tomeklinks,Naive Bayes,0.17,0.83,3,15%,0.6409657320872274,0.9357589539511085,0.7063933737424289,0.7061328790459966
Testing,Undersampling,Tomeklinks,XGBoost,0.17,0.83,3,15%,0.6375799883653287,0.9440137812230835,0.7043952067627446,0.7040860215053764
Testing,Undersampling,Tomeklinks,Random Forest,0.17,0.83,3,15%,0.6379310344827587,0.9280936454849499,0.701546822742475,0.7011686143572621
Testing,Undersampling,Tomeklinks,Logistic Regression,0.33,0.67,3,15%,0.5623610268849808,0.9414551607445009,0.6052650550515212,0.6048673314179482
Testing,Undersampling,Tomeklinks,Decision Tree,0.33,0.67,3,15%,0.5895642818719742,0.9299957573186254,0.642103253183223,0.6417372881355933
Testing,Undersampling,Tomeklinks,Naive Bayes,0.33,0.67,3,15%,0.6043833580980683,0.9249573621375782,0.6604367071606779,0.6601362862010222
Testing,Undersampling,Tomeklinks,XGBoost,0.33,0.67,3,15%,0.6040268456375839,0.9302325581395349,0.6609925677295613,0.6606451612903226
Testing,Undersampling,Tomeklinks,Random Forest,0.33,0.67,3,15%,0.6205357142857143,0.9297658862876255,0.6815496098104794,0.6811352253756261
Testing,Undersampling,Tomeklinks,Logistic Regression,0.5,0.5,3,15%,0.7056818181818182,0.4203045685279188,0.6227113659655124,0.6229508196721312
Testing,Undersampling,Tomeklinks,Decision Tree,0.5,0.5,3,15%,0.7723004694835681,0.4187526516758591,0.6478020558421614,0.6480932203389831
Testing,Undersampling,Tomeklinks,Naive Bayes,0.5,0.5,3,15%,0.7969924812030075,0.42183058555997727,0.6573134776920704,0.6575809199318569
Testing,Undersampling,Tomeklinks,XGBoost,0.5,0.5,3,15%,0.8170144462279294,0.4384151593453919,0.6702385075077475,0.6705376344086021
Testing,Undersampling,Tomeklinks,Random Forest,0.5,0.5,3,15%,0.8142414860681114,0.4397993311036789,0.6698996655518394,0.6702838063439065
Testing,Undersampling,Tomeklinks,Logistic Regression,0.67,0.33,3,15%,0.9458544839255499,0.5491159135559921,0.6778227693535703,0.5850937975325334
Testing,Undersampling,Tomeklinks,Decision Tree,0.67,0.33,3,15%,0.9469664828171405,0.5701149425287356,0.7074177197115729,0.6169491525423729
Testing,Undersampling,Tomeklinks,Naive Bayes,0.67,0.33,3,15%,0.9482660602615123,0.5824022346368715,0.7220521811482229,0.6345826235093697
Testing,Undersampling,Tomeklinks,XGBoost,0.67,0.33,3,15%,0.9448751076658053,0.5910560344827587,0.7272977400558782,0.6460215053763441
Testing,Undersampling,Tomeklinks,Random Forest,0.67,0.33,3,15%,0.9498327759197325,0.6023329798515377,0.7423429605140042,0.6619365609348915
Testing,Undersampling,Tomeklinks,Logistic Regression,0.83,0.17,3,15%,0.9505922165820643,0.583870297235502,0.6373487754078451,0.636978198411357
