Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Transmission,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,1,5%,0.6063701923076923,0.9308118081180812,0.6632841328413284,0.6632841328413284
Transmission,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,1,5%,0.6403861625100563,0.9212962962962963,0.7022666452579748,0.70213996529786
Transmission,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,1,5%,0.6430868167202572,0.9302325581395349,0.7069767441860464,0.7069767441860465
Transmission,Imbalanced,Imbalanced,XGBoost,0.17,0.83,1,5%,0.6414790996784566,0.9366197183098591,0.7065727699530515,0.7065727699530516
Transmission,Imbalanced,Imbalanced,Random Forest,0.17,0.83,1,5%,0.6835016835016835,0.9227272727272727,0.7467517642175177,0.7471526195899773
Transmission,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,1,5%,0.5800792303338993,0.9455719557195572,0.6305350553505535,0.6305350553505535
Transmission,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,1,5%,0.6049766718506998,0.9004629629629629,0.6565898629843716,0.6564488143435512
Transmission,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,1,5%,0.625133120340788,0.9100775193798449,0.6821705426356589,0.6821705426356589
Transmission,Imbalanced,Imbalanced,XGBoost,0.33,0.67,1,5%,0.626984126984127,0.9272300469483568,0.687793427230047,0.687793427230047
Transmission,Imbalanced,Imbalanced,Random Forest,0.33,0.67,1,5%,0.6578947368421053,0.9090909090909091,0.7171025321710254,0.7175398633257403
Transmission,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,1,5%,0.7021996615905245,0.3828413284132841,0.610239852398524,0.610239852398524
Transmission,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,1,5%,0.6470588235294118,0.9166666666666666,0.7086223506743737,0.708502024291498
Transmission,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,1,5%,0.8087774294670846,0.4,0.6527131782945736,0.6527131782945736
Transmission,Imbalanced,Imbalanced,XGBoost,0.5,0.5,1,5%,0.8009950248756219,0.3779342723004695,0.642018779342723,0.642018779342723
Transmission,Imbalanced,Imbalanced,Random Forest,0.5,0.5,1,5%,0.8350515463917526,0.36818181818181817,0.6475612287256123,0.6469248291571754
Transmission,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,1,5%,0.9289667896678967,0.5647784632641615,0.6823892316320808,0.606549815498155
Transmission,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,1,5%,0.9166666666666666,0.592814371257485,0.7048041321936279,0.6437246963562753
Transmission,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,1,5%,0.9302325581395349,0.5988023952095808,0.7212761976047903,0.6534883720930232
Transmission,Imbalanced,Imbalanced,XGBoost,0.67,0.33,1,5%,0.9413145539906104,0.6112804878048781,0.7418647336983575,0.6713615023474179
Transmission,Imbalanced,Imbalanced,Random Forest,0.67,0.33,1,5%,0.9181818181818182,0.6495176848874598,0.7544463424437299,0.7107061503416856
Transmission,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,1,5%,0.9345018450184502,0.6029761904761904,0.6595940959409594,0.6595940959409594
Transmission,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,1,5%,0.9143518518518519,0.63915857605178,0.6993724577178334,0.6992481203007519
Transmission,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,1,5%,0.9162790697674419,0.6437908496732027,0.7046511627906977,0.7046511627906977
Transmission,Imbalanced,Imbalanced,XGBoost,0.83,0.17,1,5%,0.931924882629108,0.6392914653784219,0.7030516431924883,0.7030516431924883
Transmission,Imbalanced,Imbalanced,Random Forest,0.83,0.17,1,5%,0.9045454545454545,0.6791808873720137,0.7376608551266085,0.7380410022779044
Transmission,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,2,10%,0.6275622831914223,0.9183202584217812,0.6867892805024035,0.6867358708189159
Transmission,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,2,10%,0.6236647493837305,0.8779641411220359,0.6740890688259109,0.6740890688259109
Transmission,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,2,10%,0.6414782129067843,0.9015503875968992,0.6988372093023256,0.6988372093023256
Transmission,Imbalanced,Imbalanced,XGBoost,0.17,0.83,2,10%,0.6547122602168474,0.9213615023474179,0.7174375079304657,0.7175572519083969
Transmission,Imbalanced,Imbalanced,Random Forest,0.17,0.83,2,10%,0.6688851913477537,0.9157175398633257,0.7312072892938497,0.7312072892938497
Transmission,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,2,10%,0.6,0.9137055837563451,0.6524247475977298,0.6523644752018455
Transmission,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,2,10%,0.6062278281434765,0.8895315211104685,0.6558704453441295,0.6558704453441295
Transmission,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,2,10%,0.6254763200870985,0.8906976744186047,0.6786821705426357,0.6786821705426357
Transmission,Imbalanced,Imbalanced,XGBoost,0.33,0.67,2,10%,0.6202118989405053,0.8931924882629108,0.6728007094663555,0.6729301233118027
Transmission,Imbalanced,Imbalanced,Random Forest,0.33,0.67,2,10%,0.6386138613861386,0.8815489749430524,0.6913439635535308,0.6913439635535308
Transmission,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,2,10%,0.6376623376623377,0.9063221042916474,0.6957809783450857,0.6957324106113033
Transmission,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,2,10%,0.7967914438502673,0.4308849045691151,0.6604973973395025,0.6604973973395026
Transmission,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,2,10%,0.8397260273972603,0.4751937984496124,0.6922480620155039,0.6922480620155039
Transmission,Imbalanced,Imbalanced,XGBoost,0.5,0.5,2,10%,0.869198312236287,0.4835680751173709,0.7053563054787795,0.7052260716382853
Transmission,Imbalanced,Imbalanced,Random Forest,0.5,0.5,2,10%,0.853448275862069,0.4510250569476082,0.6867881548974943,0.6867881548974943
