Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Transmission,Undersampling,NearMiss,Logistic Regression,0.17,0.83,1,5%,0.7685544878347986,0.34685121107266437,0.6211995386389849,0.621199538638985
Transmission,Undersampling,NearMiss,Decision Tree,0.17,0.83,1,5%,0.7759006211180124,0.3612701717855284,0.6284601668737916,0.6284524394828932
Transmission,Undersampling,NearMiss,Naive Bayes,0.17,0.83,1,5%,0.7878347854146499,0.3784977908689249,0.6382878041307886,0.6382978723404256
Transmission,Undersampling,NearMiss,XGBoost,0.17,0.83,1,5%,0.7924808310660401,0.37627715795654726,0.6388725778038755,0.6388725778038755
Transmission,Undersampling,NearMiss,Random Forest,0.17,0.83,1,5%,0.7911627906976744,0.38773649418737177,0.6426943241395031,0.6426943241395031
Transmission,Undersampling,NearMiss,Logistic Regression,0.33,0.67,1,5%,0.7908336256284345,0.3120645905420992,0.6147635524798154,0.6147635524798154
Transmission,Undersampling,NearMiss,Decision Tree,0.33,0.67,1,5%,0.8025337372624621,0.33709294927410494,0.6270726199401528,0.6270642334499812
Transmission,Undersampling,NearMiss,Naive Bayes,0.33,0.67,1,5%,0.7986230636833046,0.3596620417021936,0.634489213379387,0.6344998643568577
Transmission,Undersampling,NearMiss,XGBoost,0.33,0.67,1,5%,0.7975006375924509,0.3672342924251321,0.6369935408103348,0.6369935408103347
Transmission,Undersampling,NearMiss,Random Forest,0.33,0.67,1,5%,0.8015678588926997,0.37291999088215183,0.6403008889901982,0.6403008889901983
Transmission,Undersampling,NearMiss,Logistic Regression,0.5,0.5,1,5%,0.7381414212660906,0.38625144175317183,0.6246136101499424,0.6246136101499423
Transmission,Undersampling,NearMiss,Decision Tree,0.5,0.5,1,5%,0.7486613484865042,0.39626352015732547,0.631611630509019,0.6316048240159644
Transmission,Undersampling,NearMiss,Naive Bayes,0.5,0.5,1,5%,0.5016486742851981,0.8608634989535695,0.5028623803867212,0.5028485059876758
Transmission,Undersampling,NearMiss,XGBoost,0.5,0.5,1,5%,0.7683231223054232,0.397651203758074,0.6388725778038755,0.6388725778038755
Transmission,Undersampling,NearMiss,Random Forest,0.5,0.5,1,5%,0.7696056712450156,0.39594255755641666,0.6387052655573284,0.6387052655573284
Transmission,Undersampling,NearMiss,Logistic Regression,0.67,0.33,1,5%,0.25333333333333335,0.8232383808095952,0.6910085033818969,0.5994694348327566
Transmission,Undersampling,NearMiss,Decision Tree,0.67,0.33,1,5%,0.2676268147376945,0.8374660633484163,0.7008134392192997,0.6078317957023455
Transmission,Undersampling,NearMiss,Naive Bayes,0.67,0.33,1,5%,0.2746298736532052,0.8605780908428468,0.7145277247537115,0.615083517420455
Transmission,Undersampling,NearMiss,XGBoost,0.67,0.33,1,5%,0.27610099823840284,0.8505788712011577,0.7092513029775591,0.6137991779213153
Transmission,Undersampling,NearMiss,Random Forest,0.67,0.33,1,5%,0.28675632550718033,0.8646048109965636,0.7185436952919695,0.6209254615910645
Transmission,Undersampling,NearMiss,Logistic Regression,0.83,0.17,1,5%,0.3399307958477509,0.7827472644215446,0.6227912341407151,0.6227912341407151
Transmission,Undersampling,NearMiss,Decision Tree,0.83,0.17,1,5%,0.35745271559951414,0.7906857727737974,0.6314103004189149,0.6314023773028313
Transmission,Undersampling,NearMiss,Naive Bayes,0.83,0.17,1,5%,0.37687001007673826,0.8001974983541804,0.6413880355762702,0.6413982870208891
Transmission,Undersampling,NearMiss,XGBoost,0.83,0.17,1,5%,0.38672930123311805,0.793111753371869,0.6429242513211979,0.6429242513211979
Transmission,Undersampling,NearMiss,Random Forest,0.83,0.17,1,5%,0.3963984499658081,0.7922551252847381,0.6462274903122864,0.6462274903122863
Transmission,Undersampling,NearMiss,Logistic Regression,0.17,0.83,2,10%,0.6342548458849698,0.9206642066420664,0.6947575763251865,0.6948096885813149
Transmission,Undersampling,NearMiss,Decision Tree,0.17,0.83,2,10%,0.633215269578906,0.9305957200694043,0.6957779063042221,0.6957779063042221
Transmission,Undersampling,NearMiss,Naive Bayes,0.17,0.83,2,10%,0.6638842515303284,0.9248062015503876,0.7282945736434108,0.7282945736434109
Transmission,Undersampling,NearMiss,XGBoost,0.17,0.83,2,10%,0.6546052631578947,0.9342723004694836,0.720367642596669,0.7204932472108044
Transmission,Undersampling,NearMiss,Random Forest,0.17,0.83,2,10%,0.6666666666666666,0.9567198177676538,0.7391799544419134,0.7391799544419134
Transmission,Undersampling,NearMiss,Logistic Regression,0.33,0.67,2,10%,0.5795262267343486,0.9478782287822878,0.6299151180828837,0.6299884659746251
Transmission,Undersampling,NearMiss,Decision Tree,0.33,0.67,2,10%,0.5990497076023392,0.9479467900520532,0.656737998843262,0.656737998843262
Transmission,Undersampling,NearMiss,Naive Bayes,0.33,0.67,2,10%,0.6225823314166231,0.9232558139534883,0.6817829457364342,0.681782945736434
Transmission,Undersampling,NearMiss,XGBoost,0.33,0.67,2,10%,0.6269592476489029,0.9389671361502347,0.6898125927519682,0.6899588960657663
Transmission,Undersampling,NearMiss,Random Forest,0.33,0.67,2,10%,0.6390168970814132,0.9476082004555809,0.7061503416856492,0.7061503416856492
Transmission,Undersampling,NearMiss,Logistic Regression,0.5,0.5,2,10%,0.7603053435114504,0.45940959409594095,0.6572544048006239,0.6572087658592849
Transmission,Undersampling,NearMiss,Decision Tree,0.5,0.5,2,10%,0.8058943089430894,0.45864661654135336,0.6740890688259109,0.6740890688259109
