Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Transmission,Oversampling,ROS,Logistic Regression,0.17,0.83,1,5%,0.6067330178930767,0.9139517736694066,0.6607691032856291,0.6607725603178721
Transmission,Oversampling,ROS,Decision Tree,0.17,0.83,1,5%,0.6201704808672288,0.9166666666666666,0.6776129580808252,0.6776170504151331
Transmission,Oversampling,ROS,Naive Bayes,0.17,0.83,1,5%,0.6236661937951027,0.927788227737762,0.6839574282384902,0.6839630215860345
Transmission,Oversampling,ROS,XGBoost,0.17,0.83,1,5%,0.6281906376565884,0.9272209092172946,0.6892117336299179,0.6892117336299179
Transmission,Oversampling,ROS,Random Forest,0.17,0.83,1,5%,0.6341574673843627,0.9379301038996087,0.6984212656861423,0.6984212656861423
Transmission,Oversampling,ROS,Logistic Regression,0.33,0.67,1,5%,0.5829960926597823,0.9126955951828286,0.6299236346114592,0.6299274956647596
Transmission,Oversampling,ROS,Decision Tree,0.33,0.67,1,5%,0.6002779272010041,0.9169405642289784,0.653166758986472,0.6531712745014123
Transmission,Oversampling,ROS,Naive Bayes,0.33,0.67,1,5%,0.6096696696696696,0.9314125797128046,0.6675323129799111,0.6675383662514623
Transmission,Oversampling,ROS,XGBoost,0.33,0.67,1,5%,0.6177172217634646,0.9359794244404281,0.6783678576393717,0.6783678576393716
Transmission,Oversampling,ROS,Random Forest,0.33,0.67,1,5%,0.6251891410769915,0.9477803265416274,0.6897854540547834,0.6897854540547834
Transmission,Oversampling,ROS,Logistic Regression,0.5,0.5,1,5%,0.7404238686701989,0.46557797864496575,0.6511761213340619,0.6511735871212638
Transmission,Oversampling,ROS,Decision Tree,0.5,0.5,1,5%,0.7700795339979837,0.47072719802793755,0.6650893496901765,0.6650860224257468
Transmission,Oversampling,ROS,Naive Bayes,0.5,0.5,1,5%,0.7765981141881357,0.4798825526448594,0.6709148494551146,0.6709104672768563
Transmission,Oversampling,ROS,XGBoost,0.5,0.5,1,5%,0.7886783942264322,0.48616710690949533,0.677950785485889,0.677950785485889
Transmission,Oversampling,ROS,Random Forest,0.5,0.5,1,5%,0.783413147583805,0.485629469707192,0.6756847928754555,0.6756847928754554
Transmission,Oversampling,ROS,Logistic Regression,0.67,0.33,1,5%,0.9454654687457331,0.5662648631850967,0.7005844818570985,0.6106339691685897
Transmission,Oversampling,ROS,Decision Tree,0.67,0.33,1,5%,0.9527526705012326,0.5704446221019618,0.7135860984263961,0.6176495763074553
Transmission,Oversampling,ROS,Naive Bayes,0.67,0.33,1,5%,0.9579758682387485,0.5755512679162073,0.7251474375954617,0.6257426651067832
Transmission,Oversampling,ROS,XGBoost,0.67,0.33,1,5%,0.9571110802168775,0.5777283598372005,0.7264021430690356,0.628771027387738
Transmission,Oversampling,ROS,Random Forest,0.67,0.33,1,5%,0.9630279314532452,0.5779883381924198,0.7336182596378429,0.6299419781406018
Transmission,Oversampling,ROS,Logistic Regression,0.83,0.17,1,5%,0.9161637401349026,0.6035512539128558,0.6571779430370291,0.6571814793069077
Transmission,Oversampling,ROS,Decision Tree,0.83,0.17,1,5%,0.9209120788824979,0.6197267469990554,0.6779039115267079,0.6779080715569631
Transmission,Oversampling,ROS,Naive Bayes,0.83,0.17,1,5%,0.9341652520989127,0.6266966236804038,0.688843499604237,0.688849127153442
Transmission,Oversampling,ROS,XGBoost,0.83,0.17,1,5%,0.9404281940775754,0.633380149812734,0.698039760878632,0.698039760878632
Transmission,Oversampling,ROS,Random Forest,0.83,0.17,1,5%,0.9537174470381865,0.6404494382022472,0.7091485629469707,0.7091485629469707
Transmission,Oversampling,ROS,Logistic Regression,0.17,0.83,2,10%,0.6162646876932591,0.9197046608214121,0.6736438433258352,0.6735870818915801
Transmission,Oversampling,ROS,Decision Tree,0.17,0.83,2,10%,0.6417791898332009,0.9346443030653557,0.7064777327935222,0.7064777327935222
Transmission,Oversampling,ROS,Naive Bayes,0.17,0.83,2,10%,0.6470588235294118,0.9465116279069767,0.7151162790697674,0.7151162790697675
Transmission,Oversampling,ROS,XGBoost,0.17,0.83,2,10%,0.6482084690553745,0.9353701527614571,0.7141639496201652,0.714034057545508
Transmission,Oversampling,ROS,Random Forest,0.17,0.83,2,10%,0.6650563607085346,0.9407744874715261,0.7334851936218678,0.7334851936218679
Transmission,Oversampling,ROS,Logistic Regression,0.33,0.67,2,10%,0.5798816568047337,0.9497000461467466,0.6309847094202368,0.6309111880046137
Transmission,Oversampling,ROS,Decision Tree,0.33,0.67,2,10%,0.6061618411284335,0.9444765760555234,0.6654135338345865,0.6654135338345865
Transmission,Oversampling,ROS,Naive Bayes,0.33,0.67,2,10%,0.6139112903225806,0.9441860465116279,0.6751937984496124,0.6751937984496124
Transmission,Oversampling,ROS,XGBoost,0.33,0.67,2,10%,0.6209613869188337,0.9259694477085781,0.6807077285491248,0.6805637110980622
Transmission,Oversampling,ROS,Random Forest,0.33,0.67,2,10%,0.6303030303030303,0.9476082004555809,0.6958997722095672,0.6958997722095672
Transmission,Oversampling,ROS,Logistic Regression,0.5,0.5,2,10%,0.6283354510800508,0.912782648823258,0.6865573760721456,0.6865051903114187
Transmission,Oversampling,ROS,Decision Tree,0.5,0.5,2,10%,0.7855044074436827,0.46385193753614806,0.6685945633314054,0.6685945633314054
Transmission,Oversampling,ROS,Naive Bayes,0.5,0.5,2,10%,0.8313413014608234,0.48527131782945737,0.6934108527131783,0.6934108527131783
Transmission,Oversampling,ROS,XGBoost,0.5,0.5,2,10%,0.6545754328112119,0.9330199764982373,0.7206179694697759,0.7204932472108044
Transmission,Oversampling,ROS,Random Forest,0.5,0.5,2,10%,0.8571428571428571,0.5056947608200456,0.7107061503416857,0.7107061503416856
Transmission,Oversampling,ROS,Logistic Regression,0.67,0.33,2,10%,0.9464697738809414,0.5735458612975392,0.7103565933628672,0.6214532871972318
Transmission,Oversampling,ROS,Decision Tree,0.67,0.33,2,10%,0.9525737420474263,0.6015339663988313,0.7438225387549711,0.6607865818392135
Transmission,Oversampling,ROS,Naive Bayes,0.67,0.33,2,10%,0.9612403100775194,0.6111384918679152,0.7601971951172606,0.6748062015503876
Transmission,Oversampling,ROS,XGBoost,0.67,0.33,2,10%,0.9576968272620446,0.6178923426838514,0.7620711713419257,0.6829125073399882
Transmission,Oversampling,ROS,Random Forest,0.67,0.33,2,10%,0.958997722095672,0.6237037037037036,0.7675168764823938,0.6902050113895216
Transmission,Oversampling,ROS,Logistic Regression,0.83,0.17,2,10%,0.9497000461467466,0.6126823459362906,0.6748038976121187,0.6747404844290658
Transmission,Oversampling,ROS,Decision Tree,0.83,0.17,2,10%,0.9369577790630422,0.6347962382445141,0.6989589358010411,0.6989589358010411
Transmission,Oversampling,ROS,Naive Bayes,0.83,0.17,2,10%,0.9550387596899225,0.6450261780104712,0.7147286821705428,0.7147286821705426
Transmission,Oversampling,ROS,XGBoost,0.83,0.17,2,10%,0.9494712103407755,0.6479550922213312,0.717106497189167,0.7169700528479155
Transmission,Oversampling,ROS,Random Forest,0.83,0.17,2,10%,0.9567198177676538,0.6656101426307448,0.7380410022779043,0.7380410022779044
Transmission,Oversampling,ROS,Logistic Regression,0.17,0.83,3,15%,0.6139044072004965,0.9126422639187942,0.6693325130729006,0.6693325130729006
Transmission,Oversampling,ROS,Decision Tree,0.17,0.83,3,15%,0.8322784810126582,0.40570767450829154,0.6619745468569225,0.6619745468569225
Transmission,Oversampling,ROS,Naive Bayes,0.17,0.83,3,15%,0.6456204379562044,0.9142118863049096,0.7062015503875969,0.7062015503875969
Transmission,Oversampling,ROS,XGBoost,0.17,0.83,3,15%,0.6452316076294278,0.9264475743348983,0.7083295036905501,0.7084148727984344
Transmission,Oversampling,ROS,Random Forest,0.17,0.83,3,15%,0.6323529411764706,0.9148936170212766,0.6914893617021276,0.6914893617021277
Transmission,Oversampling,ROS,Logistic Regression,0.33,0.67,3,15%,0.567741935483871,0.9203322054752384,0.6098123654260228,0.6098123654260228
Transmission,Oversampling,ROS,Decision Tree,0.33,0.67,3,15%,0.5956920029710324,0.9278827612803703,0.6490551484766679,0.6490551484766679
Transmission,Oversampling,ROS,Naive Bayes,0.33,0.67,3,15%,0.6099050203527816,0.9291989664082687,0.6674418604651162,0.6674418604651163
Transmission,Oversampling,ROS,XGBoost,0.33,0.67,3,15%,0.6128205128205129,0.935054773082942,0.6719126645367726,0.6720156555772994
Transmission,Oversampling,ROS,Random Forest,0.33,0.67,3,15%,0.6056338028169014,0.9148936170212766,0.6595744680851063,0.6595744680851063
Transmission,Oversampling,ROS,Logistic Regression,0.5,0.5,3,15%,0.7359705611775529,0.4921562596124269,0.6577976007382343,0.6577976007382343
Transmission,Oversampling,ROS,Decision Tree,0.5,0.5,3,15%,0.7854567307692307,0.5040493636714231,0.6831854994215194,0.6831854994215195
Transmission,Oversampling,ROS,Naive Bayes,0.5,0.5,3,15%,0.8173913043478261,0.48578811369509045,0.6886304909560724,0.6886304909560723
Transmission,Oversampling,ROS,XGBoost,0.5,0.5,3,15%,0.8225165562913908,0.4859154929577465,0.6904910276065162,0.6904109589041096
Transmission,Oversampling,ROS,Random Forest,0.5,0.5,3,15%,0.8014888337468983,0.4908814589665654,0.6846504559270516,0.6846504559270516
Transmission,Oversampling,ROS,Logistic Regression,0.67,0.33,3,15%,0.927406951707167,0.5561704482567792,0.6689270372643749,0.59366348815749
