Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Transmission,Undersampling,RUS,Logistic Regression,0.17,0.83,1,5%,0.5988773747841105,0.8958708189158017,0.6479123414071513,0.6479123414071511
Transmission,Undersampling,RUS,Decision Tree,0.17,0.83,1,5%,0.6131010891361617,0.9019551133734383,0.6664035500929312,0.6663967377158226
Transmission,Undersampling,RUS,Naive Bayes,0.17,0.83,1,5%,0.6241685144124168,0.9164405860010851,0.6823328336919082,0.6823237608030074
Transmission,Undersampling,RUS,XGBoost,0.17,0.83,1,5%,0.6260869565217392,0.9132119788608338,0.6839107457428067,0.6839107457428069
Transmission,Undersampling,RUS,Random Forest,0.17,0.83,1,5%,0.6312323612417686,0.9177114201048553,0.690790973330294,0.690790973330294
Transmission,Undersampling,RUS,Logistic Regression,0.33,0.67,1,5%,0.5746200652576502,0.9018685121107266,0.6171164936562861,0.6171164936562861
Transmission,Undersampling,RUS,Decision Tree,0.33,0.67,1,5%,0.5974746508513488,0.903227672373901,0.647374146210665,0.64736674668132
Transmission,Undersampling,RUS,Naive Bayes,0.33,0.67,1,5%,0.6067619343481413,0.9083791954112085,0.6598553859554881,0.659845754369647
Transmission,Undersampling,RUS,XGBoost,0.33,0.67,1,5%,0.6147371764332221,0.9092190252495596,0.6697005284791544,0.6697005284791544
Transmission,Undersampling,RUS,Random Forest,0.33,0.67,1,5%,0.6226181254841209,0.9161157966719854,0.6804194210166401,0.6804194210166401
Transmission,Undersampling,RUS,Logistic Regression,0.5,0.5,1,5%,0.723184169102766,0.445121107266436,0.637370242214533,0.6373702422145329
Transmission,Undersampling,RUS,Decision Tree,0.5,0.5,1,5%,0.6144133644133644,0.914796390559926,0.6703659782633629,0.6703589091014258
Transmission,Undersampling,RUS,Naive Bayes,0.5,0.5,1,5%,0.6251634841747319,0.9262847841252616,0.6854722634004079,0.6854629306669767
Transmission,Undersampling,RUS,XGBoost,0.5,0.5,1,5%,0.8017568376921541,0.4716382853787434,0.6775102759835584,0.6775102759835584
Transmission,Undersampling,RUS,Random Forest,0.5,0.5,1,5%,0.8041277258566978,0.4707089126966036,0.6780259858673353,0.6780259858673353
