Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Transmission,Oversampling,SMOTE,Logistic Regression,0.17,0.83,1,5%,0.6052679614485982,0.9055135312269587,0.6574784871711832,0.65748187391619
Transmission,Oversampling,SMOTE,Decision Tree,0.17,0.83,1,5%,0.6169740160577524,0.9129348123801698,0.6730764382714353,0.6730805443807242
Transmission,Oversampling,SMOTE,Naive Bayes,0.17,0.83,1,5%,0.622390420944877,0.9204936459145754,0.680998336996561,0.6810038308902806
Transmission,Oversampling,SMOTE,XGBoost,0.17,0.83,1,5%,0.6272411527269314,0.9289587098568052,0.6884471013485332,0.6884471013485333
Transmission,Oversampling,SMOTE,Random Forest,0.17,0.83,1,5%,0.6297945828031267,0.9349615436513291,0.692686547024693,0.692686547024693
Transmission,Oversampling,SMOTE,Logistic Regression,0.33,0.67,1,5%,0.5848766522937725,0.9038204210928753,0.6311526596152017,0.6311563827027322
Transmission,Oversampling,SMOTE,Decision Tree,0.33,0.67,1,5%,0.6000987632151916,0.9153314160503971,0.652670330204813,0.6526748266712317
Transmission,Oversampling,SMOTE,Naive Bayes,0.33,0.67,1,5%,0.6071330923231157,0.916869293939533,0.6617747093665365,0.6617805610992591
Transmission,Oversampling,SMOTE,XGBoost,0.33,0.67,1,5%,0.6142087573092684,0.927290421242875,0.6724245794522452,0.6724245794522452
Transmission,Oversampling,SMOTE,Random Forest,0.33,0.67,1,5%,0.6177498879426266,0.9298340304952099,0.6772365402779652,0.6772365402779652
Transmission,Oversampling,SMOTE,Logistic Regression,0.5,0.5,1,5%,0.7476229658072774,0.44662606843441927,0.6479266122389475,0.6479238636208474
Transmission,Oversampling,SMOTE,Decision Tree,0.5,0.5,1,5%,0.7736156351791531,0.45535469734319367,0.6610494854881135,0.6610459642215184
Transmission,Oversampling,SMOTE,Naive Bayes,0.5,0.5,1,5%,0.7765754781681018,0.4675414047804744,0.6665106546750601,0.6665060904273622
Transmission,Oversampling,SMOTE,XGBoost,0.5,0.5,1,5%,0.784971098265896,0.47198665369108855,0.6713471430557487,0.6713471430557486
Transmission,Oversampling,SMOTE,Random Forest,0.5,0.5,1,5%,0.7845365418894831,0.4751045742814735,0.6723114289569558,0.6723114289569558
Transmission,Oversampling,SMOTE,Logistic Regression,0.67,0.33,1,5%,0.9425161801250717,0.5697353868502286,0.7017186967431741,0.6153583571145732
Transmission,Oversampling,SMOTE,Decision Tree,0.67,0.33,1,5%,0.9465557381539305,0.5751404202205117,0.7121231342281872,0.6236583069417102
Transmission,Oversampling,SMOTE,Naive Bayes,0.67,0.33,1,5%,0.9551773179795384,0.5747888023852907,0.7211211682527457,0.6242745394902851
Transmission,Oversampling,SMOTE,XGBoost,0.67,0.33,1,5%,0.956207423884332,0.5774979009235937,0.7251382881031538,0.6283191992214653
Transmission,Oversampling,SMOTE,Random Forest,0.67,0.33,1,5%,0.9568209418432061,0.5771140229510865,0.7254406406668648,0.6278504925111321
Transmission,Oversampling,SMOTE,Logistic Regression,0.83,0.17,1,5%,0.9134875337939321,0.6064358230601885,0.6603185115580616,0.6603219684039489
Transmission,Oversampling,SMOTE,Decision Tree,0.83,0.17,1,5%,0.9242330868255273,0.6196630245156551,0.6784687877377542,0.6784729949499273
