Year,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Training Data,Precision,Recall,AUC,Accuracy
Transmission,Undersampling,Tomeklinks,Logistic Regression,0.17,0.83,1,5%,0.6076098567166378,0.9009776612594899,0.6595742780750602,0.6595709818807434
Transmission,Undersampling,Tomeklinks,Decision Tree,0.17,0.83,1,5%,0.6163056916525482,0.9216310599835661,0.6739151294028831,0.6739193700248224
Transmission,Undersampling,Tomeklinks,Naive Bayes,0.17,0.83,1,5%,0.6241645877606332,0.9297609762811396,0.6849438025101788,0.6849494184846191
Transmission,Undersampling,Tomeklinks,XGBoost,0.17,0.83,1,5%,0.625424596342655,0.9343111358264979,0.6873696649520367,0.6873696649520367
Transmission,Undersampling,Tomeklinks,Random Forest,0.17,0.83,1,5%,0.6286363636363637,0.9330724598569694,0.6909323977870733,0.6909323977870733
Transmission,Undersampling,Tomeklinks,Logistic Regression,0.33,0.67,1,5%,0.5819636030512834,0.9021246381560981,0.6270638483388153,0.6270600925761569
Transmission,Undersampling,Tomeklinks,Decision Tree,0.33,0.67,1,5%,0.5986055554314063,0.9171117502054231,0.6510610964537575,0.6510656509458187
Transmission,Undersampling,Tomeklinks,Naive Bayes,0.33,0.67,1,5%,0.6082362828670909,0.929669220534936,0.6654218739855814,0.6654279356777464
Transmission,Undersampling,Tomeklinks,XGBoost,0.33,0.67,1,5%,0.6171405139420448,0.9415403864868622,0.6787154177672738,0.6787154177672737
Transmission,Undersampling,Tomeklinks,Random Forest,0.33,0.67,1,5%,0.6219263204616068,0.9453515045203077,0.6853326136823641,0.6853326136823641
Transmission,Undersampling,Tomeklinks,Logistic Regression,0.5,0.5,1,5%,0.6085676673858192,0.9089791905620187,0.6621686689859165,0.6621652989609077
Transmission,Undersampling,Tomeklinks,Decision Tree,0.5,0.5,1,5%,0.7653055540081333,0.47035058887975895,0.6630521732702969,0.6630488744329367
Transmission,Undersampling,Tomeklinks,Naive Bayes,0.5,0.5,1,5%,0.7712596970816402,0.47891911730972153,0.6684373527455196,0.668433005299016
Transmission,Undersampling,Tomeklinks,XGBoost,0.5,0.5,1,5%,0.7753157544870375,0.48644515501181707,0.6727373835673571,0.6727373835673571
Transmission,Undersampling,Tomeklinks,Random Forest,0.5,0.5,1,5%,0.7822562979189486,0.48185130211847255,0.6738631763594657,0.6738631763594657
Transmission,Undersampling,Tomeklinks,Logistic Regression,0.67,0.33,1,5%,0.9425419192746737,0.5661559660116138,0.6973753353479657,0.6101424143534006
Transmission,Undersampling,Tomeklinks,Decision Tree,0.67,0.33,1,5%,0.953266228430567,0.5704714487675948,0.7142011698459123,0.6177522896516305
Transmission,Undersampling,Tomeklinks,Naive Bayes,0.67,0.33,1,5%,0.9557278524567601,0.5751518498067366,0.7221344492489535,0.6248709655219875
Transmission,Undersampling,Tomeklinks,XGBoost,0.67,0.33,1,5%,0.9598915612400946,0.575950950950951,0.7278211802294371,0.6265813985819547
Transmission,Undersampling,Tomeklinks,Random Forest,0.67,0.33,1,5%,0.9637026042369451,0.5752718485702779,0.7317572371226961,0.6260963432735124
Transmission,Undersampling,Tomeklinks,Logistic Regression,0.83,0.17,1,5%,0.9037358676060954,0.6048471112898214,0.6566659894572162,0.6566626158908748
Transmission,Undersampling,Tomeklinks,Decision Tree,0.83,0.17,1,5%,0.9219049575458779,0.6183150014925716,0.6763974063587916,0.6764016091757254
Transmission,Undersampling,Tomeklinks,Naive Bayes,0.83,0.17,1,5%,0.9343487635913199,0.6269934117357305,0.689233475207295,0.6892390980203243
Transmission,Undersampling,Tomeklinks,XGBoost,0.83,0.17,1,5%,0.9442513554844988,0.632078544507003,0.6973098846100374,0.6973098846100375
Transmission,Undersampling,Tomeklinks,Random Forest,0.83,0.17,1,5%,0.9465659155309675,0.6343823476216314,0.700512751315612,0.700512751315612
