,sentence,label,data
0,Leveraging Knowledge across Media for Spammer Detection in Microblogging,null,null
1,"Xia Hu, Jiliang Tang, and Huan Liu",null,null
2,"Computer Science and Engineering Arizona State University Tempe, AZ 85287, USA",null,null
3,"{xia.hu, jiliang.tang, huan.liu}@asu.edu",null,null
4,ABSTRACT,null,null
5,"While microblogging has emerged as an important information sharing and communication platform, it has also become a convenient venue for spammers to overwhelm other users with unwanted content. Currently, spammer detection in microblogging focuses on using social networking information, but little on content analysis due to the distinct nature of microblogging messages. First, label information is hard to obtain. Second, the texts in microblogging are short and noisy. As we know, spammer detection has been extensively studied for years in various media, e.g., emails, SMS and the web. Motivated by abundant resources available in the other media, we investigate whether we can take advantage of the existing resources for spammer detection in microblogging. While people accept that texts in microblogging are different from those in other media, there is no quantitative analysis to show how different they are. In this paper, we first perform a comprehensive linguistic study to compare spam across different media. Inspired by the findings, we present an optimization formulation that enables the design of spammer detection in microblogging using knowledge from external media. We conduct experiments on real-world Twitter datasets to verify (1) whether email, SMS and web spam resources help and (2) how different media help for spammer detection in microblogging.",null,null
6,Categories and Subject Descriptors,null,null
7,H.3.3 [Information Storage and Retrieval]: Information Search and Retrieval--Classification; I.2.7 [Artificial Intelligence]: Natural Language Processing,null,null
8,General Terms,null,null
9,"Algorithm, Performance, Experimentation",null,null
10,Keywords,null,null
11,"Spammer Detection, Twitter, Emails, SMS, Web, CrossMedia Mining, Social Media",null,null
12,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. SIGIR'14, July 6­11, 2014, Gold Coast, Queensland, Australia. Copyright 2014 ACM 978-1-4503-2257-7/14/07 ...$15.00. http://dx.doi.org/10.1145/2600428.2609632 .",null,null
13,1. INTRODUCTION,null,null
14,"Microblogging ­ a style of communicating through shortform content ­ has emerged as a popular social networking platform. Microblogging systems have been increasingly used for large-scale information dissemination and sharing in various fields such as marketing, journalism or public relations. With microblogging's growing popularity, activities of spamming have become rampant in launching various attacks in the medium. For example, the spammers spread ads to generate sales, disseminate pornography, viruses, phishing, or simply to compromise a system's reputation [3]. To improve user experience and the overall value of a system, it is essential to detect spammers in microblogging.",null,null
15,"Existing methods for spammer detection in social media [26] focus on using social networking information. These network-based methods characterize the spammers by analyzing the network features, e.g., social status. The assumption behind this strategy is that it is difficult for the spammers to establish a large number of social relations with legitimate users. Different from other social media sites, in microblogging, users can follow anyone without prior consent from the followee. Many users just follow back when they are followed by someone for the sake of courtesy [20]. So, the spammers can easily enhance their influence score to fool the system. In this case, content analysis could complement network-based methods in spammer detection; thus, we explore the use of content information in this work.",null,null
16,"A straightforward way to perform content-based spammer detection [22] is to model this task as a supervised learning problem. These methods extract effective textual features from the messages and build a classifier or a regressor based on the features. Given a new user, the built model can output a class label or score to determine whether it is a spammer based on microblogging messages the user posted. Content-based methods become difficult to be directly applied due to the distinct features of microblogging data. First, in microblogging, it is time-consuming and labor intensive to obtain labeled data, which is essential in building an effective supervised spammer detection model. Given the size and dynamic nature of microblogging, a manual labeling process is neither scalable nor sensible. Second, the texts in microblogging are short and noisy; thus, we lack sufficient aggregated information to evaluate the given messages. These present great challenges to directly making use of existing content-based methods for effective spammer detection in microblogging.",null,null
17,"While the problem of spamming in microblogging is relatively new, it has been extensively studied for years in other",null,null
18,547,null,null
19,"platforms, e.g., email communication [4], SMS [14] and the web [31]. Similarly, the spammers in these platforms unfairly overwhelm other users by spreading unwanted information, which leads to phishing, malware, and scams [20]. Also, it has been reported in Natural Language Processing (NLP) literature that microblogging is not as noisy as was expected [2]. Although microblogging is an informal communication medium, it has been shown to be similar to other platforms [21] and it is seemingly possible to employ NLP tools to ""clean"" it [11]. Motivated by the previous findings, we explore the possibility of using knowledge learned from other platforms to facilitate spammer detection in the context of microblogging.",null,null
20,"In this paper, we explore the use of resources available in other media to help spammer detection in microblogging. To study this problem, we need to answer the following questions: Are the resources from other media potentially helpful for spammer detection in microblogging? How do we explicitly model and make use of the resources from other media for spammer detection? Is the knowledge learned from other media helpful for microblogging spammer detection? By answering the above questions, this paper presents the following contributions:",null,null
21,· Conducting a quantitative analysis of linguistic variation of spam resources from different media;,null,null
22,· Formally defining the problem of leveraging knowledge across media for spammer detection in microblogging;,null,null
23,· Presenting a novel framework of leveraging knowledge from existing corpora to help spammer detection in microblogging; and,null,null
24,"· Systematically evaluating the proposed method on realworld Twitter, email, SMS and web datasets and elaborating the effects of the knowledge learned from different media on spammer detection in Twitter.",null,null
25,"The remainder of this paper is organized as follows. In Section 2, we conduct a quantitative study to examine the differences between spam corpora in different media from a linguistic perspective. In Section 3, we formally define the problem of leveraging knowledge across media for spammer detection in microblogging. In Section 4, we propose a novel framework for the problem we study. In Section 5, we report empirical results on real-world datasets. In Section 6, we review existing literature related to our work. In Section 7, we conclude this work and present some future work.",null,null
26,2. LINGUISTIC VARIATION ANALYSIS,null,null
27,"This work is motivated by numerous spam resources available in other well-studied media, e.g., email, SMS and web. A natural question could be, given the short and noisy form of microblogging messages, how different are the texts in microblogging when compared to those in other media? Before proceeding further, we also examine whether the textual information from other media is potentially useful in the problem we study.",null,null
28,2.1 Datasets,null,null
29,"Two Twitter datasets are used in our study for experiment purposes, i.e., TAMU Social Honeypots and Twitter Suspended Spammers. In addition, three representative datasets from different types of media, including Enron",null,null
30,"Email Dataset, SMS Dataset and Web Dataset, are used in the analysis. The statistics of the datasets are presented in Table 1. Now we introduce the datasets in detail.",null,null
31,"TAMU Social Honeypots Dataset (TweetH): Lee et al. [22] created a collection of 41,499 Twitter users with identity labels: spammers and legitimate users. The dataset was collected from December 30, 2009 to August 2, 2010 on Twitter. It consists of users, their number of followers and tweets. We filtered the non-English tweets and users with less than two tweets.",null,null
32,"Twitter Suspended Spammers Dataset (TweetS): We employed a data crawling process, which is similar to [32, 34], to construct this dataset. We first crawled a Twitter dataset from July to September 2012 via the Twitter Search API. The users that were suspended by Twitter during this period are considered as the gold standard [32] of spammers in the experiment. We then randomly sampled the legitimate users from a publicly available Twitter dataset provided by TREC 2011.1 We filtered the non-English tweets and users with less than two tweets.",null,null
33,"The first dataset TweetH has balanced number of spammers and legitimate users. To avoid effects brought by different class distribution, according to the literature of spammer detection [22], we made the two classes in TweetS imbalanced, i.e., the number of legitimate users is much greater than that of spammers in the dataset.",null,null
34,"Enron Email Dataset (Email): We used a subset of a widely used Enron email dataset,2 which is collected during the investigation of Enron corporation and contains more than 200,000 emails between its employees. The emails in this dataset are preprocessed and used as a testbed in [25] for experiments. Each email in the dataset is labeled as either ""spam"" or ""ham"".",null,null
35,"SMS Dataset(SMS): We used the SMS spam collection provided by Almeida et al. [1] for analysis. This dataset is constructed based on two sources, Grumbletext web site3 and NUS SMS Corpus.4 The spam messages were manually labeled, and the ham messages were randomly sampled from the NUS SMS Corpus. To the best of our knowledge, this is the largest public SMS spam dataset.",null,null
36,Web Dataset (Web): Web spam is a key challenge for internet users. Web pages which are created to deceive other users by manipulating search engine. Webb et al. [31] constructed the Web Dataset. This is the largest publicly available dataset to the best of our knowledge. We removed the web pages that have no textual content or only contain http request error information.,null,null
37,2.2 Lexical Analysis,null,null
38,"To evaluate the style of a language, many metrics have been proposed in literature of linguistics and communication [2, 30]. In this subsection, we first introduce the metrics used in our study and then discuss lexical analysis results on the datasets from different media.",null,null
39,"Basic Statistics: average Word Length (WL, in characters) and average Sentence Length (SL, in words) are used to evaluate the basic style of different datasets. In addition to those, we further employ other widely used lexical metrics in the analysis. We list the metrics below.",null,null
40,1http://trec.nist.gov/data/tweets/ 2http://www.isi.edu/~adibi/Enron/Enron.htm 3http://www.grumbletext.co.uk/ 4http://wing.comp.nus.edu.sg/SMSCorpus/,null,null
41,548,null,null
42,Table 1: Statistics of the Datasets TweetH TweetS Email,null,null
43,# of Spam Messages # of Legitimate Messages # of Messages Avg. # of Words per Document,null,null
44,"1,310,318 1,220,198 2,530,516",null,null
45,18.64,null,null
46,"71,842 308,957 380,799",null,null
47,17.88,null,null
48,"10,582 13,990 24,572 168.87",null,null
49,SMS,null,null
50,747 4827 5574 14.59,null,null
51,Web,null,null
52,"22,386 N.A. 82,386 57.67",null,null
53,Table 2: Lexical Analysis Results,null,null
54,Basics,null,null
55,Lexical Analysis,null,null
56,WL SL TTR LD OOV,null,null
57,TweetH TweetS Email SMS Web,null,null
58,4.12 12.95 5.42 0.48 0.32 3.95 12.38 5.65 0.50 0.31 4.52 17.88 5.46 0.53 0.29 3.99 12.60 6.54 0.45 0.34 4.81 18.66 6.13 0.48 0.32,null,null
59,Type-Token Ratio (TTR): This is a widely used metric,null,null
60,"to evaluate the difficulty (or readability) of words, sentences",null,null
61,"and documents by measuring their lexical variety [7, 33].",null,null
62,The basic assumption of using TTR is that difficult words,null,null
63,are those that appear least often in a document. Given a,null,null
64,"corpus D, TTR is calculated as T T R(D) ,",null,null
65,wD,null,null
66,F req(w) Size(D),null,null
67,",",null,null
68,"where w means a word (token) in the corpus, F req(w) means",null,null
69,"word frequency of w in D, and Size(D) means the number",null,null
70,"of distinct words (types) in D. In practice, a higher TTR",null,null
71,indicates a larger amount of lexical variation and a lower,null,null
72,score indicates relatively less lexical variation [33].,null,null
73,Lexical Density (LD): We employ lexical density to,null,null
74,further analyze the stylistic difference between different cor-,null,null
75,"pora. Lexical words [15], also known as content or infor-",null,null
76,"mation carrying words, refer to verbs, nouns, adjectives and",null,null
77,"adverbs. Similarly, given a document D, LD is defined as",null,null
78,"LD(D) ,",null,null
79,wLex,null,null
80,F req(w) Size(D),null,null
81,",",null,null
82,where,null,null
83,Lex,null,null
84,means,null,null
85,the,null,null
86,whole,null,null
87,lex-,null,null
88,"ical words dictionary. In general, a higher lexical density",null,null
89,"indicates that it is a more formal document, and a lower",null,null
90,lexical density represents a more conversational one.,null,null
91,Out-of-Vocabulary (OOV): This metric is to measure,null,null
92,the ratio of out-of-vocabulary words in the corpora. We use,null,null
93,"a list of top 10,000 words with highest frequency provided",null,null
94,"by the Project Gutenberg [16] in our study. In general, a",null,null
95,higher OOV rate indicates that the language is more infor-,null,null
96,mal. Many NLP and IR models suffer from high OOV rates.,null,null
97,Experimental results of the lexical analysis are presented,null,null
98,"in Table 2. By comparing the results of different metrics, we",null,null
99,observe the following: (1) The word lengths of different cor-,null,null
100,"pora are very similar, and the sentence lengths of TweetH,",null,null
101,TweetS and SMS are smaller than those of more formal me-,null,null
102,dia Email and Web. This indicates that the textual form of,null,null
103,"microblogging data is similar to SMS, and relatively different",null,null
104,"from email and web. (2) In most of the tests, microblogging",null,null
105,data is similar to the datasets from the other media. It,null,null
106,"demonstrates that, although microblogging is considered an",null,null
107,"informal media, the language use is similar to that in other",null,null
108,"media, especially in email and SMS. We observe that the",null,null
109,type-token ratios of microblogging are smaller than those of,null,null
110,SMS and web. It suggests that the language used in mi-,null,null
111,croblogging is easier than that in the other two platforms.,null,null
112,We further employ hypothesis testing to examine the lex-,null,null
113,ical differences between microblogging datasets and other,null,null
114,Table 3: Hypothesis Testing Results (P-Values),null,null
115,TweetH,null,null
116,TweetS,null,null
117,TTR LD OOV TTR LD OOV,null,null
118,Email 0.318 0.108 0.442 0.234 0.267 0.308 SMS <0.01 0.205 0.350 <0.01 0.082 0.163 Web <0.01 0.623 0.398 0.108 0.551 0.462,null,null
119,"datasets. For each lexical metric, we form a null hypothesis for a microblogging dataset and a dataset from the other media. The null hypothesis is: in terms of the specific lexical metric, there is no difference between microblogging data and data from the other media. We test the hypotheses on all pairs of the datasets for all the three lexical metrics.",null,null
120,"In particular, to verify the difference between TweetH and Email datasets on the TTR, we construct two vectors ttrth and ttrem. Each element of the first vector ttrth is obtained by calculating the TTR score of a subset sampled with bootstrapping from TweetH dataset. Similarly, each element in the second vector corresponds to the TTR score of a subset sampled with bootstrapping from Email dataset. In the experiment, the two vectors contain equal number of elements.5 Each element in the vectors corresponds to 100 data instances. We formulate a two-sample two-tail t-test on the two constructed vectors ttrth and ttrem. We examine whether there is sufficient statistical evidence to support the hypothesis that the two datasets have the same sample mean, and it is defined as follows:",null,null
121,"H0 : th - em , 0",null,null
122,(1),null,null
123,"H1 : th - em , 0",null,null
124,"where H0 is the null hypothesis, H1 is the alternative hypothesis, and c and r represent the sample means of the two vectors, respectively. Similarly, we form the hypothesis testings for other pairs of datasets with other lexical metrics.",null,null
125,"The t-test results, p-values, are summarized in Table 3. From the table, we can observe the following: (1) With few exceptions, the results are much greater than the significance level  ,"" 0.05. It demonstrates that there is no statistical evidence to reject the null hypothesis in the tests on the two datasets. In other words, the results suggest that microblogging data is not significantly different from the datasets in other media. (2) In some tests, microblogging data appears more similar to Email than the other datasets.""",null,null
126,"In conclusion, while characteristics of different datasets appear different, there are no statistically significant lexical differences between them. The resources from other media are potentially useful in the task we study. Next, we formally define the problem we study and introduce the proposed learning framework for spammer detection.",null,null
127,"5Note this is the setting used for experiment purposes, and it is not a mandatory setting for a two-sample t-test.",null,null
128,549,null,null
129,3. PROBLEM STATEMENT,null,null
130,"In this section, we first present the notations and then",null,null
131,formally define the problem we study.,null,null
132,"Notation: lower-case bold Roman letters (e.g., a) denote",null,null
133,"column vectors, upper-case letters (e.g., A) denote matri-",null,null
134,"ces, and lowercase letters (e.g., a) denote scalars. A(i, j) denotes the entry at the ith row and jth column of a ma-",null,null
135,"trix A. Let A denote the Euclidean norm, and A F",null,null
136,"the Frobenius norm of the matrix A. Specifically, A F ,",null,null
137,"m i,1",null,null
138,"n j,1",null,null
139,"A(i,",null,null
140,j)2.,null,null
141,Let AT,null,null
142,and,null,null
143,T r(A) denote the trans-,null,null
144,"pose and trace of A, respectively.",null,null
145,"Let S ,"" [X, Y] be available resources from other media,""",null,null
146,with the content information X and identity label matrix Y. We use term-user matrix X  Rm×d to denote con-,null,null
147,"tent information, i.e., posts written by the users, where",null,null
148,"m is the number of textual features, and d is the number",null,null
149,"of users in the other media. X ,"" {X1, X2, ..., Xr} means""",null,null
150,"the combination of content information from multiple media, and Y  Rd×c ,"" {Y1, Y2, ..., Yr} means the combi-""",null,null
151,"nation of label information from the media. For each user (xi, yi)  Rm+c consists of message content and identity label, where xi  Rm is the message feature vector and yi  Rc is the spammer label vector. In this paper, we con-",null,null
152,"sider the task we study as a two-class classification problem,",null,null
153,"i.e., c ,"" 2. For example, yi "","" (1, 0) means this user is a spammer. yiT yi "", 1 constrains that yi has to have one la-",null,null
