,sentence,label,data
,,,
0,The Effect of Sampling Strategy on Inferred Measures,null,null
,,,
1,Ellen M. Voorhees,null,null
,,,
2,National Institute of Standards and Technology,null,null
,,,
3,ellen.voorhees@nist.gov,null,null
,,,
4,ABSTRACT,null,null
,,,
5,"Using the inferred measures framework is a popular choice for constructing test collections when the target document set is too large for pooling to be a viable option. Within the framework, different amounts of assessing effort is placed on different regions of the ranked lists as defined by a sampling strategy. The sampling strategy is critically important to the quality of the resultant collection, but there is little published guidance as to the important factors. This paper addresses this gap by examining the effect on collection quality of different sampling strategies within the inferred measures framework. The quality of a collection is measured by how accurately it distinguishes the set of significantly different system pairs. Top-K pooling is competitive, though not the best strategy because it cannot distinguish topics with large relevant set sizes. Incorporating a deep, very sparsely sampled stratum is a poor choice. Strategies that include a top-10 pool create better collections than those that do not, as well as allow Precision(10) scores to be directly computed.",null,null
,,,
6,Categories and Subject Descriptors,null,null
,,,
7,H.3.4 [Information Storage and Retrieval]: Systems and Software--Performance Evaluation,null,null
,,,
8,Keywords,null,null
,,,
9,Test collections; Incomplete judgments; Sampling,null,null
,,,
10,1. INTRODUCTION,null,null
,,,
11,"Test collections drive much of the research in information retrieval. Obtaining human judgments regarding document relevance is the most expensive direct cost of building a test collection, so recent research has focused on developing evaluation mechanisms to support fair comparison of retrieval results using relatively small amounts of judging effort. One such mechanism is the judgment-set-building process that supports the computation of extended inferred estimates of traditional evaluation measures using many fewer judgments",null,null
,,,
12,"This paper is authored by an employee(s) of the United States Government and is in the public domain. Non-exclusive copying or redistribution is allowed, provided that the article citation is given and the authors and agency are clearly identified as its source. SIGIR'14, July 6­11, 2014, Gold Coast, Queensland, Australia. 2014 ACM 978-1-4503-2257-7/14/07 http://dx.doi.org/10.1145/2600428.2609524 .",null,null
,,,
13,"than would be required to reliably compute the traditional scores directly [4, 5]. This framework has proved popular because it is convenient to use in practice and supports a variety of evaluation measures.",null,null
,,,
14,"Empirical evaluation of the inferred measures shows the estimates can have high fidelity to their directly-computed counterparts, but the quality of the estimates depends on the sampling strategy used to select which documents to judge. Despite the importance of the sampling strategy on estimate quality, there is little guidance in the literature on how best to sample to obtain good estimates. This paper thus examines the question of how the sampling strategy used in creating judgment sets affects the quality of the resulting test collection when using extended inferred measures.",null,null
,,,
15,2. METHODOLOGY,null,null
,,,
16,"A test collection is a triple containing a document set, a set of topics, and a set of relevance judgments which we will call a qrels. A run is the output of a retrieval system for each of the topics in the collection. This output is assumed to be a list of documents ranked by decreasing similarity to the topic. The quality of a run is evaluated using the mean over all topics in the collection of some metric that computes a per-topic score based on the ranks at which relevant documents are retrieved. This work considers three measures, mean average precision (MAP), normalized discounted cumulative gain (NDCG), and precision at 10 documents retrieved (P(10)) and their inferred counterparts.",null,null
,,,
17,"Ideally, qrels would be complete meaning that all documents are judged for all topics. Complete judgments are infeasible for all but the tiniest of document sets, however, so instead some subset of documents is judged. In pooling [2], the top K results from each of a set of runs are combined to form the pool and only those documents in the pool are judged. Runs are subsequently evaluated by assuming that all unpooled (and hence unjudged) documents are not relevant. The inferred measures framework uses stratified sampling strategies and estimates the values of the measures based on the judgments obtained on sampled documents.",null,null
,,,
18,Both pooling and the inferred measures framework construct a judgment set based on a set of runs. The framework focuses different amounts of assessing effort on different regions of the ranked lists (the strata) by assigning a sampling rate to each stratum. The strata are defined by disjoint sets of contiguous ranks. A document belongs to the stratum defined by the smallest rank at which the document was retrieved across the set of runs. The sampling rate is the probability of selecting a document from the stra-,null,null
,,,
19,1119,null,null
,,,
