,sentence,label,data
,,,
0,An Enhanced Context-sensitive Proximity Model for Probabilistic Information Retrieval,null,null
,,,
1,"Jiashu Zhao1, Jimmy Xiangji Huang2",null,null
,,,
2,"Information Retrieval and Knowledge Management Research Lab 1Department of Computer Science & Engineering, 2School of Information Technology",null,null
,,,
3,"York University, Toronto, Canada",null,null
,,,
4,"1jessie@cse.yorku.ca, 2jhuang@yorku.ca",null,null
,,,
5,ABSTRACT,null,null
,,,
6,"We propose to enhance proximity-based probabilistic retrieval models with more contextual information. A term pair with higher contextual relevance of term proximity is assigned a higher weight. Several measures are proposed to estimate the contextual relevance of term proximity1. We assume the top ranked documents from a basic weighting model are more relevant to the query, and calculate the contextual relevance of term proximity using the top ranked documents. We propose a context-sensitive2 proximity model, and the experimental results on standard TREC data sets show the effectiveness of our proposed model.",Y,null
,,,
7,Keywords,null,null
,,,
8,"Context-Sensitive IR, Measure, Proximity, Probabilistic Model",null,null
,,,
9,1. INTRODUCTION AND MOTIVATION,null,null
,,,
10,"The study of how to integrate the context information of queries and documents into retrieval process draw a lot of attention in recent years [3]. More specifically, many term proximity approaches [2, 9, 10, 11], which reward the documents where the query terms occurring closer to each other, show significant improvements over basic Information Retrieval (IR) models. In these proximity-based approaches, all the query term pairs are usually treated equally and the difference among various query pairs are not considered, although there is a need to distinguish the importance of term proximities. For example, given a query ""recycle automobile tires"", there is a stronger association between ""automobile"" and ""tire"" than the association between ""recycle"" and ""automobile"". In the top ranked documents, ""automobile"" and ""tire"" are expected to occur close to each other, while ""recycle"" and ""automobile"" do not necessarily have to occur close.",null,null
,,,
11,"In this paper, we focus on the problem of differentiating the influence of associated query term pairs. We propose",null,null
,,,
12,1The contextual relevance of term proximity is the relevancy between the query term proximity and the topic of the query. 2Context-sensitive means that the contextual relevance of term proximity is considered.,null,null
,,,
