,sentence,label,data
0,Incorporating Query-Specific Feedback into Learning-to-Rank Models,null,null
1,"Ethem F. Can, W. Bruce Croft, R. Manmatha",null,null
2,Center for Intelligent Information Retrieval (CIIR) School of Computer Science UMass Amherst,null,null
3,"efcan, croft, manmatha@cs.umass.edu",null,null
4,ABSTRACT,null,null
5,"Relevance feedback has been shown to improve retrieval for a broad range of retrieval models. It is the most common way of adapting a retrieval model for a specific query. In this work, we expand this common way by focusing on an approach that enables us to do query-specific modification of a retrieval model for learning-to-rank problems. Our approach is based on using feedback documents in two ways: 1) to improve the retrieval model directly and 2) to identify a subset of training queries that are more predictive than others. Experiments with the Gov2 collection show that this approach can obtain statistically significant improvements over two baselines; learning-to-rank (SVM-rank) with no feedback and learning-to-rank with standard relevance feedback.",null,null
6,Categories and Subject Descriptors,null,null
7,H.3.3 [Information Search and Retrieval]: Retrieval models,null,null
8,General Terms,null,null
9,"Algorithms, Experimentation",null,null
10,Keywords,null,null
11,"Learning-to-rank, query-specific feedback, relevance feedback",null,null
12,1. INTRODUCTION,null,null
13,"Consider a case where there are navigational and history related queries available in the training set. For a history related test query, a retrieval model learned using all of the queries in the training set might not be as good as a model learned using queries only related to history. Training queries that are similar to a test query can rank that particular test query better than others.",null,null
14,"Relevance feedback methods have been studied and used for some time in information retrieval. Feedback is either explicit (i.e., where the user provides the relevance information for some retrieved items of the test query) or implicit (i.e.,",null,null
15,"Permission to make digital or hard copies of part or all of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage, and that copies bear this notice and the full citation on the first page. Copyrights for third-party components of this work must be honored. For all other uses, contact the owner/author(s). Copyright is held by the author/owner(s). SIGIR'14, July 6­11, 2014, Gold Coast, Queensland, Australia. ACM 978-1-4503-2257-7/14/07. http://dx.doi.org/10.1145/2600428.2609503 .",null,null
16,"where the top ranked documents are assumed to be relevant). In both cases, the main idea is to use information from the initial search to improve retrieval performance. Relevance feedback is performed using the top retrieved documents to improve the retrieval by modifying the initial retrieval model. In this work we focus on situations where explicit feedback is available from the user for a few top documents. This typically happens when searching for patents or intelligence information where a user may be willing to spend additional time to label the documents from an initial search as relevant/non-relevant to improve the results for the rest of the retrievals. We consider a setting where documents in the top k are assessed, with the goal of improving the the other documents ranking.",null,null
17,"In the learning-to-rank framework [9, 17], parameters for a retrieval model are learned based on training data consisting of queries and associated relevant and non-relevant documents. A common approach in learning-to-rank is to use machine learning techniques that optimize a set of weights on joint query-document features to maximize the number of pairs where a relevant document is ranked higher than a non-relevant document. Figure 1 illustrates the learning-torank framework. Q1, ..., Qk are the queries in the training set and Qt is the test query.",null,null
18,Quer y1 (Q1 ) . . . Queryk (Qk ),null,null
19,Quer ytest (Qt ),null,null
20,"Q1, d11 Q1, d12 ... Q1, d1m ... Qk , dk1 Qk , dk2 ... Qk , dkm",null,null
21,"Qt, dt1 Qt, dt2 ... Qt, dtm",null,null
22,M1,null,null
23,... Mk,null,null
24,M0,null,null
25,Figure 1: Illustration of learning-to-rank framework.,null,null
26,"Typically a learning-to-rank approach estimates one retrieval model across all training queries Q1, ..., Qk (represented by feature vectors), after which the test query (Qt) is ranked upon the retrieval model and the output is presented to the user. We extend this approach by an additional step; we refer to the learning-to-rank model which is trained across all queries (Q1, ..., Qk) as the initial retrieval model (M0) and the induced ranking for the test query as initial ranking. We target a situation where partial relevance assessments are available on the initial ranking, for example in the top 10. Our goal is to leverage this user feedback to improve the ranking of unjudged documents in context to the initial rank-",null,null
27,1035,null,null
28,"ing. An obvious way of doing so is to learn a learning-to-rank model on the partial judgments M and present a ranking of a combination of the initial model (M0) and partial model (M ) to the user. In this work, we evaluate an alternative approach: we estimate learning-to-rank models Mi for each individual training query Qi and ask ""which of the Mi would have predicted the partial annotations the best?"" We take this as a similarity measure between the test query Qt and each training query Qi. Coming back to the running example, we expect models of history queries to better predict the partial annotations if the test query is about history as well. Following this intuition, we derive a ranking for the test query as a combination of the most similar learning-to-rank models Mi.",null,null
29,"Our approach is related in spirit to Malisiewicz et al. [12]. They create a number of object detectors each of which consists of a positive example and a number of negative ones. They conclude that their approach is better than creating a detector using all of the positive examples together. In another work, McCallum et al. [13] point out that the reduction in the computational cost obtained by dividing the data into overlapping subsets--called canopies--in the context of efficient clustering can be performed without any performance loss.",null,null
30,The main contributions of this paper are as follows: We focus on an approach in which a retrieval model is customized for a given test query by considering the similarity of the test query to the queries available in the training set in the context of learning-to-rank. Our aim here is to improve retrieval results for a given test query by exploiting partial information from an initial search for learning-to-rank problems. We show that our approach provides statistically significant improvements over two baselines; a learning-to-rank (support vector machine (SVM)-rank) baseline with no feedback and a learning-to-rank (SVM-rank) baseline with conventional relevance feedback.,null,null
31,2. RELATED WORK,null,null
