,sentence,label,data
0,Learning for Search Result Diversification,null,null
1,Yadong Zhu Yanyan Lan Jiafeng Guo Xueqi Cheng Shuzi Niu,null,null
2,"Institute of Computing Technology, Chinese Academy of Sciences, Beijing 100190, China",null,null
3,"{zhuyadong, niushuzi}@software.ict.ac.cn {lanyanyan, guojiafeng, cxq}@ict.ac.cn",null,null
4,ABSTRACT,null,null
5,"Search result diversification has gained attention as a way to tackle the ambiguous or multi-faceted information needs of users. Most existing methods on this problem utilize a heuristic predefined ranking function, where limited features can be incorporated and extensive tuning is required for different settings. In this paper, we address search result diversification as a learning problem, and introduce a novel relational learning-to-rank approach to formulate the task. However, the definitions of ranking function and loss function for the diversification problem are challenging. In our work, we firstly show that diverse ranking is in general a sequential selection process from both empirical and theoretical aspects. On this basis, we define ranking function as the combination of relevance score and diversity score between the current document and those previously selected, and loss function as the likelihood loss of ground truth based on Plackett-Luce model, which can naturally model the sequential generation of a diverse ranking list. Stochastic gradient descent is then employed to conduct the unconstrained optimization, and the prediction of a diverse ranking list is provided by a sequential selection process based on the learned ranking function. The experimental results on the public TREC datasets demonstrate the effectiveness and robustness of our approach.",null,null
6,Categories and Subject Descriptors,null,null
7,H.3.3 [Information Search and Retrieval]: Information Search and Retrieval ­ Retrieval Models,null,null
8,General Terms,null,null
9,"Algorithms, Experimentation, Performance, Theory",null,null
10,Keywords,null,null
11,"Diversity, Relational Learning-to-Rank, Sequential Selection, Plackett-Luce Model",null,null
12,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. SIGIR'14, July 6­11, 2014, Gold Coast, Queensland, Australia. Copyright 2014 ACM 978-1-4503-2257-7/14/07 ...$15.00. http://dx.doi.org/10.1145/2600428.2609634 .",null,null
13,1. INTRODUCTION,null,null
14,"Most users leverage Web search engine as a predominant tool to fulfill their information needs. Users' information needs, typically described by keyword based queries, are often ambiguous or multi-faceted. On the one hand, for some ambiguous queries, there are multiple interpretations of the underlying needs (e.g., query ""band"" may refer to the rock band, frequency band or rubber band). On the other hand, queries even with clear definition might still be multi-faceted (e.g., ""britney spears""), in the sense that there are many aspects of the information needs (e.g., news, videos, photos of britney spears). Therefore, search result diversification has attracted considerable attention as a means to tackle the above problem [1]. The key idea is to provide a diversified result list, in the hope that different users will find some results that can cover their information needs.",null,null
15,"Different methods on search result diversification have been proposed in literature, which are mainly non-learning methods, and can be divided into two categories: implicit methods and explicit methods. Implicit methods [3] assume that similar documents cover similar aspects, and rely on inter-document similarity for selecting diverse documents. While explicit methods [29] directly model the aspects of user queries and select documents that cover different aspects for diversification. However, most existing methods utilize a heuristic predefined utility function, and thus limited features can be incorporated and extensive tuning is required for different retrieval settings.",null,null
16,"In this paper, we address search result diversification as a learning problem where a ranking function is learned for diverse ranking. Different from traditional relevance ranking based on the assumption of independent document relevance [17], diverse ranking typically considers the relevance of a document in light of the other retrieved documents [29]. Therefore, we introduce a novel Relational Learningto-Rank framework (R-LTR for short) to formulate the task of search result diversification. R-LTR considers the interrelationships between documents in the ranking process, besides the content information of individual documents used in traditional learning-to-rank framework. However, the definitions of ranking function and loss function for the diversification problem are challenging.",null,null
17,"From the top-down user browsing behavior and the ubiquitous greedy approximation for diverse ranking, we find that search result diversification is in general a sequential ranking process. Therefore, we propose to define the ranking function and loss function in a sequential way: (1) The ranking function is defined as the combination of relevance",null,null
18,293,null,null
19,"score and diversity score, where the relevance score only depends on the content of the document, and the diversity score depends on the relationship between the current document and those previously selected. We describe different ways to represent the diversity score. (2) The loss function is defined as the likelihood loss of ground truth based on Plackett-Luce model [18], which can naturally model the sequential generation of a diverse ranking list. On this basis, stochastic gradient descent is employed to conduct the unconstrained optimization, and the prediction of diverse ranking list is provided by a sequential selection process based on the learned ranking function.",null,null
20,"To evaluate the effectiveness of the proposed approach, we conduct extensive experiments on the public TREC datasets. The experimental results show that our methods can significantly outperform the state-of-the-art diversification approaches, with Official Diversity Metrics (ODM for short) of TREC diversity task including ERR-IA[1, 6], -N DCG[11] and N RBP [12]. Furthermore, our methods also achieve best in the evaluations of traditional intent-aware measures such as Precision-IA [1] and Subtopic Recall [37]. In addition, we give some discussions on the robustness of our methods and the importance of the proposed diversity features. Finally, we also study the efficiency of our approach based on the analysis of running time.",null,null
21,The main contributions of this paper lie in:,null,null
22,"1. the proposal of a novel R-LTR framework to formulate search result diversification as a learning problem, where both content information and relationship among documents are considered;",null,null
23,2. the new definitions of ranking function and loss function based on the foundation of sequential selection process for diverse ranking;,null,null
24,3. an empirical verification of the effectiveness of the proposed approach based on public datasets.,null,null
25,"The rest of the paper is organized as follows. We first review some related work in Section 2. We then introduce the R-LTR framework in Section 3, and describe the specific definitions of ranking function and loss function, learning and prediction procedures in Section 4. Section 5 presents the experimental results. Section 6 concludes the paper.",null,null
26,2. RELATED WORK,null,null
27,"Most existing diversification methods are non-learning methods, which can be mainly divided into two categories: implicit approaches and explicit approaches.",null,null
28,"The implicit methods assume that similar documents cover similar aspects and model inter-document dependencies. For example, Maximal Marginal Relevance (MMR) method [3] proposes to iteratively select a candidate document with the highest similarity to the user query and the lowest similarity to the already selected documents, in order to promote novelty. In fact, most of the existing approaches are somehow inspired by the MMR method. Zhai et al. [37] select documents with high divergence from one language model to another based on the risk minimization consideration.",null,null
29,"The explicit methods explicitly model aspects of a query and then select documents that cover different aspects. The aspects of a user query can be achieved with a taxonomy [1, 32], top retrieved documents [5], query reformulations [24,",null,null
30,"29], or multiple external resources [15]. Overall, the explicit methods have shown better experimental performances comparing with implicit methods.",null,null
31,"There are also some other methods which attempt to borrow theories from economical or political domains. The work in [26, 33] applies economical portfolio theory for search result ranking, which views search diversification as a means of risk minimization. The approach in [13] treats the problem of finding a diverse search result as finding a proportional representation for the document ranking, which is like a critical part of most electoral processes.",null,null
32,"The authors of [2, 27] try to construct a dynamic rankedretrieval model, while our paper focuses on the common static ranking scenario. There are also some on-line learning methods that try to learn retrieval models by exploiting users' online feedback [25, 31, 35, 30, 28]. These research work can tackle diversity problem to some extent, but they focus on an `on-line' or `coactive' scenario, which is different from our work (i.e. offline supervised learning scenario).",null,null
33,"Recently, some researchers have proposed to utilize machine learning techniques to solve the diversification problem. Yue et al. [36] propose to optimize subtopic coverage as the loss function, and formulate a discriminant function based on maximizing word coverage. However, their work only focuses on diversity, and discards the requirements of relevance. They claim that modeling both relevance and diversity simultaneously is a more challenging problem, which is exactly what we try to tackle in this paper. In this paper, we propose a novel R-LTR approach to conduct search result diversification, which is different from traditional approaches and shows promising experimental performance.",null,null
34,3. RELATIONAL LEARNING-TO-RANK,null,null
35,"Traditional relevance ranking has been well formulated as a learning-to-rank (LTR for short) problem [17], where a ranking function is defined on the content of each individual document and learned toward some loss functions. However, in diverse ranking scenario, the overall relevance of a document ranking for a given query, should depend not only on the individual ranked documents, but also on how they related to each other [29]. Therefore, in this paper, we introduce a novel R-LTR framework to formulate the diverse ranking problem. The difference between LTR and R-LTR is that the latter considers both contents of individual document and relations between documents. In the following paper, we use superscript to denote the id of a query and subscript to denote the id of a document.",null,null
36,"Formally, let X ,"" {x1, · · · , xn}, where xi denotes the d dimensional feature vector of a candidate document xi for query q; Let R  Rn×n×l denote a 3-way tensor representing relationships between the n documents, where Rijk stands for the k-th feature of relation between documents xi and xj. Let y be a ground-truth of the query q, in the form of a vector of ranking scores or a ranking list. Supposing that f(X, R) is a ranking function, and the goal of R-LTR is to output the best ranking function from a function space F .""",null,null
37,"In training procedure, given the labeled data with N queries as: (X(1), R(1), y(1)), (X(2), R(2), y(2)), · · · , (X(N), R(N), y(N)). A loss function L is defined, and the learning process is conducted by minimizing the total loss with respect to the given",null,null
38,294,null,null
39,training data.,null,null
40, N,null,null
41,"^f ,"" arg min L(f(X(i), R(i)), y(i)).""",null,null
42,(1),null,null
43,fF,null,null
44,"i,1",null,null
45,"In prediction, given X(t) and R(t) of nt documents for query qt, we output y^(t) based on the learned ranking function ^f(X(t), R(t)).",null,null
46,"In fact, the proposed R-LTR framework is very general, in the sense that many traditional ranking problems are its special cases.",null,null
47,"(1) It is obvious to see that the conventional LTR framework is a special case of R-LTR. Specifically, if we ignore the relation tensor R, then we get the same function as that in traditional LTR, i.e. f(X, R) , f(X).",null,null
48,"(2) The `learning to rank relational objects' framework [22, 23] is also a special case of R-LTR. Specifically, if we restrict the relation tensor R to be a matrix, with Rij representing the relation between document xi and xj, then we get the same function as that in the problem of learning to rank relational objects.",null,null
49,"The above framework gives a formulation of ranking problems involving relationship. When solving the specific problem, one needs to define the corresponding ranking function and loss function according to the task.",null,null
50,4. SEARCH RESULT DIVERSIFICATION VIA R-LTR FRAMEWORK,null,null
51,"As mentioned in the previous section, it is natural to formulate search result diversification under R-LTR framework. In this paper, we mainly focus on the diverse ranking scenario. To apply the above framework to this specific task, the most challenging problem is the definition of ranking function and loss function.",null,null
52,4.1 Motivation,null,null
53,"In order to properly define the ranking function and loss function, we first look into the diverse ranking problem.",null,null
54,"(1) Empirically, users usually browse the Web search results in a top-down manner, and perceive diverse information from each individual document based on what he/she have obtained in the preceding results [8].",null,null
55,"(2) Theoretically, diverse ranking can be naturally stated as a bi-criterion optimization problem, and it is NP-hard [1, 4]. Therefore, in practice, most previous approaches on search result diversification are based on greedy approximation, which sequentially select a `local-best' document from the remanent candidate set [29].",null,null
56,"From both empirical and theoretical analysis above, we can see that it is better to view diverse ranking as a sequential selection process, in the sense that the ranking list is generated in a sequential order, with each individual document ranked according to its relevance to the query and the relation between all the documents ranked before it.",null,null
57,4.2 Definition of Ranking Function,null,null
58,"As discussed above, diverse ranking is in general a sequential selection process, where each individual document is ranked according to its relevance to the query and the relation between all the documents ranked before it. The intuitive idea is illustrated in Figure 1, when ranking documents in X\S given the already ranked results S, both content-based relevance and diversity relation between this",null,null
59,X,null,null
60,d1,null,null
61,S,null,null
62,d2,null,null
63,d3,null,null
64,Diversity,null,null
65,Diversity,null,null
66,d7 d6 d5 X\S,null,null
67,d8,null,null
68,Relevance d4,null,null
69,Relevance,null,null
70,"Figure 1: An illustration of the sequential way to define ranking function. All the rectangles represent candidate documents of a user query, and different colors represent different subtopics. The solid rectangle is relevant to the query, and the hollow rectangle is irrelevant to the query, and larger size means more relevance. X denotes all the candidate document collection. S denotes previously selected documents, and X\S denotes the remanent documents.",null,null
71,"document and the previously selected documents in S should be considered. Noting that larger size of the rectangle means the document is more relevant to the query, and different colors represent different subtopics. Therefore, the document 8 may be more preferred than document 4 given S, since it is relevant to the query, and also provides different aspects additionally comparing with the selected set S.",null,null
72,"Based on this ranking process, here we give the precise definition of ranking function. Given a query q, we assume that a set of documents have been selected, denoted as S, the scoring function on the candidate document in X\S, is then defined as the combination of the relevance score and the diversity score between the current document and those previously selected, shown as follows.",null,null
73,"fS (xi, Ri) ,"" rT xi + dT hS (Ri), xi  X\S,""",null,null
74,(2),null,null
75,"where xi denotes the relevance feature vector of the candidate document xi, Ri stands for the matrix of relationships between document xi and other selected documents, with each Rij stands for the relationship vector between document xi and xj, represented by the feature vector of (Rij1, · · · , Rijl), xj  S, and Rijk stands for the k-th relation feature between documents xi and xj. hS(Ri) stands for the relational function on Ri, rT and dT stands for the corresponding relevance and diversity weight vector. When S ,"" , fS(xi, Ri) is directly represented as rT xi. Then the ranking function can be represented as the set of scoring function:""",null,null
76,"f(X, R) ,"" (fS , fS1 , · · · , fSn-1 )""",null,null
77,"where Si, denotes the previously selected document collection with i documents. From the above definition, we can see that if we do not consider diversity relation, our ranking",null,null
78,295,null,null
79,"function reduce to f(X) ,"" (f (x1), · · · , f (xn)), which is the traditional ranking function in learning-to-rank.""",null,null
80,4.2.1 Relational function hS(Ri),null,null
81,"Please note that the relational function hS(Ri) denotes the way of representing the diversity relationship between the current document xi and the previously selected documents in S. If we treat diversity relation as distance, hS(Ri) can be viewed as the distance of xi to the set S. According to different definitions of the distance between an item and a set of items, hS(Ri) can be defined as the following three ways.",null,null
